year,V1
2008,so darling surely you know i need your love so badly here is my heart my life and my all dear please be mine and stay here in my heart 
1988,it's my happy heart you hear me my love let me love you night and day in your arms i want to stay oh my love 
0,she smell the daisy she drive me crazy yeah hey gonna kissing my arms 
0,and i'll be yours yours until the stars fall from the sky yours yours until the rivers all run dry yours yours until the poets run out of rhyme in other words until the end of time 
2009,but that doesn't mean my eyes will soon be turning red crying's not for me cause i'm never gonna stop the rain by complaining i'm never gonna stop the rain by complaining 
2008,i started a joke which started the whole world crying which started the whole world laughing oh if i'd only seen 
1969,don't ask me why but time has passed us by now we are tall and christmas trees are small and you don't ask the time of day but you and i our love will never die 
1970,i could be king of kings wear a crown and all the things oh tell me how to say goodbye i see her face in myself why tell me why i made her cry 
2009,i still remember you i love you in my heart lies a memory to tell the stars above don't forget to remember me my love 
2011,i don't want clever conversation i never want to work that hard mmm i just want someone that i can talk to i want you just the way you are 
2012,what makes you so beautiful is you don't know how beautiful you are you're not tryin to be perfect you're not trying to be perfect 
2010,but if we are the body and if we are the body why aren't his feet going if we are the body 
2008,and i crinkle my nose that you make me smile just take your time wherever you go make me crinkle my nose 
2008,listen down you little man i'm not the one who's trying to change you and if you come to understand it'll be okay yeah you need to change it 
2005,"illuminate the ""no""s on their vacancy signs if there's no one beside you then i'll follow you into the dark and i'll follow you into the dark "
2006,and you light up my life you give me hope to carry on you light up my days cause you light up my life 
2006,just take me inside your arms and hold me tight and always be by my side if i am wrong or right accept me for what i am accept me for the things that i do 
2017,"and talkin to me i'm feelin a little low"" waitin for the love of a travelin soldier when the letter says a soldier's coming home when the letter says a soldier's coming "
2014,and would you take away my hopes and dreams have ever been and i'll never leave again cause you are the only one and all my friends have gone to find 
2014,no no don’t leave me lonely now coloured crimson in my eyes one or two could free my mind i feel the chemicals burn in my bloodstream 
2014,i never tried to win you over mmmm c'mon and take it back love c'mon and take it back for us don't you fade into the back love 
2007,then you wouldn't have to say that you love me what would you say if i took those words away then you couldn't make things new is all i ever needed you to show 
2007,there's a hole in my heart and this hole in my heart can't be filled with the things i do oh that a circle can't fit where a square should be 
2009,if i traded it all if i sorted it out if i knew all about this one thing i don't want to know 
2011,blockin out the scenery breakin my mind can't you read the sign i didn't have a penny to pay 
2006,there is no way back from here but i don't care no way back from here wake me i'm ready 
2011,but you didn't have to cut me off make out like it never happened and that we were nothing but you treat me like a stranger and that feels so rough i guess that i don't need that though 
1997,love is the thing this time i'm sure and i couldn't need you more now the way that you saw things were so pure missing the me from you you gave to me 
2007,this road that we travel may it be the straight and narrow god give us peace and grace from you all the day shelter with fire our voices we raise still higher god give us peace and grace from you all the day through 
2009,when i feel cold you warm me and when i feel i can't go on you come and hold me and when you feel you can't go on 
1999,under the boardwalk out of the sun under the boardwalk we'll be making love under the boardwalk boardwalk under the boardwalk we'll be falling in love 
2009,it's been a long night in new york city but then again i don't remember you it's been a long night in austin too but then again i don't remember don't remember you 
2008,how could you be so heartless oh how could you be so heartless they don't know bout me and you i hear em talk the coldest story ever told 
2007,you're so blue the suns gonna shine on everything you do and the sky is so blue 
2009,go to where you belong never find the perfect situation untill you know where you're from and i wish you all the best luck 
2011,own me you own you turn me over and over till i can't control myself you own me you own 
2008,i'll be crossing you in style wherever you're going i'm not so sure the world it's just around the bend 
2007,i'm the one who wants to be with you deep inside i hope you'll feel it too feel it too just to be the next to be with you yeah just to be the next to be with you 
2007,this is how i feel i'm cold and i am shamed i'm wide awake and i can see the perfect sky is torn torn 
1999,two drifters off to see the world there's such a lot of world to see we're after the same rainbow's end moon river and me 
2012,it's you i've just let these little things cause it's you and i'm in love with you 
0,now we've got holes in our hearts well we've got holes in our hearts i said we've got holes in our hearts well we've got holes we've got holes 
2006,slow cheetah come before for my forest looks like it's on today slow cheetah come it's so euphoric no matter what they say 
2010,two drifters off to see the world there's such a lot of world to see we're after the same rainbow's end moon river and me 
2008,listen to your heart when he's calling for you but listen to your heart before you tell him goodbye listen to your heart take a listen to it when he's calling for you listen to your heart take a listen to it there's nothing else you can do 
2011,and we tried to survive when we adored the fabulous we were the foolish fearless never knowing the cost of what we paid 
1964,under the boardwalk out of the sun under the boardwalk we'll be havin some fun under the boardwalk people walking above under the boardwalk we'll be making love 
2009,i'll never hurt you i'll never lie i'll never be untrue i'll never give you reason to cry i'd be unhappy if you were blue 
2009,in the night i hear em talk how could you be so heartless oh how could you be so heartless i know you can't believe 
2008,can you go on a rose that won't bloom winter's kept you i knew that something was wrong 
2006,i'll stand up with you forever i'll be there for you through it all through it all i will never let you fall i'll be there for you through it all 
2002,under the boardwalk out of the sun under the boardwalk we'll be having some fun under the boardwalk boardwalk under the boardwalk boardwalk 
2005,i used to be a little boy and what i choose is my choice what's a boy supposed to do the killer in me is the killer in you my love 
2004,two drifters off to see the world my huckleberry friend moon river and me moon river off to see the world there's such a lot of world to see 
2006,and so many dreams i kept deep inside me and you light up my life you give me hope to carry on you light up my days 
2004,cause you you light up my life and you you light up my life you light up my life you light up my days you light up my days ooh you light up my life 
