year,V1
2001,you may not be in the mood to learn what you think you know but at your best you are love you're a positive motivating force within my life should you ever feel the need to wonder why 
0,baby please don't go baby please don't go down to new orleans baby please don't go yeah i don't want to be left alone baby 
2010,how long has this been going on to break up our scene in this way but there ain't any use in pretending oh your friends with their fancy persuasion 
2011,"seesaw swingin with the boys in the school a-sing ""hey diddle diddle"" with your kitty in the middle at the swing like you didn't care seesaw swing with the boys in the school "
2011,baby please don't go baby please don't go down to new orleans you know i love you so yeah your mind done gone left the county farm 
2006,cause that's the life when you're livin in the ghetto that's the life when you're cause that's the life you're 
2006,i know you see me lookin at you and you already know i wanna fuck you you already know i wanna fuck you you already know girl bouncin got me tippin my glass 
2012,it took a long it took a brave oh it took a long i don't need your opinion 
1998,"they tried to make me go to rehab i said ""no no no"" i ain't got the time and if my daddy thinks i'm fine just try to make me go to rehab i won't go go go but i know it don't come in a shot glass "
2008,like i knew i would i told you i was trouble you know that i'm no good yeah you know that i'm no good 
2008,he takes the day but i'm gone and in your way in this blue shade my tears dry on their own and in your way my deep shade 
0,and i'll be yours yours until the stars fall from the sky yours yours until the rivers all run dry yours yours until the poets run out of rhyme in other words until the end of time 
2013,so we all go back to yours oo-oo and you sit and talk to me on the floor oo-oo will you pour me one for the road so we all go back to yours oo-oo and you sit and talk to me on the floor oo-oo so we all go back to yours oo-oo and you sit and talk to me on the floor 
2008,we're goin ridin on the freeway of love ain't we ridin on the freeway of love oh yeah and let's march for peace aw yeah freeway of love 
2008,oh the fireside is blazing bright and this christmas will be a a very special christmas for me yeah ooh will be a very special christmas for me oh 
1967,"walk right in it's around the back just a half a mile from the railroad track now friends there was only one or two things that obie coulda done at the police station and the first was he coulda given us a medal for being so brave and honest on the telephone which wasn't very likely and we didn't expect it and the other thing was that he coulda bawled us out and told us never to be see driving garbage around the vicinity again which is what we expected but when we got to the police officer's station there was a third possibility that we hadn't even counted upon and we was both immediately arrested handcuffed and i said ""obie i don't think i can pick up the garbage with these handcuffs on"" he said ""shut up kid get in the back of the patrol car i said walk right in it's around the back just a half a mile from the railroad track and you can get anything you want at alice's restaurant "
2005,and yes i need you so and now i know i've found a masterpiece in you and i treasure you my love and i treasure you 
2005,shoo-bop shoo-bop my baby ahh yes i'm so glad shoo-bop shoo-bop my baby you're here again shoo-bop shoo-bop my baby i'm so happy shoo-bop shoo-bop my baby that you're here at last 
2005,make me make me your baby ooh-ah kiss me kiss me and maybe you will see if you'll make me your baby make me your baby if you'll make me your baby make me your baby oh 
1990,come on baby let the good times roll let me thrill your soul come on baby let us have some fun 
1975,and you won’t find things that broke your heart girl can’t you see can’t you see that i honey can’t you see can’t you see that i i got so much to give to you my dear 
2010,cause deeper and deeper in love with you i'm falling i'm gonna love you love you love you just a little more baby in love with you i'm falling yeah 
