year,V1
2008,"they know that santa's on his way to kids from one to ninety-two altho it's been said many times many ways ""merry christmas to you"" "
2008,i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white 
1995,a new king born today trumpets sound and angels sing listen what they say that man will live for evermore 
1998,and so i'm offering this simple phrase to kids from one to ninety-two merry christmas to you to you 
2015,it's the most wonderful time of the year there'll be parties for hosting there'll be scary ghost stories and tales of the glories 
2004,walkin in a winter wonderland in the meadow we can build a snowman but you can do the job later on we'll conspire 
0,you sent your son to save us your very self you gave us that sin may not enslave us they needed you so bad 
2008,oh the fireside is blazing bright and this christmas will be a a very special christmas for me yeah ooh will be a very special christmas for me oh 
1991,in the meadow we can build a snowman as we dream by the fire to face unafraid the plans that we made you can do the job when you're in town 
1991,and i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases 
2012,what a bright time it's the right time jingle bell time is a swell time to go riding in a one-horse sleigh that's the jingle bell rock 
2009,he's loaded lots of toys and goodies on his sleigh to see if reindeer really know how to fly they know that santa is on his way he's on his way and every mother's child is going to spy 
2009,jingle bells chime in jingle bell time jingle bell time is a swell time that's the jingle bell rock that's the jingle bell 
2007,in the meadow we can build a snowman we'll pretend that he passing round but you can do the job while you are in town we'll play on a frame the plans that we made 
2008,although it's been said many times many ways merry christmas to to you baby oh my love oh merry christmas to you if i touched you like you want me to touch right now girl 
2014,sleigh bells ring are you listenin in the lane snow is glistenin a beautiful sight we're happy tonight he sings a love song as we go along 
2007,ding-dong-ding and when you walk down the street and everyone you meet somebody waits for you ding-dong-ding and in case you didn't hear 
2003,to lay before the king pa rum pum pum pum i am a poor boy too pa rum pum pum pum i have no gift to bring pa rum pum pum pum that's fit to give the king pa rum pum pum pum 
2003,feliz navidad prospero ano y felicidad i wanna wish you a merry christmas from the bottom of my heart 
2003,i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white 
2003,walking in a winter wonderland walking in a winter as we dream by the fire you got me walking walking 
2006,everybody knows a turkey and some mistletoe to kids from one to ninety-two although it's been said many times many ways merry christmas to you 
2006,"pretty pencils to write ""i love you"" he's just hoping he won't pass him by and in the distance the ringing of laughter and in the midst of the laughter he cries "
2006,i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white 
2000,santa came down the chimney that you that you see before me oh st nick came down the chimney that you see before me 
2012,it's not christmas if the snow don't fall and i've been waiting for you to come and it's hard cause i feel so alone you're not here to keep me safe and warm 
1999,i'll be your shoulder when you cry i'll hear your voices when you call i am your angel i'll be your shoulder when you cry your shoulder to cry 
2001,i'm dreaming of a white christmas may your days be merry and bright and may all your christmases be white of a white of a white christmas i've been dreaming of a white christmas 
2008,and so i'm offering this simple phrase to kids from one to ninety-two although it's been said many times many ways merry christmas to you 
2008,merry christmas may your new year dreams come true and this song of mine in three quarter time wishes you and yours the same thing too 
2008,i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white 
2014,pretty paper pretty ribbons of blue wrap your presents to your darling from you pretty pencils to write i love you hoping that you won't pass him by 
2006,and if you ever saw it you would even say it glows all of the other reindeer used to laugh and call him names 
1986,in the meadow we can build a snowman we'll pretend that he is parson brown he'll say are you married we'll say no man but you can do the job when you're in town 
2008,jingle around the clock mix and a-mingle in the jingling feet that's the jingle bell that's the jingle bell rock 
2008,many ways merry christmas to you many ways merry christmas merry christmas merry christmas to you 
2012,feliz navidad feliz navidad oh yeah feliz navidad la la la la la feliz navidad - i wanna wish you a merry christmas 
1993,i'm dreaming of a white christmas just like the ones i used to know to hear sleigh bells in the snow where the treetops glisten and children listen 
2003,"and the children say he could laugh and play thumpety thump thump over the hills of snow so he said ""let's run and we'll have some fun "
2006,a new king born today because of christmas day not a single room was in sight and in a manger cold and dark 
2011,believe in what your heart is saying hear the melody that's playing there's no time to waste you have everything you need if you just believe 
2011,"where the tree-tops glisten and children listen with every christmas card i write ""may your days be merry and bright and may all your christmases be white"" "
2012,it's the right time jingle around the clock oh mix and a-mingle in the jingling feet yeah what a bright time 
2004,come they told me pa rum pa pum pum to lay before the king pa rum pa pum pum i have no gift to bring pa rum pa pum pum shall i play for you pa rum pa pum pum 
2009,i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white 
2009,in the lane snow is glistening here to stay is a new bird as we go along we'll frolic and play the eskimo way 
2010,i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmas's be white 
2003,i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white 
2013,with every christmas card i write may your days be merry and bright and may all your christmases be white oh i'm dreaming of a white christmas 
2015,baby please come home but it's not like christmas at all ah baby please come home please come home 
2010,"he'll say ""are you married"" we'll say ""no man but you can do the job when you're in town"" as we dream by the fire to face unafraid the plans that we've made "
2015,cause i've got 5 more nights of sleeping on my own 2 more reasons why i love you so if i can make it to christmas eve then it's i've got 5 more nights of sleeping on my own 
2000,they know that santa's on his way to kids from one to ninety-two although it's been said many times many ways merry christmas to you 
2007,i'm dreaming of a white christmas just like the ones i used to know and children listen to hear sleigh bells in the snow 
2011,and so i'm offering this simple phrase to kids from one to ninety-two although it's been said many times many ways merry christmas to you 
2007,and so i'm offering this simple phrase to kids from one to ninety-two although it's been said many times many ways merry christmas to you 
1992,the near and the dear ones the old and the young and a happy new year we wish you a very merry christmas 
0,hark now hear the angels sing and man will live for evermore and in a manger cold and dark and heard the choir from heaven sing 
0,"in the meadow we can build a snowman he'll say ""are you married"" we'll say ""no man but you can do the job when you're in town"" but you can do the job when you're in town brother"" "
1999,"walkin in a winter wonderland in the meadow we can build a snowman snowman then pretend that he is parson brown he'll say ""are you married"" we'll say ""no man no man "
1999,then how the reindeers loved him and they shouted out with glee they shout with glee they used to say rudolph we love you well then how the reindeer loved him they really really loved him 
2006,and a happy new year let's hope it's a good one without any fear the near and the dear one war is over 
2011,it's that time of year merry christmas may your new year's dreams come true and this song of mine 
2007,so here it is merry christmas everybody's having fun look to the future now everybody's having fun it's christmas 
2005,i'm dreaming of a white christmas then i-i-i am dreaming of a white christmas and may all your christmases be white i-i-i am dreaming of a white christmas 
2008,the snowman is shaping up to be an 8 but not out of 10 i wanna roll around like a kid in the snow i wanna re-learn what i already know through the night on a great big sled 
2007,i've been waiting on you i've been killing just for fun i couldn't let them off that easy but the children on the street they tease me 
2008,when the holy night is upon you when she took her stand did she hold your hand our decisions rest on the man all the years since you left 
2008,they said we'll beat you up if you don't hand it over we want your bread so don't make us annoyed give all the toys to the little rich boys 
2009,and so this is christmas and a happy new year let's hope it's a good one a very merry christmas 
0,and what have you done the near and the dear ones the old and the young and a happy new year 
2007,"you will get a sentimental feeling when you hear voices singing ""let's be jolly deck the halls with boughs of holly"" rocking around the christmas tree have a happy holiday in a new old fashioned way "
2007,to lay before the king pa rum pum pum pum i am a poor boy too pa rum pum pum pum i have no gift to bring pa rum pum pum pum that's fit to give the king pa rum pum pum pum 
1998,this night we pray this dream he had on this night on this night on this very christmas night 
