year,V1
2007,your love is a one in a million it goes on and on and on you give me a really good feelin all day long that your love is a one in a million it goes on and on and on your love is a one your love in a million it goes on and on and on 
2007,that you was tryin to get with me she would probably curse you out and unplug her phone i bet she'd be glad that you was gone and then she wouldn't have to worry 
2007,i'm sending him a 4 page letter and i enclosed it with a kiss and when i write him baby when i get the nerve to come to you 
2007,are you supposed to change who should be hurt who should be blamed i think it's just the season 
2008,i want you to stroke it for me stroke it for me stroke it for me stroke it for me there is something i want you to do like you never ever used it before 
2007,let you know i outta let you know i care 4 you i care let you know i care 4 you that i care for you 
2007,cause i refuse to let you think you can play with my mind i refuse to let you hurt me any more the fact i fell to the floor the day you walked out my door and i refuse 
2007,can i come over can i come over to see you come over can i come over get wit ya come over 
2007,i don't wanna be i don't wanna live live without you live without you i don't wanna be alone 
2008,even though im in the streets you aint gotta wait for me to bring it back home to you cuz i ride or die girl we gon be good and if you ride or die we gon make it out this hood 
2005,a freak in the evening just like me cause i'm that kind of girl come on and i will take you around the hood on a gangsta lean 
2011,i'll hit you right and you can have all of me tonight vamos vooar no ar you got me like a bullet haha taking flight like you like i give it to you 
0,how can we work it out cause it will soon come cause it will soon come yeah cause it will soon come soon come 
2006,but it don't matter no cause i got you baby cause we gon fight oh yes we gon fight oh-oh woo-oh cause i got you baby 
2008,i see you in the club i wanna get with you yeah i wanna get with you akon & colby o'donis 
2006,i get it in till the sunrise why do you wanna count my money i'ma hustla don't need them one of ya'll ya see i'm so paid 
2004,can't forget to breathe slow cos ladies take it in and get composure before i lose it get composure i'm gonna breathe slow 
2008,i got a man with two left feet he does nothing the boy does nothing i wanna see you work i wanna see you move your body in turn 
2015,so tell my friends that i'll be over here oh oh oh i asked myself what am i doin here and i can't wait til we can break up out of here and i can't wait til we can break up out of here oh oh oh oh 
2011,yeah the bad boys are always catching my eye i said the bad boys are always spinning my mind even though i know they're no good for me with the bad boys always catching my eye 
2009,that david played and it pleased the lord hallelujah her beauty and the moonlight overthrew ya and from your lips she drew the hallelujah 
2007,i keep on fallin in and out i never loved someone the way that i loved you i'm fallin in and out 
2009,"""aye it’s a new day it's a new day"" while they getting ready everybody ready yeah there's a feeling that i got that i can't give up feeling in my heart that i can't get over "
1998,wanna be ready when you call my name i don't ever wanna feel fear cos every night feels alright when your near wanna be ready when u call my name 
0,reveal the man i'm the man i'm the man yes i am yes i am yes i am i'm the man i'm the man i'm the man reveal tho i'm the man i'm the man 
2007,and now it chills me to the bone how do i get you alone you said i'm weak and it shows now i'm sitting in this house alone 
2005,it's this 1 thing that's got me trippin you did it's this 1 thing you did oh oh it's this 1 thing that caught me slippin it's this 1 thing i want to admit it 
2008,to get the titanic turned back around it takes more than you've got right now yeah give it time you got things to think of now 
2013,it's this one thing that's got me trippin you did this one thing my soul may be feeling it's this one thing that's got me trippin you did it's this one thing i was so with it 
2014,chorus lil mo if i can go contigo i'll pack my things soon as you say i'll get my things soon as you say baby vamos we'll fly away and if i can go contigo i'll tell my friends nothing at all 
2014,baby i oh baby baby i all i'm tryna say is you're my everything baby baby baby ooh oh oh all i'm tryna say is you're my everything baby 
2013,you should know i'm never gonna change you're so different no one compares and if you never change i'm gonna stay right there i'll always be right there 
2013,i don’t wanna hide the way i feel when you're next to me i love the way you make me feel baby i love the way you make me feel i love the way i love the way you make me feel 
2008,see my days are cold without you but i'm hurtin while i'm with you and though my heart can't take no more i keep on running back to you 
2007,we don't need no more that he said she said she said boy where u been at just like that they what you doing let's get to it 
0,when we love when we love the least of these then they will be brave and free shout your name in victory when we love the least of these 
2000,i was inside of you i saw the sun the moon the mountains and the rivers i saw heaven when i made sweet love to you 
2002,the way you're throwin that thing at me i can't take it oh yeah and then i see that sexy body go bump bump bump i can't take it baby around 
2005,you got me lifted shifted higher than a ceiling suga how you get so fly suga suga how you get so fly sugar how you get so fly 
2002,how come how long it's not right it's so wrong do we let it just go on as well as your eyes 
0,i got nobody my bird has flown in your quiet moments i'll be there and the moment is gone 
2003,got me looking so crazy right now your love's got me looking so crazy right now in love got me hoping you'll page me right now your kiss i'm looking so crazy in love's 
2004,i feel the funk coming over me tonight i'll be your naughty girl i see you look me up and down and i came to party 
2003,a brotha gotta work it out see you gotta work it out oh see you gotta work it out uh see you gotta work it out uh uh 
2007,i ain't worried doin me tonight - a little sweat ain't never hurt nobody gettin bodied i'm the only one tonight gettin bodied gettin bodied want my body gettin bodied won't you get my body gettin bodied you want my body i'm the only one tonight won't ya get me bodied gettin bodied 
2007,notice you the type that like to keep them on a partner let me upgrade you upgrade you partner let me upgrade you let me upgrade you 
2007,she gon take everything i own i can't let you go damn if i let you go if i let you go 
2007,you see i bet you think it's all on track i think it's time to go let's go little kitty kat heon't want no mo let's go little kitty kat he ain't want no mo let's go little kitty kat 
2007,ain't no problem you can go - i will find somebody else s'alright i'll move along - green light so you can go s'alright i'll move along - you got the green light so you can 
2007,oh now i'm done believing you i'm more than what you made of me i've followed the voice you gave to me i've followed the voice you think you gave to me 
2008,i'm a a diva hey i'm a i'm a you act like i just got up in it been the number one diva in this game for a minute 
2008,cuz he can back it up i love his big ego damn i know i'm killing you with them legs he talks like this 
2011,let's start over - we can't let our good love die let's start over - i'm tired of fighting bout the same old thing let's start over yeah we both know that this love won't die maybe we can start all over and give love another life 
2011,you're the only one i see you're the one that gives your all you're the one i can always call always call when i need you make everything stop - finally you put my love on top baby cause you're the one that i love baby you're the one that i need 
2011,i did i've done everything that i wanted and it was more than i thought it would be i will leave my mark so everyone will know - i was here i will leave my mark so everyone will know i want to leave my mark so everyone will know 
2011,and i'mma hit this drink up like it's my last i'mma hit this night up like it's my last i'mma hit this ass up like it's my last like i never had it at all 
2007,lean on me when you're not strong for it won't be long you just call on me brother when you need a hand i just might have a problem that you'll understand 
2004,i used to think that love was just a fairy tale and things we never take notice of you wake up and suddenly you're in love each day i pray this love affair would last forever 
2008,i like the way you work it no diggity i got to bag it up bag it up i got to bag it up get up i got to bag it up 
2009,i'll keep you right by my side cos baby you're the one i want i swear oh yes you are by my side 
2004,one love for the mothers pride one love oh i do believe one love gotta stay alive oh one love one love yeah for the hip hop beats 
2004,you make me wanna call you in the middle of the night you make me wanna hold you till the morning light you make me wanna surrender my soul you're the first and last thing on my mind 
2003,if it's wrong to tell the truth when all i want to do is speak my mind speak my mind if it's wrong to do what's right all i want to do is speak my mind speak my mind 
2004,no one can say we didn't try remember the moments that we shared and i've done it but i've done it my way in the script of my life 
1999,when judgment comes for you cause it's gonna come for you layzie & krayzie see you at the crossroads crossroads crossroads see you at the crossroads crossroads 
2001,you can have it you know you've got it if it makes you feel good take it little piece of my heart now honey 
2007,i'll make love to you and i'll hold you tight till you tell me to i'll make love to you i'll make love 
2009,when summer burns with heat i always get the hots for you it doesn't feel the same it doesn't feel the same oh 
1998,i will get there i will get there i will get there i will get there i will get through the night i will get there will get there 
2009,i will lay down my heart til feel the power then i can't make you love me if you don't you can't make your heart feel something that it won't i will lay down my heart til i feel the power 
0,yeah when i get where i'm going i will shed the sins and struggles and i'll leave my heart wide open i will love and have no fear 
2001,yeah i i'll do anything that you want me to yeah i'll do almost anything that you want me to yeah but i can't go for that no no can do i can't go for that no no can do 
2007,one you're like a dream come true two just wanna be with you three girl it's plain to see that you're the only one for me 
2007,you're more than wonderful the irreplaceable love of my life you're so incredible the irreplaceable love love of my life 
2001,they say it's a miracle and i believe that it is love makes it hard love takes the tears and the pain and turns it into the beauty that remains 
2012,i'm boarding up the windows you're standing in the eye of the hurricane and think i'm fine like i'm in the eye of the hurricane 
2004,coming through like a world premiere trenchcoat and my underwear let's go with this freak show - chorus- 
2004,why don't they just let me live tell me why i don't need permission make my own decisions oh they say i'm crazy everybody's talkin all this stuff about me they say i'm nasty i don't need permission make my own decisions oh 
2010,yes i would die for you baby but you won't do the same yes i would die for ya baby but darling i'd still catch a grenade for ya yeah yeah yeah 
2007,i fell in love with you don't you remember you told me you loved me baby you said you'd be coming back this way again baby i love you i really do 
2010,but if we are the body and if we are the body why aren't his feet going if we are the body 
2010,"but the voice of truth tells me a different story and the voice of truth says ""this is for my glory"" out of all the voices calling out to me the voice of truth tells me a different story "
2010,is there hope for every man is there love that never dies is there peace in troubled times there is hope for every man 
2010,i know you've cast my sin as far as the east is from the west jesus can you show me just how far the east is from the west cause i can't bear to see the man i've been come rising up in me again cause you know just how far the east is from the west 
2007,tis so sweet to trust in jesus bonus track jesus jesus how i trust him o for grace to trust him more i'm so glad i learned to trust him 
2009,we are desperate for your hand we're reaching out we're reaching out with all our minds we're at your feet lord we're reaching out 
2009,joyful joyful we adore you joyful we adore you god our father christ our brother lift us to the joy divine 
2009,dying he saved me rising he justified freely forever one day he's coming oh glorious day oh glorious day 
2005,i'm every woman it's all in me i'll do it naturally cause i've got it i'm every woman 
2006,through the fire to the limit to the wall for a chance to be with you for a chance at loving you i'd take it all the way 
2012,my heart still feels pain you stay on my mind i was yours and you were mine you will be my saturday love 
1997,your love's so good you deserve an encore and i know it's you i wanna see tonight so your show can make me feel good again 
2006,the way you drop drop makes me wanna pop pop let me see if you can run it run it girl indeed i can run it run it girl indeed i can run it run it let's go 
2006,chorus i know you're trying to leave but excuse me miss how i look to keep you here with me oh baby chorus x2 
2005,there's never a right time to say goodbye and i know it's hard but i gotta do it about you and me oh no it ain't 
2007,in her mind she fantasize bout gettin wit me they hatin on me hatin on me because she mine and so fine and thick as can be 
2007,and now i know i can't be the only one i bet there hearts all over the world tonight i bet there's hearts all over the world tonight oh i'm into you and girl baby 
2011,girl i just wanna see you strip right now cause its late babe girl i just wanna see you strip girl take your time with it girl i just wanna see you strip goddamn you sexy goddamn you sexy goddamn you sexy girl i just wanna see you 
2012,oooh baby let's get naked baby i know what to do so come on baby girl let's just take our clothes off 
2013,and your nigga can't do nothing for ya and your nigga can't do nothing for ya nothing no and your nigga can't do nothing for ya no nothing and your nigga can't do nothing for ya can't do nothing for ya 
2013,we do it like we rock stars i might sound crazy that’s how it is imma get it imma get it till we get it till we get it 
0,i don’t think they know the truth don’t listen to how could they know what people say how could they know they don’t know about how could they know 
2013,we can take it slow or act like you're my girl let’s skip the basics whoa no when you're mine i'll be generous you're irreplaceable a collectible it's alright i'm not dangerous 
2002,it's about time that i came to start the party dancing getting just a little naughty it's about time that i came to start the party party dance and getting just a little naughty 
2010,i'm not myself tonight tonight i'm not the same girl same girl tonight i'm not the same girl same girl ohohoho i'm not myself tonight yeah 
2012,right now oh yeah so can you co(ooh)ol oh baby right now i wasnt trying to fall for ya 
2012,all i wanna do is fuck your body tonight’s your lucky night i know you want it oooooh ooooh oooooh oooooooh say say say hey 
1992,it turns me on oh yeah it makes me wanna stay another day another day it's the way you move me it's the way you do me 
1991,if i'm dreaming then just let me sleep don't wake me up just let me sleep 
2005,and i know that he won't break my heart and i know that we won't ever part it's time for us to say goodbye and i wanna be with him forever 
2007,cause i am what he wants it's just that he knows what i want so bad i love that i can't leave ‘em alone it's just that he know what i want 
2007,but you just can't fight the feelin inside i just can't help it i can feel it in the beat uh but you just can't beat the feelin inside 
2009,all night show it just you and the crowd and i bet that i can make you believe in love and sex and magic in love and sex and magic ah 
2009,when it comes to love i’m like a surgeon i’ma true techtician i’ma make your body better when we get in the right position my loves like anesthesia i’ll rock you fast to sleep lay yo head back on that pillow and relax yo mind 
2009,what would you do if your son was at home cause he's hungry and the only way to feed him is to but for me this is what i call life mmm cause i wouldn't want my baby to go through what i went through 
2009,cuz anywhere i go i'm spotted and anything i want i got it smile like the sunrise let me tell you i'm the type that's strong 
