year,V1
2014,she's smoke i pull her in nice and slow the one she stole watching her sway and go 
0,hold your warm and tender body close to mine and make believe you love me one more time for the good times there'll be time enough for sadness when you leave me 
2006,"can't hide this love that i feel never been the kind of guy to fall in head over heels couldn't speak the words ""i love you"" "
1998,i missed her first steps is something i seldom hear i do my best to do my part is something i seldom heard 
2008,in the man that she loves just one chance to tell her how much he still loves her no that's all i want to say 
2009,cause all i've ever wanted it's time to be somebody just wanna be heard and sing i'm chasin that neon rainbow 
2008,and if i had it to do all over i'd do it all over again i'd love you all over again i'd still do it all over again 
2008,and they made their house from a toolshed and they built walls all around it and they made that house a home lord there'll never be another place 
2007,cause it's midnight in montgomery just hear that whip-poor-will see the stars light up the purple sky feel that lonesome chill midnight in montgomery he's always singing there and see the stars light up the purple sky feel that lonesome chill 
2006,and i took her by the arm and said don't leave me and i said someday i'll get my life straight and she said it's too late what's done is done and i told her someday she said i can't wait 
2009,i've got precious memories at my beck and call i've got everything a broken heart needs oh i'm doin fine don't you worry bout me oh who says you can't have it all 
2001,i go downtown buy a mercury or two crazy bout a mercury lord i'm crazy bout a mercury hey now mama 
1993,everything's gonna be all right i know it's the coldest time of winter and i shiver when i see the falling snow it's meant to be this happy time of year 
2008,livin on love buyin on time just like an old-fashioned story book rhyme it sounds simple that's what you're thinkin it doesn't take much when you get enough 
2009,she's gone country back to her roots she's gone country a new kind of suit he's gone country back to his roots he's gone country a new kind of suit 
2007,but i'm in love with you baby and i don't even know your name i'm in love with you baby i don't even know your name i've never been too good with all those sexual games i'm in love with you baby and i don't even know your name 
2009,for a sound like the sun going down there's a song for the life i have found for a sound like the breeze dying down there's a song for the friend i have found 
1994,when i'm on the road when i'm far from home and feelin blue that's a song i'll never forget 
1995,and i'll try my best to be true oh darling i'll try i'll try 
2007,well it's alright to be little bitty a little hometown or a big old city life goes on for a little bitty while it's alright to be little bitty 
2007,coffee keeps me up and i can't sleep everything i love is killin me everything i love gonna have to give up cause everything i love is killin me 
2007,and there goes your paralyzin eyes there goes my act of playin it cool and there go the words i meant to say there go the games i wanted to play 
2007,but still you wonder and who don't even care anymore and who's car is parked next door and who's being true 
