year,V1
1999,you can dance you can jive having the time of your life see that girl watch that scene digging the dancing queen you are the dancing queen young and sweet only seventeen dancing queen feel the beat from the tambourine oh yeah 
2015,having the time of your life dig in the dancing queen you are the dancing queen you can dance you can jive 
2008,if you change your mind if you need me let me know if you've got no place to go if you're all alone 
2008,and all i've learned when i don't have you near don't go sharing your devotion i've had a few little love affairs 
2005,a freak in the evening just like me cause i'm that kind of girl come on and i will take you around the hood on a gangsta lean 
2007,and i just can't wait till the day when you knock on my door and don't it feel good yeah i'm on sunshine baby yeah 
2001,i'll do it and only for you can't you see i'm not for ever you and me can make it happen 
0,and i'll be yours yours until the stars fall from the sky yours yours until the rivers all run dry yours yours until the poets run out of rhyme in other words until the end of time 
2014,so one last time i need to be the one who takes you home one more time - i promise after that i'll let you go baby i don't care if you got her in your heart so one last time i need to be the one who takes you home takes you home boy 
2014,this is the part when i say i don't want ya i'm stronger than i've been before this is the part when i break free cause i can't resist it no more 
2008,i'm crucified a lifetime i prayed i've played a double jeux i cry i pray mon dieu 
2010,cause deeper and deeper in love with you i'm falling i'm gonna love you love you love you just a little more baby in love with you i'm falling yeah 
2013,the rhythm of the night this is the rhythm of my life my life oh yeah the rhythm of my life this is the rhythm of my night the night oh yeah 
0,it's in his kiss or is it in his face oh it's in his kiss oh no that's not the way 
2004,i feel the funk coming over me tonight i'll be your naughty girl i see you look me up and down and i came to party 
2002,oh oh dancing with myself leave me dancing with myself if i had the chance i'd ask the world to dance 
2008,she's tearing out her hair she's screaming my name in the night she got a red pill blue pill red pill blue pill 
2007,and i will charm i will dazzle them with my wit i will dazzle i will outshine them all 
2007,we were hoping for some romance all we found was more despair we must talk about our problems we are in a state of flux 
2008,and when it comes it will feel like a kiss silent about it and when it comes it will feel like a kiss and i cannot say that i was not warned or was misled when it comes it will feel like a kiss 
2007,do it now so let's do it like they do on the discovery channel gettin horny now so if i capsize on your thighs high tide b-5 you sunk my battleship 
2005,get down on it - c’mon and get down on it - if you gotta feel it get down on it - get down on it get down on it 
1999,believin in what they do kalimba de luna show me the way kalimba de sol 
2009,you wanna oh mama and i can't help but feeling this way you're the one who can change my tomorrow today won't you ride on the wings of my fantasy 
2009,every now and then i get a little bit nervous and then i see the look in your eyes every now and then i fall apart and we'll only be making it right 
2009,i will lay down my heart til feel the power then i can't make you love me if you don't you can't make your heart feel something that it won't i will lay down my heart til i feel the power 
2006,i wonder wonder wonder wonder who taught her how to talk like that i wonder wonder wonder wonder who gave her that big idea i wonder wonder wonder wonder who put those ideas in your head i wonder wonder wonder wonder who got you thinking like that boy 
2005,all night disco party east west north south left right 
2005,with the taste of your lips i'm on a ride i'm addicted to you don't you know that you're toxic and i love what you do don't you know that you're toxic taste of your lips i'm on a ride 
2014,that place we went the last time the last time that place we went the last time the last time ohh oh-ooh moonshine oh moonshine 
2006,i'm gonna run to you cause when the feeling's right i'm gonna run all night cause when the feeling's right i'm gonna stay all night oh when the feeling's right i'm gonna run all night 
2006,baby you're all that i want when you're lyin here in my arms and baby you're all that i want i'm finding it hard to believe 
2011,t-teach me how to dougie all my bitches love me all my all my bitches love me you ain't fuckin with my dougie 
0,you know it's up to me so don't break me tonight and you know yes i need your love 
2014,why does your love hurt so much why but all the while you just betrayed me you say you'll come back again someday 
2005,i'm every woman it's all in me i'll do it naturally cause i've got it i'm every woman 
2007,wherever you go i'll be with you whatever you want i'll give it to you to lay your heart and head upon remember after the fire after all the rain 
0,did you know you never had it you'd be coming around love's pouring out of my soul and i betcha didn't know 
0,it's in his kiss that's where it is if it's love if it really is it's there in his kiss oh it's in his kiss that's where it is 
0,the music's no good without you baby come back to me come back to me come back to me the music's no good but i know you don't need me anymore 
2001,love one another sisters and brothers love one another -- hey hey love one another father and mother everybody needs a little tenderness 
2012,my heart still feels pain you stay on my mind i was yours and you were mine you will be my saturday love 
2007,in her mind she fantasize bout gettin wit me they hatin on me hatin on me because she mine and so fine and thick as can be 
2008,it's like i've waited my whole life for this one night cause we've only got one life double your pleasure double your fun and dance forever ever ever it's like i've waited my whole life for this one night one night 
