year,V1
2007,i'll be more than a lover more than a woman more than enough for you i'll be more more than a lover 
2008,and all i've learned when i don't have you near don't go sharing your devotion i've had a few little love affairs 
2008,i feel i'm and i'm close to fainting they must know by now i'm in here trembling there is no escaping now i'm 
2005,a freak in the evening just like me cause i'm that kind of girl come on and i will take you around the hood on a gangsta lean 
2011,i'll hit you right and you can have all of me tonight vamos vooar no ar you got me like a bullet haha taking flight like you like i give it to you 
2004,i got a feeling baby it's about the time of day i'm so excited i know exactly what i'm gonna do-oo i'm a detective i'm all over you 
2001,can you hear what i hear out of reach take me to my beach i can hear it calling you i'm coming not drowning 
2013,it was just a reflector it was just a reflector but i see you on the other side just a reflector we all got things to hide just a reflector it’s just a reflector 
2014,this is the part when i say i don't want ya i'm stronger than i've been before this is the part when i break free cause i can't resist it no more 
2011,i got the feeling and assume the lane and we got a party on the left a party on the right pass me the scalpel i'll make an incision i'll cut off the part of your brain that does the bitching 
2006,hell yes now i'm moving this way i'm doing this thing please enjoy hell yes now i'm turning it on i'm working my legs hell yes now i'm calling you out i'm switching my plates please enjoy hell yes now i'm cleaning the floor my beat is correct 
2014,whoa there daddy daddy didn't bring the towel and we ain't even gon make it to this club i just wanna be the girl you like girl you like the kinda girl you like girl you like i just wanna be the girl you like girl you like the kinda girl you like is right here with me 
2007,so i go hunting for witches i go hunting for witches heads are going to roll i go hunting for 
2008,i can be as cruel as you fighting fire with firewood fighting lies with lies if you need time 
2000,freestyler rock the microphone yeah straight from the top of my dome as i rock rock rock rock rock the microphone hit me hit me 
2007,but don't you weep don't you weep for them don't you weep don't you weep there is nothing as lucky honey don't you weep don't you weep for them 
2007,keep watching feels like the crowd is saying gimme gimme more gimme gimme more gimme gimme more gimme more give me more yeah 
2008,it's me and you now oh yeah yeah i've been waiting it's me and you now yeah i've been waiting now i've been waiting it's just me and you think i wanna make that move now it's just us two 
2010,cause i i'm in love with this feeling now you like to drink yeah so do we yeah get more bottles yeah bring them to me yeah yeah yeah yeah girl i gotta i gotta i gotta 
2009,that bitch ain't a part of me no that bitch ain't a part of me i said no that bitch ain't a part of me she's got a hold got a hold of me neck oh yeah 
2010,i'm not myself tonight tonight i'm not the same girl same girl tonight i'm not the same girl same girl ohohoho i'm not myself tonight yeah 
2012,submerge from hurt pain broken pieces rise up lotus rise this is the beginning this is the beginning i leave the past behind 
2012,right now oh yeah so can you co(ooh)ol oh baby right now i wasnt trying to fall for ya 
2009,all night show it just you and the crowd and i bet that i can make you believe in love and sex and magic in love and sex and magic ah 
2015,sometimes you just gotta leap – yeah you are sometimes it's just gonna hurt – yeah but you gonna live and learn – yeah 
2009,dare i give in to this thing gripping my skin seems like i stand pretty much unseen but i open my eyes and beams come out let my loneliness get blown away 
2008,listen down you little man i'm not the one who's trying to change you and if you come to understand it'll be okay yeah you need to change it 
2011,think you've made your greatest mistake i'm not gonna call this a break think you really blew it this time i see it written in your face you know you made it 
2009,everybody says that i've gotta get a grip but i just think i'm free man i'm just living my life man i'm just livin my life 
2008,dizee rascal that's why i'm asking b if i'm out on a date tell your boyfriend to hold your jar 
2013,i don’t need no speed i don’t need no heroin i’m a bassline junkie what i don’t like it funky 
2006,i'm not aware of too many things religion is the smile on a dog i know what i know if you know what i mean d-doo yeah philosophy is a walk on the slippery rocks 
2003,philosophy is the talk on a cereal box i know what i know if you know what i mean d-do ya before i get too deep what i am is what i am 
2010,poppin bottles in the ice like a blizzard when we drink we do it right gettin slizzard hell yeah make you put your hands up make you put your hands up when we drink we do it right getting slizzard 
2012,yeah working at the pyramid oh yeah working at the pyramid tonight yeah working at the pyramid but your love ain't free no more she's working at the pyramid tonight yeah working at the pyramid that's right working at the pyramid tonight 
2007,i am milk i am red hot kitchen and i am cool i am lost 
2005,boys in the girl's room you free your mind in your androgyny i'll free your mind in your androgyny i'll free your 
2010,shawty's like a melody in my head that i can't keep out it's like my ipod's stuck on replay got me singin like ay 
2010,i give you my fortune and fame i'd even give you my name girl you take me higher girl you take me 
2009,even if the sky is falling down you won't be lonely even if the sky is falling down you'll be my only no need to worry baby are you down down down down down down down 
2008,and then the harder they come the harder they fall one and all ooh the harder they come harder they fall one and all 
2008,i'm ready to go right now give me the greenlight if you'll be my girlfriend then i'll make it so ha i got you gigglin like i'm piglet 
2002,and you're all alone by the telephone lift up the receiver i'll make you a believer 
0,go and tell that midnight rider tell the rambler the gambler the back biter tell em that god's gonna cut em down tell em that god's gonna cut you down 
2012,i told you so don't wanna brag but you already know oh-oh don't wanna brag but you already know i told you i told you 
2010,i can see the heavens i can see the writing on the wall i can’t ignore this war and i can see the heavens 
2009,you can break these rules if you wanna have some fun think of all the love that you would lose if i can't have you if i can't have you 
2013,i like i like i like my kisses down low when you give it to me slow when you give it to her slow i like my kisses down low 
2009,and it knocks you down when it knocks you down knocks you down so will you bring a better future than i had in the past 
2010,get ready cause we like it loud cause we were born to make some noise don't tell me we should turn it down nobody's gonna shut it down yeah 
2010,i know nobody else can get in the way this time just can’t stop the light i know nobody’s gonna get in the way of my i know nobody’s gonna get in the way of my shine 
2011,throw bombs on it throw bombs on it yeah cause we throw bombs on it cause we throw bombs on it yeah 
2012,a world to be discovered and now it's my turn to fly let this be the last time i say goodbye now we're on a trip around the world 
2008,don't ride the white horse if you wanna be rich bitch ride the white pony 
2009,so i pick the world up and i'ma drop it on your fuckin head yeah so i could pick the world up and i'ma drop it on your fuckin head ha-ha yeah hop up in my spaceship and leave earth motherfucker i'm gone motherfucker i'm gone i'm gone pick the world up and i'ma drop it on your fuckin head yeah 
2013,hey get your back off the wall don't you get comfortable looking so hot i think that i might fall just what i want so when we move you move 
2001,is the last day that i'm using words lost their meaning let's get unconscious 
1998,there's nothing left to try there's no place left to hide there's nothing left to lose there's no more heart to bruise 
2001,tell the bed not to lay like a open mouth of a grave don't you ever tell me love isn't true don't you ever tell me everything i'm not but 
2003,there is no resurrection and the love direction you make me shine and i know i can feel bad 
