year,V1
2008,there was something in the air that night they were shining there for you and me if i had to do the same again though i never thought that we could loose 
0,there's just no future left for us to dream of living in an era of instability so caught up in the culture of their rivals fear breeds in honest men it's a high pressure low 
2014,who's gonna take you home tonight who's gonna take you home you should've been a wife you should've been gone from here years ago 
2009,that david played and it pleased the lord hallelujah her beauty and the moonlight overthrew ya and from your lips she drew the hallelujah 
0,she smell the daisy she drive me crazy yeah hey gonna kissing my arms 
2001,i'll do it and only for you can't you see i'm not for ever you and me can make it happen 
1967,"walk right in it's around the back just a half a mile from the railroad track now friends there was only one or two things that obie coulda done at the police station and the first was he coulda given us a medal for being so brave and honest on the telephone which wasn't very likely and we didn't expect it and the other thing was that he coulda bawled us out and told us never to be see driving garbage around the vicinity again which is what we expected but when we got to the police officer's station there was a third possibility that we hadn't even counted upon and we was both immediately arrested handcuffed and i said ""obie i don't think i can pick up the garbage with these handcuffs on"" he said ""shut up kid get in the back of the patrol car i said walk right in it's around the back just a half a mile from the railroad track and you can get anything you want at alice's restaurant "
2015,this is the album right here tonight the city is full of morgues there's shopping malls coming out of the walls i pay no mind 
0,and it's all in your mind and i wanted to be i wanted to be your good friend 
2010,i am the sky i am the sea i'm anything that you want me to be i'm the kind of man that you can't explain 
1969,don't ask me why but time has passed us by now we are tall and christmas trees are small and you don't ask the time of day but you and i our love will never die 
2009,i still remember you i love you in my heart lies a memory to tell the stars above don't forget to remember me my love 
2005,i don't hear a word they're sayin i don't even see their faces only the shadow of their eyes i said everybody keeps talkin at me 
2011,baby let me follow you down well i'd do anything in this god almighty world if you just let me follow you down baby can i come home with you 
2014,and where have you been and what did you see i heard the sound of a clown who cried in the alley and who did you meet 
1993,you may see the floating motion of a distant pair of wings and if the sleep has left your ears you might hear footsteps running through an open meadow it will not harm you i chase the bright elusive butterfly of love 
2005,i'm goin where the sun keeps shinin goin where the weather suits my clothes bankin off of the northeast wind sailin on summer breeze 
2005,they was a-splishing and a-splashing moving and a-grooving i was a rolling and a-strolling splishing and a-splashing yeah 
2010,before you tried to work out all the unknowns blame it all on me when i forget to defend i cannot help searching for what memory found i guess she was just searching for some knowledge or sound 
2004,and witness our home on the range in the land in the dust trust that you must over and over the thresher and hover the wheat field 
2007,the city's cemetery's humming i'm wide awake it's morning so when you're asked to fight a war that's over nothing but we're gonna make em god damn certain how it's gonna end 
2004,two lovers in love can't make it no matter how hard i try i always make you cry all that's happening here is a long goodbye 
