year,V1
2005,it's this 1 thing that's got me trippin you did it's this 1 thing you did oh oh it's this 1 thing that caught me slippin it's this 1 thing i want to admit it 
2013,it's this one thing that's got me trippin you did this one thing my soul may be feeling it's this one thing that's got me trippin you did it's this one thing i was so with it 
2007,all the girls in the club got their eyes on me i can tell by the look that they want to be but it's not not no it's not like that but i'm not not not that girl 
2004,i know i had to hold you and make you mine in ecstasy when you're layin down next to me oh no no ecstasy yeah when you're layin down next to me livin in ecstasy well when you're layin down next to me 
0,it's only love that you're feeling it's only love that you're giving it's only love that you're giving giving it's only love that you're giving yea 
2004,i feel the funk coming over me tonight i'll be your naughty girl i see you look me up and down and i came to party 
2003,a brotha gotta work it out see you gotta work it out oh see you gotta work it out uh see you gotta work it out uh uh 
2007,ain't no problem you can go - i will find somebody else s'alright i'll move along - green light so you can go s'alright i'll move along - you got the green light so you can 
2007,lean on me when you're not strong for it won't be long you just call on me brother when you need a hand i just might have a problem that you'll understand 
2008,drop all your troubles by the riverside catch a painted pony on the spinning wheel ride someone's waiting just for you ride a painted pony let the spinning wheel fly 
2005,get down on it - c’mon and get down on it - if you gotta feel it get down on it - get down on it get down on it 
0,big time - anytime you kiss me i can't wait let's have a big time - you and i just wanna have a good time - when we fly let's have a big time - yeah-ah-ah 
2005,i'm every woman it's all in me i'll do it naturally cause i've got it i'm every woman 
2007,it's silly no when a rocket ship explodes it's silly now when a rocket ship explodes some say a man ain't happy truly yeah don't you know we can change the world 
2012,i wasn't trying to lead you on i didn't mean to turn you on i want a friend i didn't mean to turn you on oh 
2012,right now oh yeah so can you co(ooh)ol oh baby right now i wasnt trying to fall for ya 
2007,i bet you're singing proud it's gonna be all right on the nightshift it's gonna be alright on the nightshift oh i bet you'll pull a crowd oh yeah 
1994,cuz you can't have the hop if you don't have the hip slide slide hoo ride that's why i pack my 45 slide slide slippity slide if you're living in the city it's do or die slide slide hoo ride you better be ready for the 5 rolls by 
2006,i take a look at my life and realize there's nothin left i'm the kind of g that little homies wanna be like living in a gangsta's paradise i can't live a normal life i was raised by the street 
2010,and just because of that you act you don't like the brother no more if you ever get there see you when you get there and if you feel you're out the game then you need to get back in it 
2015,liar liar she's on fire she's waiting there just when she thought i was sleeping 
0,i'm coming out i want the world to know i got to let it show i'm coming out comin 
2005,the humpty dance is your chance to do the hump do the humpty hump come on and do the humpty hump do ya know what i'm doin doin the humpty hump do the humpty hump do the humpty hump 
2005,mm walk on by don't stop the tears and the sadness you gave me is all that i have left baby never even see the tears i cry don't don't stop 
2005,george clinton and dr dre swing down sweet chariot stop and let me ride with all the niggas sayin swing down sweet chariot stop and let me ride with all the motherfuckin bitches sayin swing down sweet chariot stop and let me ride you know what i'm sayin 
0,bitches ain't shit but hoes and tricks lick on these nuts and suck the dick gets the fuck out after you're done and i hops in my ride to make a quick run 
0,let this groove get you to move it's all right all right let this groove set in the shoes let this groove light up the fuse 
0,and drink some cherry wine oh oh to have a good time oh oh and drink some cherry wine oh yeah oh yeah 
2008,and that i was the star of the movie i was taken to a place out of the middle came a lady spill the wine take that pearl 
2012,we don’t need each other now we don’t need the city we can move beyond it now and you can't steel my thunder 
2014,when you find it all around you say it's what you need and hide your eyes when you're close to me well it comes in waves but it's hardest from the start you know it ooh ooh 
2005,boys in the girl's room you free your mind in your androgyny i'll free your mind in your androgyny i'll free your 
2005,it's coming up you just think it hold it down there jump with them all and move it 
2009,where you from you sexy thing sexy thing you since you came along you sexy thing i love the way you touch me darling you sexy thing 
2003,{das} so come on and chickity - check yo self before you wreck yo self yeah come on and check yo self before you wreck yo self {ice} big dicks in yo ass is bad for yo health {ice} cause bitches like you is bad for my health 
2008,i wanna take you higher yeah let me take you higher don't ya wanna get higher yeah don't ya wanna get higher 
2007,wow i feel nice i feel nice i know that i can't do no wrong and i feel nice 
2011,come here sisterpapa's in the swing he ain't too hipabout that new breed thing papa's in the swing but i can dig the new breed thing 
2015,people of the world today are we looking for a better way of life we are a part of the rhythm nation we can get it right one time 
1997,you gotta mean what you say tryin to please everyone you can't blame nobody but you the only one you know you cannot lie to 
2013,i did not know it was love i hope this night will last forever makes me feel this way loves me better than you 
2017,the only life i ever known and the lord knows i loathe tobacco road bring it back to tobacco road 
0,and oh darling i was blind to let you go let you go baby i want you back oh darling i was blind to let you go 
2011,and drink some cherry wine uh-huh oh no no oh we don't have to take our clothes off oh no and drink some cherry wine uh-huh we don't have we could dance and party all night dance and party yeah 
2004,it's your time to too too hott too hott everybody's got it goin on and on and on you know i like it when you uh uh uh 
2008,let me stand next to your fire whoa let me stand baby yeah let me stand baby oh let me stand baby 
2008,i'm ready to go right now give me the greenlight if you'll be my girlfriend then i'll make it so ha i got you gigglin like i'm piglet 
2007,now why do you wanna go and put starz in their eyes and it's a long way to come from the dog and duck karaoke machine it's the same old story but they just didn't realize and it's a long way to come from your private bedroom dance routines 
2007,how many times have we slept side by side a thousand miles apart and how many times have we thought we could finish something we could never even start how many times have i said i love you and i hate you in the same breath and how many times have we tried to grab something when there was nothin 
2014,got the feeling i can't deny only thing is baby i want it all all i need is one more night with you it's amazing what just one more night can do 
2013,say my name like a scripture legendary lovers we could be legendary we should be legendary 
2015,now i run the game got the whole world talkin king kunta everybody wanna cut the legs off him king kunta bitch where was you when i was by the time you hear the next pop the funk shall be within you 
2007,say hey hey hey hollywood hollywood swingin and i saw a kool and the gang show i always wanted to get into a band 
2008,we gonna celebrate and have a good time we gonna celebrate and party with you let's all celebrate and have a good time yeah yeah let's celebrate come on now 
2007,all night long all night all night all night long all night yeah all night all night long all night ah yeah all night all night long all night woah all night 
2005,i know you are my one and only i know you are my destiny girl my love's for real 
0,but we won't let nothin hold us back we're gon polish up our act yeah i know that you refuse to be held down any more yeah-yeah i know that you refuse to be held down any more 
2005,come on cactus is our friend he'll point out the way come on til the evening ends til the evening ends 
0,i didn't mean to turn you on you read me wrong i wasn't trying to lead you on i want a friend 
2007,stop me oh i said stop me cause you don't really love me no get out my life why don't you girl cause you don't really love me no no no 
2008,after all you've done for me oh woman you'll always be a part of me i i can't forget you woman you'll always be a part of me 
2006,talk to me sister so you can see sister come on talk to me brother so you can see brother tell me what's going on what's going on i'll tell you what's going on what's going on 
2009,i ain't gonna push i won't push you baby so come on come on come on come on come on baby no i ain't gonna push i won't push you baby but come on come on come on come on come on darlin 
2008,gonna love every day every night till i get it i've been racing against time trying my best to find my way blowin coke all up my nose 
0,some said you can leave but it's going to cost you yeah she said you can leave but it's gonna cost you dearly oh you can leave but it's going to cost you hah dearly you can leave but it's going to cost you 
0,i hope this night will last forever you knew i could not resist makes me feel this way loves me better than you 
2007,see the nation through the people's eyes see tears that flow like rivers from the skies where others turn and sigh you shall rise 
1994,pumps and a bump pumps and a bump we like the girls with the pumps and a bump if you wanna kick it with a g baby here's me ladies all everyone there's a man who is tight who can hit it all night but a nigga like me will dance up to some chopping and chewing 
1995,lean on me we all need somebody to lean on i just might have a problem that you'd understand 
1983,if you live it off the wall life ain't so bad at all live life off the wall live your life off the wall live it off the wall life ain't so bad at all live life off the wall 
2008,i said you wanna be startin somethin and the pain is thunder yeah yeah you're a vegetable you're a vegetable you're just a buffet you're a vegetable 
2008,you're fighting for your life inside a killer thriller tonight yeah you hear the door slam and realize there's nowhere left to run that it's a thriller thriller night so let me hold you tight and share a killer diller chiller thriller here tonight 
2008,she's just a girl who claims that i am the one but the kid is not my son she says i am the one but the kid is not my son she says i am the one 
2008,i want to love you you need some lovin i'll take you there take you there 
2004,jam it ain't too much it ain't too much for me to jam it ain't don't you jam it ain't too 
2007,had a hold on me they thought they really had control of me cause you really can't control me endo smoke got me choked and i'm hopin 
2002,oh this love's for you oh what fantasy this love's for you you're sweet as honey dew 
2015,by the way what he say that he love my sex appeal so i pulled up in the jag and i hit em with the jab like 
2010,so let your hair down now yeah maybe it's not so bad so let it all come down just let it all come down 
0,oh i've been feedin the rhythm huh i've been feedin the rhythm show for you gonna feel that power build in you show for me come on come on help me do show for you 
0,in your eyes i am complete in your eyes i see the doorway in your eyes the resolution in your eyes of all the fruitless searches 
0,i love the way you're talking nasty you know you're just my type boy you're just so nasty you know you're just my type boy you're just so 
2016,i'm gonna put her in the back seat yeah yeah yeah better days yeah yeah yeah it's o-o-k u jerk ur body like a horny pony would 
1986,you don't have to be rich to be my girl you don't have to be cool to rule my world i just want your extra time and your kiss ain't no particular sign i'm compatible with 
2008,oh baby love me right cause with you is where i got to be yeah you know i want to be the only one cause with you is where i got to be 
2007,are we breakin up breakin up is there trouble between you and i is there trouble on the line is there trouble between the lines 
2005,strollin in the park watching winter turn to spring walkin in the dark seein lovers do their thing ooh that's the time i feel like makin love to you when you're touchin me and my feelings start to show ooh 
0,don't stop moving to the s club beat don't stop moving listen to the music taking you to places don't stop movin to the s club beat 
1988,give you the world if it was mine blow you right to my door i'm yours - you're mine i wanna share my life with you 
