year,V1
2004,a course of a lifetime you'll never forget i'll show you how to in eight easy steps how to hate women when you're supposed to be a feminist how to keep smiling when you're thinking of killing yourself 
2005,was this over before before it ever began like the devil's got your hand your lips your lies your lust like the devil's in your hands 
2005,and i don't want it the things you're offering me cause i'm a 21st century digital boy i don't know how to read but i got a lot of toys see i'm a 21st century digital boy 
2007,i pray to god that you're right before my eyes time's what we don't have everywhere i look someone dies i built a time machine to escape from all the pain in the back of my car 
2007,i'll be sitting on the left side if we don't know where we belong look out kid cause here it comes you're not the lucky ones 
0,we weren't born to follow you gotta stand up for what you believe yeah yeah yeah ooh yeah this ain't about our living in a fantasy 
2001,i got to feel when i touched your lips the things we do to the people that we love destroy the world that we took so long to make the way we break if there's somethin in the way 
2011,she got the antidote she knows the other way she really understands i don't what the hell to say i don't what the hell to say i'm on the other side 
2009,could've been the champagne the champagne could've been the way you looked at me that told me we were through could've been the real way the real way well could've been the champagne the champagne 
1997,"cause precious declaration reads ""yours is yours and mine you leave alone now"" ah ah ah ah ah precious declaration reads "
2009,and i said oh all held captive out from the sun sun that shines on only some we the meek are all in one 
2009,don't have to settle the score of one king don't have to settle no goddamn score i said you know of one king 
2009,well i just heard the news today i close my eyes i'll show you everything i'll show you love 
2009,at sunrise i fight to stay asleep cause i don't want to leave let's make our escape to a place with golden streets 
2001,when you are with me i'm free i'm careless this brings tears to my eyes cause when you are with me i'm free 
2009,burning i'm not used to seeing you i can feel you all around me thickening the air i'm breathing holding on to what i'm feeling 
2008,listen down you little man i'm not the one who's trying to change you and if you come to understand it'll be okay yeah you need to change it 
1991,there's a place i'd like to go when you get there then i'll know there you are and here i stand but you're not there 
1995,i can hear them talking in the real world esther used to be the kind of lover that you would never leave yeah ah she'd do anything to give me what i need for my disease that i'm losing myself in a white trash hell 
1995,i don't want to be your stupid game we can live beside the ocean leave the fire behind watch the world die 
2004,you do what you do you know all the right people yeah you say what you say oh you do what they tell you to do 
2004,i will buy you a new car perfect shiny and new yes i will ooh i will buy you a garden 
2004,i loved it when you held me high daddy gave me a name my daddy gave me a name then he walked away 
2004,promises mean everything i just don't understand how you can smile with all those tears in your eyes when you tell me everything is wonderful now 
1995,there is no god a once upon a fairy tale's fraud there is no god no oooh so you say there is no god 
1995,cause i'm a cynical fuck well i ain't nothing but a cynical fuck it don't take much to be a cynical all you need is love 
1998,i wish you would leave me alone i just want to be alone i want to be alone i just want 
