year,V1
2007,that you was tryin to get with me she would probably curse you out and unplug her phone i bet she'd be glad that you was gone and then she wouldn't have to worry 
2007,i'll be more than a lover more than a woman more than enough for you i'll be more more than a lover 
2008,even though im in the streets you aint gotta wait for me to bring it back home to you cuz i ride or die girl we gon be good and if you ride or die we gon make it out this hood 
2014,i come looking for you with haitians i fuck bitches from different races you get money they started hating turn up i come looking for you with haitians what you know about this 
0,cause i got high because i got high i was gonna go to class before i got high c'mon y'all check it out cause i got high keep going 
2011,i'll hit you right and you can have all of me tonight vamos vooar no ar you got me like a bullet haha taking flight like you like i give it to you 
2006,cause that's the life when you're livin in the ghetto that's the life when you're cause that's the life you're 
0,how can we work it out cause it will soon come cause it will soon come yeah cause it will soon come soon come 
2006,i know you see me lookin at you and you already know i wanna fuck you you already know i wanna fuck you you already know girl bouncin got me tippin my glass 
2008,i see you in the club i wanna get with you yeah i wanna get with you akon & colby o'donis 
2006,i get it in till the sunrise why do you wanna count my money i'ma hustla don't need them one of ya'll ya see i'm so paid 
2008,i got a man with two left feet he does nothing the boy does nothing i wanna see you work i wanna see you move your body in turn 
2006,i live for that talk when you call me your chick just so all the girls know i gotcha for keeps in a matter of days i'm not myself i'm all over the place i get a chick fit 
2007,and now it chills me to the bone how do i get you alone you said i'm weak and it shows now i'm sitting in this house alone 
2005,it's this 1 thing that's got me trippin you did it's this 1 thing you did oh oh it's this 1 thing that caught me slippin it's this 1 thing i want to admit it 
2008,like i knew i would i told you i was trouble you know that i'm no good yeah you know that i'm no good 
2013,it's this one thing that's got me trippin you did this one thing my soul may be feeling it's this one thing that's got me trippin you did it's this one thing i was so with it 
2014,chorus lil mo if i can go contigo i'll pack my things soon as you say i'll get my things soon as you say baby vamos we'll fly away and if i can go contigo i'll tell my friends nothing at all 
2013,you should know i'm never gonna change you're so different no one compares and if you never change i'm gonna stay right there i'll always be right there 
2003,take me to another place make me forget all that hurts me take me to another place home take me to another land home 
2009,i danced my ass off but my good friends is all i need go out to eat then do it again drink my beer and smoke my weed you're all invited 
2007,i don't ask for much all i want is love someone to see that's all i need can you be good to me good to me please 
2005,you got me lifted shifted higher than a ceiling suga how you get so fly suga suga how you get so fly sugar how you get so fly 
2011,this one's for you and me livin out our dreams is a sky full of lighters a sky full of lighters and now i'm fantastic compared to a weed high cause this one's for you and me livin out our dreams 
1991,we've got to fight the powers that be cause we don't know the game buddy elvis was a hero to most nutty buddy was a hero to most 
1995,that funky monkey brass monkey junkie brass me and the crew we're drinking brass monkey 
1989,"one two three four he's got the hand me down pumas and the tie dyes he lives in the street but he's no bum no one two three"" "
2009,you've gone wet look crazy and messed with your head you fucked around and wound up with the bald skin head so get that money out of your ass you whore why you wanna beat your girl like that 
1999,someday we shall one i've seen better nights than this one 
1999,pull up at the function and you know i'm kojak timing like a clock when i rock the hip hop and that's a lot because i've got my share i've got a hole in my head and there's no one to fix it 
2004,check-ch-check-check-check-ch-check it out what-wha-what-what-what's it all about work-wa-work-work-work-wa-work it out let's turn this motherfuckin party out 
2004,we we gotta gotta be be fore fore it's too far gone we gotta work together it's been too long 
2004,well lemme tell you we're triple trouble y'all we're gonna bring you up to speed check it out i got kicks on the one seven and eleven you're like a fish-wife quit your damn whingein 
2004,brooklyn bronx queens and staten from the battery to the top of manhattan we're doing fine on the one and nine line to the city that blends and mends and tests 
2011,i got the feeling and assume the lane and we got a party on the left a party on the right pass me the scalpel i'll make an incision i'll cut off the part of your brain that does the bitching 
2015,burnt my soul between the bun now i'm wounded now i'm drunk now i'm runnin like a flaming pig oh yeah just shake your boots and let it all get loose oh yeah my goodness 
0,there's a destination a little up the road from the habitations and the towns we know a place we saw the lights turn low and just clap your hands 
2006,hell yes now i'm moving this way i'm doing this thing please enjoy hell yes now i'm turning it on i'm working my legs hell yes now i'm calling you out i'm switching my plates please enjoy hell yes now i'm cleaning the floor my beat is correct 
2003,got me looking so crazy right now your love's got me looking so crazy right now in love got me hoping you'll page me right now your kiss i'm looking so crazy in love's 
2007,notice you the type that like to keep them on a partner let me upgrade you upgrade you partner let me upgrade you let me upgrade you 
2008,tape me on your video phone i can handle you if you want me you can watch on your video phone i can handle you 
2011,drop that ass make it boomerang i got that mad dick you know it always nut up and it got a attitude no wonder why it’s stuck up your whole crew look like a pageant i’m dropping cash tip and some taxes woop 
2013,when you said it was over you shot right through my heart why you let these hoes tear what we had right apart oooh i was so mad 
2013,i seen cars switch up this is for the ones that's always riding with ya ain't switched same me naw naw i ain't same team naw naw i ain't switched up 
2012,okay this to all my enemies that see me gettin guap right now see me gettin guap right see me gettin guap right now this to all my hatin hoes that see me gettin guap right now this to all my old hoes that see me gettin guap right now 
0,i don't fuck with you you little stupid ass bitch i ain't fuckin with you you little dumb ass bitch i ain't fuckin with you bitch i don't give a fuck about you or anything that you do 
2007,lean on me when you're not strong for it won't be long you just call on me brother when you need a hand i just might have a problem that you'll understand 
2008,you you got what i need but you say he's just a friend and you say he's just a friend oh baby but you say he's just a friend oh baby but you say he's just a friend 
2007,and i will charm i will dazzle them with my wit i will dazzle i will outshine them all 
2003,love the way you're shakin it for me can we take it upstairs from the lobby once we get inside it's gonna be troublin you and me bubblin that's right 
2000,freestyler rock the microphone yeah straight from the top of my dome as i rock rock rock rock rock the microphone hit me hit me 
1999,when judgment comes for you cause it's gonna come for you layzie & krayzie see you at the crossroads crossroads crossroads see you at the crossroads crossroads 
2002,"doin a little east coast swing boyz ii men going off so we started a group and here we are kickin it just for you and then the smiling one named wanya said ""yo mike check this out "
2004,i'm gonna be round my vegetables i'm gonna chow down my vegetables i'm gonna keep well my vegetables cart off and sell my vegetables 
2012,i'm boarding up the windows you're standing in the eye of the hurricane and think i'm fine like i'm in the eye of the hurricane 
2004,why don't they just let me live tell me why i don't need permission make my own decisions oh they say i'm crazy everybody's talkin all this stuff about me they say i'm nasty i don't need permission make my own decisions oh 
2006,hot shit got all you niggas in wet clothes do you really wanna party with me straight buck wildin in the place to be yo its flipmode my nigga you know we bout to bust 
2001,to rap in yo shit with recline yo seat rewind this heat break yo neck nigga bang yo head until you start to break yo neck nigga break yo neck here we go now 
0,"ridin’ with a hoe named keisha smokin’ on keisha you know we smokin’ on keisha my diamonds talk for me they say ""hi can i meet you hoe"" hey can i meet you hoe got a condo around my neck - girl i’m cashin’ out i’m cashin’ out cause bitch i’m ‘bout it me walkin’ ‘round with no check on me "
2001,the sun has gone down and the moon has come up and long ago somebody left with the cup and thinking of someone for whom he still burns cause he's going the distance 
2011,t-teach me how to dougie all my bitches love me all my all my bitches love me you ain't fuckin with my dougie 
2006,i'm a show you how to get your shine on turn it up the dj playin my song i'm a show em how to get the club crunk tell the dj to play it loud and turn the beat up 
2007,patrollin and tryin to catch me ridin dirty tryin to catch me ridin dirty my music's so loud i'm swangin they hopin that they gon catch me ridin dirty 
2011,you should get some of your own count that money get your game up get your game up get ya get ya game up so get up out my way 
2010,you're gonna drive me crazy don't do that you're gonna drive me mad don't do that i said there's truth in that i'm getting shows booked i be the noblest 
2010,now i'm dope wonderbread we can toast i once was a kid with the other little kids now i'm rippin up shows and em fans goin wild wid us mo money mo problems when i get it imma pile it up 
0,when i'm alone i'd rather be with you fuck these other niggas i'll be right by your side sorry i'm just scared of the future it's kinda sad but i'm laughing whatever happens 
2006,the way you drop drop makes me wanna pop pop let me see if you can run it run it girl indeed i can run it run it girl indeed i can run it run it let's go 
2007,in her mind she fantasize bout gettin wit me they hatin on me hatin on me because she mine and so fine and thick as can be 
2009,anything ya want i can i can get it for ya shoes - you got it got it anything you want i can i can get it for ya anything you want i can i can get it for ya c'mon chris 
2011,oh i'm gettin paper cause i'm killin every nigga that can try to be on my shit and make it clearer to a couple niggas that i always win yeah i'm fresher than a muthafucker 
2011,girl i just wanna see you strip right now cause its late babe girl i just wanna see you strip girl take your time with it girl i just wanna see you strip goddamn you sexy goddamn you sexy goddamn you sexy girl i just wanna see you 
2013,and your nigga can't do nothing for ya and your nigga can't do nothing for ya nothing no and your nigga can't do nothing for ya no nothing and your nigga can't do nothing for ya can't do nothing for ya 
2013,we do it like we rock stars i might sound crazy that’s how it is imma get it imma get it till we get it till we get it 
2009,that bitch ain't a part of me no that bitch ain't a part of me i said no that bitch ain't a part of me she's got a hold got a hold of me neck oh yeah 
2002,it's about time that i came to start the party dancing getting just a little naughty it's about time that i came to start the party party dance and getting just a little naughty 
1991,if i'm dreaming then just let me sleep don't wake me up just let me sleep 
2005,i bet you want the goodies got you all hot and bothered mad cause i talk around it oh oh oh oh yeah 
2006,we keep it ghetto you should know oh oh all my ladies to the flo gettin crunk up in the club we gets low oh gettin crunk up in the club we gets low oh 
2007,cause i am what he wants it's just that he knows what i want so bad i love that i can't leave ‘em alone it's just that he know what i want 
2007,but you just can't fight the feelin inside i just can't help it i can feel it in the beat uh but you just can't beat the feelin inside 
2009,show me how you move it and you let's just snap in to it let's get the rhythm of the feet this that new ciara yo holla at the dj back it up 
2009,what would you do if your son was at home cause he's hungry and the only way to feed him is to but for me this is what i call life mmm cause i wouldn't want my baby to go through what i went through 
2009,cuz anywhere i go i'm spotted and anything i want i got it smile like the sunrise let me tell you i'm the type that's strong 
2011,i wanna be your favorite song you can turn it up play me all night long i got a story subject of the plot you and me i wanna be your melody 
1994,cuz you can't have the hop if you don't have the hip slide slide hoo ride that's why i pack my 45 slide slide slippity slide if you're living in the city it's do or die slide slide hoo ride you better be ready for the 5 rolls by 
2006,i take a look at my life and realize there's nothin left i'm the kind of g that little homies wanna be like living in a gangsta's paradise i can't live a normal life i was raised by the street 
2010,and just because of that you act you don't like the brother no more if you ever get there see you when you get there and if you feel you're out the game then you need to get back in it 
2007,do the cupid dance a let me see ya do the cupid let me see let me see ya do the cupid do the shuffle baby yeah 
2009,dare i give in to this thing gripping my skin seems like i stand pretty much unseen but i open my eyes and beams come out let my loneliness get blown away 
2003,i wanna know if you're busy i wanna know if you're doing anything tonight i wanna know if you missed me i wanna know baby 
