year,V1
2008,"they know that santa's on his way to kids from one to ninety-two altho it's been said many times many ways ""merry christmas to you"" "
2008,i got a man with two left feet he does nothing the boy does nothing i wanna see you work i wanna see you move your body in turn 
2012,with the fire we make it's getting hotter and hotter i can't stay away like the night to the day 
1998,and so i'm offering this simple phrase to kids from one to ninety-two merry christmas to you to you 
1993,i need no soft lights to enchant me to hold you ever so tight and to feel in the night the nearness of you 
2007,and we got nothing to be guilty of and we never let it end and we got nothing to be sorry for eyes can see that we got a highway to the sky 
1999,someday we shall one i've seen better nights than this one 
1974,we can gaze up the sky till the night is over light of my life we can gaze at the sky till the night is over and this feeling knowing you blassed me forever 
2006,i've got my love to keep me warm off with my overcoat off with my glove i need no overcoat i'm burning with love so i will weather the storm 
2014,there'll be one child born there'll be one child born in this world and when i die and when i'm dead there'll be 
2008,drop all your troubles by the riverside catch a painted pony on the spinning wheel ride someone's waiting just for you ride a painted pony let the spinning wheel fly 
2009,he's loaded lots of toys and goodies on his sleigh to see if reindeer really know how to fly they know that santa is on his way he's on his way and every mother's child is going to spy 
2007,"""don't worry about a thing singin ""don't worry about a thing singin ""don't worry about a thing"" ""'cause every little thing gonna be alright"" "
0,oh the line forms on the right babe now that macky's back in town look out to miss lotte lenya and old lucy brown yes that line forms on the right babe 
2006,i wonder wonder wonder wonder who taught her how to talk like that i wonder wonder wonder wonder who gave her that big idea i wonder wonder wonder wonder who put those ideas in your head i wonder wonder wonder wonder who got you thinking like that boy 
2001,yeah i i'll do anything that you want me to yeah i'll do almost anything that you want me to yeah but i can't go for that no no can do i can't go for that no no can do 
2008,although it's been said many times many ways merry christmas to to you baby oh my love oh merry christmas to you if i touched you like you want me to touch right now girl 
2014,that place we went the last time the last time that place we went the last time the last time ohh oh-ooh moonshine oh moonshine 
2006,through the fire to the limit to the wall for a chance to be with you for a chance at loving you i'd take it all the way 
2006,everybody knows a turkey and some mistletoe to kids from one to ninety-two although it's been said many times many ways merry christmas to you 
2011,"i put a spell on you because you're mine i ain't lyin'"" yeah i ain't gonna take none of your "
2015,don't drop the big one if you a monkey on a string if you a doggie on a chain don't bite the mailman 
1996,i find sometimes it's easy sometimes i find it's better to be i find sometimes it's easy to be myself sometimes i find it's better to be somebody else 
1980,oh god i want you so badly just knowing that the world is round and is this real or am i dreaming each moment the more i love you 
2005,what the world needs now is love sweet love there are mountains and hillsides enough to climb it's the only thing that theres just too little of no not just for some oh but just for every every everyone 
