year,V1
2003,lying to yourself again suicidal imbecile what'll it take to get it through to you precious such a mess why would i want to watch you i'm over this why do you wanna throw it away like this 
2008,and all i've learned when i don't have you near don't go sharing your devotion i've had a few little love affairs 
2011,said we gotta move it out cause the city's movin in i said we gotta move it out cause the city's movin in and what's been goin through ya i said we gotta move it out cause the city's movin in hey 
2011,and i'm a rat and it's too bad well my daddy was hard i said it's too bad 
2011,in the attic lights nothing seen leaving the things that you love from mind lights 
2011,i'm back i'm back in the saddle again i'm calling all the shots tonight i'm like a loaded gun i'm ridin this snake is gonna rattle 
2011,east side west side blues throw me in the slam catch me if you can a catch me if you can 
2011,and the chains they crash like thunder while the weak ones all retreat over who'll rule the street and the chains they crash like a thunder 
1999,three for my honey and four to let you know that i let the music do the talking cause i can't wait i'm a real fat city i'm an aero delight let the music do the talking i gotta get it 
0,but you ain't no dancer yeah want me to make you but don't let me break you but you ain't no dancer 
2001,i love you cause your deuces are wild girl been lovin you since you was a child girl i been lovin you since you was a child girl cause you and me is two of a kind ooh 
1997,nine lives - feelin lucky nine lives - live again nine lives - it ain't over in a wink i'm dead in love again 
2011,lingers on the tip of my tongue gotta love the sweet taste of india gotta know that's what's gotten into ya gotta know that what's gotten into ya 
1997,how did we get so affected cause i think time here's to yesterday we're all gonna trip away 
2007,man or woman living couldn't love me like you baby while the moon is rising in the sky if i'm too rough tell me i'm so scared your little head will come off in my hands 
2001,i got no friends cause they read the papers and i'm feelin mean they say he's sick he's obscene he says you're sick you're obscene 
2015,i'm the kid on the block i'm a teenage frankenstein these ain't my hands and these legs ain't mine 
2015,freedom we're gonna ring the bell freedom raise your fist and yell freedom-ring freedom 
2007,i wanna love you but i better not touch don't touch i wanna hold you but my senses tell me to stop i wanna taste you but your lips are venomous poison you're poison running through my veins 
1989,sayin things i never thought i'd say can't you hear me knocking tried to fool you but it wouldn't play cuz my heart it's talkin it's talkin 
1995,you ain't livin in a video now i know you've been kicked around you stick a needle in your arm they win you lose 
