year,V1
2006,don't drink don't smoke what do you do you don't drink don't smoke what do you do must be something inside must be something inside he's hidin 
2007,we're all clones all are one and one are all no more problems on the way i'm through doctor 
2007,i belong to the future and you belong to me and the world it belongs to me it belongs to me 
2004,what switch can i pull to illuminate the way we all need a love resurrection what seed must i sow to replenish this barren land teach me to harvest i want you to grow in my hand 
2007,you're not livin til you're livin you're not winnin til you're winnin you're not gettin til you're gettin livin for me 
2001,"no more ""i love you's"" the language is leaving me the language is leaving me in silence and people are being real crazy "
2003,why do the white gulls call across the sea the ships have come to carry you home a light on the water 
2013,the rhythm of the night this is the rhythm of my life my life oh yeah the rhythm of my life this is the rhythm of my night the night oh yeah 
1987,oh baby you give me you give me the runaround baby you give me i'm in your mind 
2006,and i know i was wrong when i said it was true that it couldn't be me and be her in between yesterday i got so scared yesterday away from you 
2005,so look away look away from the love that i hide way down deep in my soul so look away look away 
1996,if there's one great thing to happen in my life let it be the time for peace let it be the time of right i've seen the way of martyrs i've seen the way of kings i've seen the hope that love can bring 
2002,oh oh dancing with myself leave me dancing with myself if i had the chance i'd ask the world to dance 
2008,in the midnight hour she cried more more more with a rebel yell she cried more more more wow in the midnight hour babe more more more with a rebel yell she cried more more more 
2001,les yeux sans visage eyes without a face your eyes without a face now it makes me sad when you hear the music you make a dip 
1988,you may be right oh but it just may be a lunatic you're looking for you may be wrong for all i know but you may be right 
1998,you turn the tap dance into your crusade now here you are with your faith and you cannot handle pressure but here you are with your faith 
2014,i wanna get better i didn’t know i was lonely til i saw your face i didn't know i was broken til i wanted to change i didn't know i was lonely til i saw your face 
2007,i need a hero i'm holding out for a hero till the end of the night he's gotta be strong and he's gotta be fast and he's gotta be fresh from the fight i'm holding out for a hero till the morning light 
2003,falling in love again never wanted to what am i to do i know i'm not to blame 
2007,only yesterday when i was sad and i was lonely you showed me the way to leave the past and all its tears behind me tomorrow may be even brighter than today 
2012,i wasn't trying to lead you on i didn't mean to turn you on i want a friend i didn't mean to turn you on oh 
1995,don't masquerade with the guy in shades oh no cause you got it made with the guy in shades oh no oh no it can't escape you i'll say it to you now 
2003,"money changes everything i said ""money money changes everything"" you think we know what you're doing we don't know a thing "
2007,lying in my bed i hear the clock tick and think of you if you're lost you can look and you will find me if you fall i will catch you i'll be waiting i will be waiting time after time 
2007,she bop--he bop--a--we bop i bop--you bop--a--they bop be bop--be bop--a--lu--she bop oo--oo--she--do--she bop--she bop 
1996,now look at them yo-yo's that's the way you do it money for nothin and your chicks for free we gotta install microwave ovens oh that ain't workin that's the way you do it 
1996,here come johnny singing i gotta woman down in the tunnel trying to make it pay he do the song about the sweet lovin woman and he do the walk he do the walk of life 
1991,it's a fine line between pleasure and pain you've done it once you can do it again fine line between pleasure and pain whatever you done don't try to explain 
2015,well johnny can dance and johnny can love johnny can push and johnny can shove johnny can get down and johnny can throw up johnny can dance and johnny can love 
1998,can't ever keep from falling apart at the seams cannot believe you're taking my heart to pieces we'll try to stay blind to the hope and fear outside when you come undone 
1995,she's watching the detectives oh-oh he's so cute but he can't be wounded cause he's got no heart it only took my little fingers to blow you away 
2007,oliver's army is here to stay oliver's army are on their way but it's no laughing party all it takes is one itchy trigger 
2008,and a good heart these days is hard to find a good heart a good heart these days is hard to find so please be gentle with this heart of mine that a good heart these days is hard to find a good heart 
2012,we don’t need each other now we don’t need the city we can move beyond it now and you can't steel my thunder 
2012,fer sure fer sure in a clothing store she's a and there is no cure 
0,i know it won't be long won't be long before you're gone i know what you think and what's in your mind it won't be long before you're gone 
2010,i am a woman on a mission whoa nothing can stop me i'm stronger than ever i'm gunna see this through stand aside cos i'm on a mission 
2008,well there's nothing to lose i'll be dancing with myself and leave me dancing with myself and i'm be dancing with myself 
2009,cause you belong to the city you belong to the night you were born in the city it's in your moves it's in your blood 
1989,the place is a madhouse feels like being cloned where am i to go now that i've gone too far oh where am i to go now that i've gone too far when the bullet hits the bone 
2005,it's coming up you just think it hold it down there jump with them all and move it 
2014,i'm a walking nightmare an arsenal of doom i'm the sort of thing they ban i'm a walking disaster i'm a demolition man 
2008,if i could escape escape and i could be your favorite girl forever and tell me boy now wouldn't that be sweet i didn't mean for you to get hurt 
0,oh no let's go let's go crazy let's get nuts let's look for the purple banana till they put us in the truck let's go 
2009,i'm standing here on the ground the sky above won't fall down resolution of happiness don't change a thing for me 
