year,V1
2013,say something i'm giving up on you i'll be the one if you want me to i'm sorry that i couldn't get to you and i'm sorry that i couldn't get to you 
1999,you can dance you can jive having the time of your life see that girl watch that scene digging the dancing queen you are the dancing queen young and sweet only seventeen dancing queen feel the beat from the tambourine oh yeah 
1999,like a river flows so it goes some things are meant to be but i i can't i can't help falling in love with you 
2007,that you was tryin to get with me she would probably curse you out and unplug her phone i bet she'd be glad that you was gone and then she wouldn't have to worry 
2007,i'll be more than a lover more than a woman more than enough for you i'll be more more than a lover 
2007,cause i refuse to let you think you can play with my mind i refuse to let you hurt me any more the fact i fell to the floor the day you walked out my door and i refuse 
2003,what say it again say it again here we go uh i'm hustlin around the house tryin to clean up the mess 
2003,it's like boom i put it in the hoop like slam i heard the crowd screaming out jam i swear that i'm telling you the facts boom i put it in the hoop like slam 
2001,people need trust from a fellow man people need love to make a good living people need faith in a helping hand if a mans in love and his woman wants the moon 
2001,nina pretty ballerina now she is the queen of the dancing floor this is the part that she likes to play but she knows the fun would go away she would like to play it every day 
2001,we depend on one another love him that's the only way on the road that we're going we all need words of comfort and compassion 
1999,where am i bound with my love and feelings who wants to kiss me and hug me and miss me yes who wants to do it i wish that i knew it 
2008,honey honey how you thrill me honey honey nearly kill me the way that you hold me tight honey honey touch me baby 
2008,mamma mia here i go again my my how can i resist you my my just how much i've missed you mamma mia now i really know 
2001,rock me give me that kick now rock me show me that trick now baby and i can't get enough of it i said don't stop the rocking 
2008,but i can tell you all your tricks ain't gonna get you far you can't buy me with your money tracy daisy they may be crazy but i'll never be your girl 
2015,having the time of your life dig in the dancing queen you are the dancing queen you can dance you can jive 
2008,there was something in the air that night they were shining there for you and me if i had to do the same again though i never thought that we could loose 
2008,if you change your mind if you need me let me know if you've got no place to go if you're all alone 
2008,what i'm trying to conceal if i trust in you does it mean anything to you got a feeling you give me no choice does it mean anything to you but i think i can see in your face can you feel it the way i do got a feeling you give me no choice 
2001,tonight the super trouper lights are gonna find me shining like the sun sup-p-per troup-p-per feeling like a number one like i always do sup-p-per troup-p-per 
2007,may we all have a vision now and then if we don't we might as well lay down and die you and i for you and i 
2008,and all i've learned when i don't have you near don't go sharing your devotion i've had a few little love affairs 
2008,you hear her voice everywhere she's a leading lady she's a girl with a taste for the world the world is like a playing-ground where she goes rushing 
2008,one of us is lonely one of us is only sorry for herself feeling stupid feeling small wishing she had never left at all now i've changed and i want you to know 
2007,i try to capture every minute the feeling in it do i really see what's in her mind each time i think i'm close to knowing 
2008,under attack i'm being taken won't somebody please have a heart come and rescue me now cause i'm falling apart should i want to i'm not sure i would know how 
2012,there's plenty of time to sleep when we die so let's just stay awake until we grow older if i had my way we'd never close our eyes our eyes never you know i wish that this night would never be over 
2011,cause if i wanted to go i would have gone by now but i really need you near me to if i wanted to leave i would have left by now but you're the only one that knows me 
2013,"ich <a href=""/wiki/the_bangleswalk_like_an_egyptian"" title=""the bangleswalk like an egyptian"">ging wie ein ägypter</a> und <a href=""/wiki/cypress_hillinsane_in_the_brain"" title=""cypress hillinsane in the brain"">im gehirn total krank</a> und ich steh im lila regen und jetzt singe ich meine lieder "
2005,a freak in the evening just like me cause i'm that kind of girl come on and i will take you around the hood on a gangsta lean 
2011,oh no oh no oh no no no no no the night was so exciting and then she touched my cheek softly softly we met with a kiss 
2003,i'll lay me down tonight what follows me as the whitest lace of light what follows has led me to this place what follows 
