year,V1
1999,like a river flows so it goes some things are meant to be but i i can't i can't help falling in love with you 
2006,but it don't matter no cause i got you baby cause we gon fight oh yes we gon fight oh-oh woo-oh cause i got you baby 
2006,i live for that talk when you call me your chick just so all the girls know i gotcha for keeps in a matter of days i'm not myself i'm all over the place i get a chick fit 
2001,see i don't wanna wait in vain for your love i don't wanna wait in vain for your love cause summer is here i'm still waiting there winter is here and i'm still waiting there 
2005,and i don't want it the things you're offering me cause i'm a 21st century digital boy i don't know how to read but i got a lot of toys see i'm a 21st century digital boy 
2007,"""don't worry about a thing singin ""don't worry about a thing singin ""don't worry about a thing"" ""'cause every little thing gonna be alright"" "
2007,i wanna love you and treat you right i wanna love you we'll share the same room yeah we'll share the shelter yeah oh yeah 
2007,sun is shining the weather is sweet make you want to move your dancing feet to the rescue here i am want you to know y'all where i stand 
2001,it's a punky reggae party and it's alright in your world of hypocrisy so come and rock your bone 
2001,come on and stir it up little darling come on and stir it up and stir it up come on and stir it up oh little darling stir it up yeah 
2007,and he was taken from africa brought to america dreadie woe yoe yoe woe yoe yoe yoe woe yoe yoe yo yo yo yoe yo woe yoe yoe woe yoe yoe yoe 
2007,get up stand up stand up for your right get up stand up don't give up the fight stand up for your right lord lord don't give up the fight get up stand up 
2013,who are you to judge me judge not before you judge yourself so while you talk about me 
2012,i'm boarding up the windows you're standing in the eye of the hurricane and think i'm fine like i'm in the eye of the hurricane 
2010,you can count on me like one two three i'll be there i can count on you like four three two and you'll be there cause that's what friends are supposed to do oh yeah you know you can count on me like one two three i'll be there 
2010,today i don't feel like doin anything i just wanna lay in my bed cause today i swear i'm not doin anything cause today i swear i'm not doin anything nothing at all 
2014,why does your love hurt so much why but all the while you just betrayed me you say you'll come back again someday 
2011,i wanna be your favorite song you can turn it up play me all night long i got a story subject of the plot you and me i wanna be your melody 
2015,liar liar she's on fire she's waiting there just when she thought i was sleeping 
1995,she's watching the detectives oh-oh he's so cute but he can't be wounded cause he's got no heart it only took my little fingers to blow you away 
2008,gimme hope jo'anna hope jo'anna hope before the morning come i hear she makes all the golden money 
2014,all i wanna do today is wear my favorite shades and get stoned that's what this day is for and all i wanna do is lace my j's and lace some jack in my coke work on my laid back ain't nothin wrong 
2008,and i've been sraying off the way that i know keep me and i wish it would thunder day's go past it's autumn already what i say and what i mean are two very different things babe it's time to figure it out 
2008,if i could escape escape and i could be your favorite girl forever and tell me boy now wouldn't that be sweet i didn't mean for you to get hurt 
2007,now that you got it what you gonna do about it what you gonna do about it what you gonna do about it if i'm really your baby then share with me your secrets and all what you gonna do about it what you gonna do about it hey hey hey oh 
1992,what'cha gonna do bad boys bad boys what'cha gonna do when they come for you you chuck it on ya mother and ya chuck it on ya father 
1992,i've been watching you and if you cry out i'm gonna push it some more and if you cry out i'm gonna push it yeah 
2010,shawty's like a melody in my head that i can't keep out it's like my ipod's stuck on replay got me singin like ay 
2010,cause i was so high and i don't wanna walk around alonesolo cuz i was so high and i don't wanna walk around alone solo 
2009,now i wanna do it up so big party it up so big so the whole world knows my love for you is so big my love is so big 
2009,many rivers to cross wandering i am lost as i travel along many rivers to cross and it's only my will i've got many rivers to cross 
2008,and then the harder they come the harder they fall one and all ooh the harder they come harder they fall one and all 
1998,i see my light come shining i shall be released they say evry man must fall all day long i hear him shout so loud 
2008,but i can't seem to find my way over wandering i'm lost my women left me but she wouldn't say why my girl left me but she wouldn't say why 
2010,cause shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lova not tryin to rewind wind wind wind wind sean kingston & justin bieber 
2012,i'll be your platinum i'll be your silver i'll be your gold as long as you lo-lo-lo-love me love me as long as you lo-lo-lo-love me i don't know if this makes sense but you're my hallelujah 
2004,i won't let you trick me twice i won't let you trick me twice no no i won't let you trick me twice uh trick me i won't let you trick me twice 
2000,you are the flame in my heart you make me feel so sweet i always loved you from the start and you and you 
2008,at first when i see you cry at first when i see you cry when i see you cry yeah it makes me smile yeah it makes me smile i go ahead and smile i go ahead and smile 
2014,it's in his dna d-d-d-dna it's in his dna i feel it every day perfect in every way i see it in his face 
0,darling so it goes some things were meant to be take my hand take my whole life to cause i can't help falling in love with you 
2010,ain't nothin gonna to break my stride nobody's gonna slow me down oh-no i got to keep on moving oh-no i got to keep on moving 
2008,throw all the punch you want to i can take them all huh lie down gal let me push it up push it up lie down so me say lie down gal let me push it up push it up lie down huh lie down gal let me push it up push it up lie down in bed 
2008,oh girls just wanna have fun girls they wanna have fun oh girls just want to have fun they wanna have fun 
2012,you can follow me i will keep you safe i will protect you i will always protect you my love 
2004,pass the dutchie pon the left hand side i say pass the dutchie pon the left hand side give me the music make me jump and prance give me the music make me rock in and the dance 
2004,cause i love to wash in your old bathwater i'm on your list with all your other women cause i still love to wash in your old bathwater share a toothbrush you're my kind of man 
0,i'm fine and nothing's gonna knock this girl down but you can see it my eyes you can read it on my lips i'm trying to get a hold on this but you can see it my eyes you can read on my lips 
0,you work it and you push and shove you work it hard gonna survive some bubble it if that what's you want 
2015,tell me honestly would you still love me the same if i showed you my flaws if i couldn't be strong tell me would you really cry for me 
1995,the boy's a time bomb well he's back in the hole where they got him living like a rat but he's smarter than that yeah the boy's a time bomb 
2012,eh oh a shining star wo-oh shine your light wo-oh set the world on fire wo-oh shine tonight 
2014,i know how to love you and i wanna love you some more come a little closer ooh i wanna feel your body 
2006,i would give anything i own i would give everything i own you taught me how to love and they don't hear the words you long to say 
2007,shawty i could take you there or we can go to the slums you know i could take ya i could take ya or we can leave the slums go to paradise 
2007,why'd you have to go-oh me love why you leave me wuh why you leave me why you leave me 
2007,you're way too beautiful girl that's why it'll never work you'll have me suicidal suicidal when you say it's over 
2009,from a gal nuh up to date wi deport dem can't keep up wit di trends wi report dem if a nuh di modeling type wi nuh court dem but if a di big beauty queen wi support dem 
2002,just gimme the light and pass the draw gal them inna me sight and i gots to know gal them lookin and i gots to know gal them lookin hype and i gots to know 
2002,gal a call me name and it is me fame let's get it on let's get it on till a early morn girl it's all good just turn me on 
2009,girl jus let me be there for you anytime for you i'd join the longest line my girl bruk out n whine real bad man a dats wah dem like 
2009,when when you press it up say the way you moving it girl when yuh feel mi push it puh press it up press it up 
2003,oh carolina prowl off jump an prance oh carolina gal prowl off gal yuh fi jump an prance prowl off jump an prance gal yuh fi jump an prance prowl off 1 -2 - 3 hit me 
2001,closer than my peeps you are to me baby girl you're my friend when i'm in need lady it's all good when you're little you're pure fun and you appear to me so tender say girl i surrender 
0,but she caught me on the counter wasn't me she even caught me on camera wasn't me she saw the marks on my shoulder wasn't me heard the words that i told her wasn't me 
1999,come on over - come on in pull up a seat - take a load off your feet you can unwind - take a load off your mind when you need a laugh come around 
2005,i'd like to buy the world a toke and just like fashion it's a passion for the with-it and hip and if you follow there may be a tomorrow but if the offer's shunned 
2008,me i'm feelin lonely and free a me say 7 years ago when you first start be my baby you were everything that i thought would be a lady won't you look inside your heart and give snowman a chance 
2005,she fools herself that she's not alone when it all boils down and all this ends i would really hate to be her think they love her when they see her you would never know that she was 16 
2001,maybe we're just trying too hard cause i'm in too deep and i'm trying to keep up above in my head instead of going under and i hate it when you fake it 
2011,ooh you're a miracle worker ooh you're a surgeon of love you have a medical condition and i promise i'll be back again if you work your miracles on me ooh you're a miracle worker yeah 
2013,cause i knew you were trouble when you walked in flew me to places i'd never been oh i knew you were trouble when you walked in now i'm lying on the cold hard ground 
2008,cause what i need i just don't have oh no first they curse then they press me til i hurt we say rudie can't fail cause what i need i just don't have 
2004,i said a pressure drop oh pressure oh pressure's gonna drop on you i said a when it drops oh you gonna feel it now when it drops oh you gonna feel it pressure drop oh pressure oh pressure's gonna drop on you 
2009,you know i look like a woman but i cut like a buffalo then i fall just like a domino then i fall like a domino 
1975,drum beat it set my hands a clappin caribbean current please take me i hear you callin me home got to get back to jamaica 
0,when i was a little boy or a playground if we choose and i choose pretending i'm an airplane on the living room floor 
2008,cause i'm sick of not living to stay alive i don't wanna to be controlled i just don't wanna to be controlled just don't wanna to be controlled 
0,and every kid on the whole damn street whoa oh longing for used to be still it's hard hard to see whoa 
2005,knock down the place you're alone it's true knock down the world it's alive in you bust out on it - original prankster you never stop now stop now 
2009,i'm not the kinda man who gives up just like that it's not the things you do that really hurts me bad every man wants you to be his girl but i'll wait my dear til it's my turn 
2001,day de light and i wanna go home well i sleep by sun and i work by moon sing me well i pack up all my things and i'll go to sea 
2008,breakdown honey take me through the night breakdown now i'm standin here can't you see breakdown it's alright it's alright it's alright 
1993,red red wine you make me feel so grand thoughts of you would leave my head give me red wine the kind make me feel fine you make me feel fine all of the time 
2003,and the lord asks me what i did with my life cause your love is my love and the chains of amistad couldn't hold us and i'm sleepin in grand central station 
0,i can see clearly now the rain is gone i can see all obstacles in my way gone are the dark clouds that had me blind oh what a bright bright 
2015,so as sure as the sun will shine and the harder they come the harder they fall one and all cause as sure as the sun will shine 
