year,V1
2005,oh when he washed when my jesus washed he taught me how to watch my happy day 
2012,i'll fly away i'll fly away i'll fly away i'll fly away oh glory when i die hallelujah by and by 
2009,that david played and it pleased the lord hallelujah her beauty and the moonlight overthrew ya and from your lips she drew the hallelujah 
2007,i keep on fallin in and out i never loved someone the way that i loved you i'm fallin in and out 
2007,i can't use it anymore knock knock knockin on heaven's door i can't shoot them anymore i feel like i'm knockin on heavens door 
2009,tender is the night love's the greatest thing love's the greatest thing that we have waiting for that feeling to come 
2014,well it may be the devil or it may be the lord you might be a young tough and it may be the lord 
1998,i will get there i will get there i will get there i will get there i will get through the night i will get there will get there 
0,o mary don't you weep don't you mourn oh mary don't you weep o mary don't you weep don't mourn o mary don't weep don't mourn 
2012,"the stars have faded the sky is still the angels are shouting ""glory hallelujah"" stars have faded the sky is still sun's in the heavens and a new day's rising "
2009,wait i'm wrong save me i'm lost oh lord i've been waiting for you show me what i'm looking for 
2009,windows and rooms that i'm passing through this is just a stop on the way to where i'm going this is just a stop on the way to where we're going this was just a stop on the way to where i'm going 
1999,i'll be your shoulder when you cry i'll hear your voices when you call i am your angel i'll be your shoulder when you cry your shoulder to cry 
2005,what the world needs now is love sweet love there are mountains and hillsides enough to climb it's the only thing that theres just too little of no not just for some oh but just for every every everyone 
2013,you will find him you'll find him next to me next to me ooh hoo and i can't seem to find no help or love for free i will find him i'll find him next to me 
1984,i want you to show me i wanna feel what love is and i wanna feel i wanna feel what love is i know i know you can show me 
2007,i am milk i am red hot kitchen and i am cool i am lost 
2007,really want to see you lord really want to show you lord my sweet lord hallelujah really want to see you lord ahhh 
2014,give me love give me peace on earth give me hope won't you please 
2008,i saw a flower growing in the middle of the sidewalk i've been to church i've read the book i'd just slow down to stop and stare 
2004,knock-knock-knockin on heaven's door knock-knock-knockin on heaven's door hey hey yeah knock-knock-knockin on heaven's door whoa whoa whoa yeah knock-knock-knockin on heaven's door whoa whoa whoa oh yeah ow 
2014,lay me gently in the cold dark earth no grave can hold my body down i'll crawl home to her when i was kissing on my baby 
2008,if i was not so weak if i was not so cold if i was not so scared of being broken growing old 
2009,many rivers to cross wandering i am lost as i travel along many rivers to cross and it's only my will i've got many rivers to cross 
2008,but i can't seem to find my way over wandering i'm lost my women left me but she wouldn't say why my girl left me but she wouldn't say why 
2017,singing seems to help a troubled soul one of these days and it won't be long i'll rejoin them in a song no the circle won't be broken 
2000,lord help me jesus i've wasted it so help me jesus i know what i am now that i know that i've need you so help me jesus my soul's in your hand 
2002,hear the trumpets hear the pipers multitudes are marching to the big kettledrum and the whirlwind is in the thorn tree the whirlwind is in the thorn tree 
2002,i will lay me down when you're down and out i'll take your part when darkness comes i will ease your mind 
0,go and tell that midnight rider tell the rambler the gambler the back biter tell em that god's gonna cut em down tell em that god's gonna cut you down 
2008,that david played and it pleased the lord hallelujah you saw her bathing on the roof she tied you to a kitchen chair 
2007,lord help me jesus i've wasted it so help me jesus i know what i am but now that i know that i've needed you so help me jesus my soul's in your hand 
1994,what the world needs now is love sweet love that there's just too little of the whole world needs love 
2003,but it makes me wanna pray-ah-ah but i feel so moved mmmm-mmm but it make makes me wanna pray makes me wanna pray 
2000,i sing about what he's done for me it's been so much that i couldn't even tell if i tried be grateful for so lift your voice 
2003,i believe i can fly i believe i can touch the sky i think about it every night and day i believe i can soar 
2007,all the children dead from war i have given you what about us we've turned kingdoms to dust what about us have we lost their trust what about us 
2001,you can change the world i can't do it by myself you can touch the sky it's gonna take somebody's help you're the chosen one i'm gonna need some kind of sign if we all cry at the same time tonight 
2009,it's christmas day we hear the church bells swing the lights and hang the stockings let's light a candle 
2009,can anybody find me somebody to love he works hard everyday i try and i try and i try they say i got a lot of water in my brain find me somebody to love 
2008,like the first morning praise for the singing praise for the morning fresh from the world 
2007,goin up to the spirit in the sky spirit in the sky that's where i'm gonna go when i die when i die i'm gonna go to the place that's the best go to the place that's the best 
2007,just a closer walk with thee grant it jesus is my plea daily walking close to thee let it be dear lord let it be 
2006,i believe i can fly i believe i can touch the sky i think about it every night and day spread my wings and fly away 
2001,you saw her bathing on the roof i've seen your flag on the marble arch it's a cold and it's a broken hallelujah and remember when i moved in you 
0,guess it's true i'm not good at a one-night stand oh won't you stay with me this ain't love it's clear to see but you can lay with me so it doesn't hurt 
2000,that all god's children need his love and to hold the little hands because with a little hope and faith all god's children need is love 
2006,you came from heaven to earth from the earth to the cross from the cross to the grave you are holy my god 
2014,i don't care what they may say i don't care what they may do i don't care what they may know i don't care what they may say jesus is just alright oh yeah 
2005,i saw the light i saw the light now i'm so happy no sorrow in sight praise the lord i saw the light then jesus came like a stranger in the night 
0,you can't always get what you want but if you try sometimes you just might find oo you can't always get what you want ooh yeah yeah you can't always get what you want standing in line now 
2008,may the good lord shine a light on you make every song you sing your favorite tune when you're drunk in the alley baby with your clothes all torn make every song you sing your favorite tune 
2007,i have run through the fields but i still haven't found i have spoke with the tongue of angels i believe in the kingdom come 
2016,at the moment of surrender i folded to my knees i did not notice the passers-by to the rhythm of my soul 
2008,with him your troubles you can share you get the blessing from above he heals the sick and heals the lame you can use his higher power 
2007,i came to this strange world hoping i could learn a bit about how to give and take la-la-la-la-la-la-la-la hoping i could learn a bit bout how to give and take 
