year,V1
2007,i thought you'd want the same for me goodbye my almost lover my back is turned on you shoulda known you'd bring me heartache 
2003,lying to yourself again suicidal imbecile what'll it take to get it through to you precious such a mess why would i want to watch you i'm over this why do you wanna throw it away like this 
2001,love isn't just a sensation love isn't easy but it sure is hard enough love is the reason for living i've treated you like a queen 
2008,waterloo i was defeated you won the war waterloo promise to love you for ever more waterloo couldn't escape if i wanted to waterloo knowing my fate is to be with you 
2008,listen to the music and it couldn't go wrong we do the kong kong song gotta sing along can't you hear the beating of the monkey tom-tom listen to the rhythm of the king kong song 
2008,i can't conceal it don't you see can't you feel it i love you can't deny it cause it's true 
2008,but i can tell you all your tricks ain't gonna get you far you can't buy me with your money tracy daisy they may be crazy but i'll never be your girl 
2008,paris restaurants our last summer living for the day worries far away we could laugh and play we were living for the day worries far away 
2008,i feel i'm and i'm close to fainting they must know by now i'm in here trembling there is no escaping now i'm 
0,baby please don't go baby please don't go down to new orleans baby please don't go yeah i don't want to be left alone baby 
2012,cause i'm tnt i'm dynamite tnt and i'll win the fight tnt i'm a power load 
2003,and you ask me why i grow my hair i said high high voltage high voltage rock n roll 
2014,dirty deeds done dirt cheap dirty deeds and they're done dirt cheap oh dirty deeds done dirt cheap 
2014,seems like a touch a touch too much she has a touch a touch too much touch me seems like a touch 
2014,i'm your night prowler yes i'm your night prowler when you turn off the light look out for the night prowler 
2014,i got my bell i'm gonna take you to hell i'm gonna get you satan get you yeah hell's bells my temperature's high hell's bells 
2014,cause i'm back yes i'm back well i'm back well i'm back in black 
2014,and you you really took me and you yeah yeah you you really got me and you 
2014,so let's get it up get right up yeah get it up oh oh get up 
2014,you wanna come and i'll meet you at the door aye aye oh shake it to the floor you gotta come with me all of the way she had the sugar and i had the wine 
2012,cause i'm a heatseeker chargin up the sky heatseeker and i don't need no life preserver cause i'm a heatseeker burnin up the town heatseeker i don't i don't need no life preserver 
0,yeah yeah yeah thunderstruck ooh thunderstruck yeah thunderstruck yeah yeah yeah 
2014,come on come on love me for the money come on come on listen to the moneytalk come on come on love me for the money money talks come on come on listen to the moneytalk money talks 
2014,who made who who made you who made who ain't nobody told you if you made them and they made you who picked up the bill who and who made who 
0,begin the era of a new rage down at the epicenter swinging in the chariot swingin in the chariot 
2011,i keep a stiff upper lip and i shoot from the hip and i shoot shoot shoot and i shoot shoot 
2014,and when she start a rockin all i get's the dumbed down news i got the satellite blues new satellite blues i got the new satellite blues 
2014,you know it's only natural he gets you up to scratch he said that he's the only one who got a full sack always into trouble got to turn the other way i said he ain't the only one who got a full sack 
2014,shooting down the walls yeah let's play ball babe batting down the stalls batting down the stalls yeah 
2010,how long has this been going on to break up our scene in this way but there ain't any use in pretending oh your friends with their fancy persuasion 
2007,it's outta sight in the dead of night i'm back back in the new york groove back in the new york groove in the new york groove in the back of my cadillac 
0,i'm like a dog on a leash no one in life i feel it holding on no one will stop you savin my soul i feel like a dog on a leash 
2011,don’t fake it then you do what have you got to lose don’t break it 
2011,sing for the year sing for the laughter and sing for the tear sing it with me if it's just for today 
2011,the way i see it you've got to say shit and workin for you dad is just a drag man tell her where you've gone and been i said i tell her where you've gone and been 
2011,said we gotta move it out cause the city's movin in i said we gotta move it out cause the city's movin in and what's been goin through ya i said we gotta move it out cause the city's movin in hey 
2010,it's the same old story same old song and dance my friend same old story same old song and dance with your old hurdy gurdy and no one to meet 
2011,and i'm a rat and it's too bad well my daddy was hard i said it's too bad 
2011,in the attic lights nothing seen leaving the things that you love from mind lights 
2011,"seesaw swingin with the boys in the school a-sing ""hey diddle diddle"" with your kitty in the middle at the swing like you didn't care seesaw swing with the boys in the school "
2011,you see me crying don't let it get'cha down you see me crying i'm back to the lost and found you see me crying say you're a ladies man you see me crying i'm so hard to understand 
2011,i'm back i'm back in the saddle again i'm calling all the shots tonight i'm like a loaded gun i'm ridin this snake is gonna rattle 
2011,east side west side blues throw me in the slam catch me if you can a catch me if you can 
2011,and maybe drink a cheers to yesterday and maybe you'll drink those tears away so baby don't let go cause i'll be home tonight 
2011,can't give it up get it up for your fancy can't give it up gotta give it up get it up c'mon nancy can't give it up gotta get it up get it up c'mon nancy can't get it up gotta get it up get it up get it up for your fancy 
2011,oh no oh no oh no no no no no the night was so exciting and then she touched my cheek softly softly we met with a kiss 
1999,three for my honey and four to let you know that i let the music do the talking cause i can't wait i'm a real fat city i'm an aero delight let the music do the talking i gotta get it 
1999,second floor trekkie makin warp speed out the door countin up the days please no more second floor trekkie's makin warp speed out the door i'm countin up the days please no more 
2011,hot time get it while it's easy i don't mind come on up and see me rag doll baby won't you do me baby won't you do me 
1994,dude looks like a lady baby maybe you're wrong but you know it's alright baby let me follow you down let me take a peek dear dude dude dude dude looks like a lady 
1999,me and my old lady sittin in the shade singin whoa boy dontcha lie on the track-a-lack-a whoa boy dontcha lie on the track poor boy sweatin in the hot summer night 
1994,i'm down down on the ground how can you laugh when you know i'm down oh don't you know that i'm down i'm really down oh don't you know that i'm down down on the ground 
2001,love in an elevator hoo honey one more time now it ain't fair i'll chase ya all the way to the stairway honey whoa air in the air 
1994,janie's got a gun everybody is on the run because janie's got a gun tell me it ain't right because janie's on the run tell me it ain't right 
2001,lovin you's got to be take me to the other side my conscience got to be my guide take me to the other side oh honey take me take take take take take take me to the other side you know my conscience got to be my guide take me to the other side 
2001,tell me what it takes to let you go tell me how it is that you can sleep in the night in your life to the toss of the dice tell me who's to blame for thinking twice no no no 
0,but you ain't no dancer yeah want me to make you but don't let me break you but you ain't no dancer 
2011,eat the rich there's only one thing that they're good for take one bite now spit out the rest don't stop me now i'm goin crazy 
2014,livin on the edge you can't help yourself from fallin livin on the edge you can't help yourself at all livin on the edge you can't stop yourself from fallin yeah tell me what you think about your situation 
2001,i was cryin when i met you now i'm tryin to forget you do what you do down on me do what you do to me yeah 
2001,i go crazy crazy you turn it on yeah you drive me you're packin up your stuff and talkin like it's tough 
2001,it's amazing when the moment arrives that you know you'll be alright and i'm sayin a prayer for the desperate hearts tonight the desperate hearts 
1994,ain't in the dictionary walk on the water with you you got the booyah yeah but i want to 
2001,i love you cause your deuces are wild girl been lovin you since you was a child girl i been lovin you since you was a child girl cause you and me is two of a kind ooh 
1994,cause there's a hole in my soul it's a place where a garden never grows yeah i should have known better it's a place where a garden never grows yeah 
2011,lingers on the tip of my tongue gotta love the sweet taste of india gotta know that's what's gotten into ya gotta know that what's gotten into ya 
1997,how did we get so affected cause i think time here's to yesterday we're all gonna trip away 
1990,yeah pink when i turn out the light and pink gets me high as a kite and i think everything is going to be all right yeah pink gets me high as a kite 
1994,out of the way you're gonna do it anyway your're gonna do it anyway everybody's comin at you anyway 
2002,yeah i've been thinkin bout you yeah you're so jaded and i'm the one that jaded you and baby i'm afraid of you 
0,yeah i don't care we'll just fly away from here won't let time pass us by we'll just fly 
2011,sunshine she's finer than a painted rose yeah yeah sunshine yeah the kinda that everybody knows yeah yeah 
2011,baby please don't go baby please don't go down to new orleans you know i love you so yeah your mind done gone left the county farm 
2012,should have been the only thing that was ever meant to be didn't know couldn't see what was right in front of me and now that i'm alone all i have is emptiness that comes from being free what could have been love will never be 
2012,ah don't you know that she loves you a lot why don't you know that she loves you a lot why don't you know don't you know don't you why don't you know don't you know that she's hot 
2010,your sins into me i will tremble a prayer so i i will paint you in silver your sins into 
2003,i'll lay me down tonight what follows me as the whitest lace of light what follows has led me to this place what follows 
2007,make beauty stay if i take my life i would gladly bet my life upon it that the ghost you love your ray of light will fizzle out 
2006,he wanted love i taste of blood he bit my lip and drank my warmth from years before she wanted love i taste of blood she bit my lip and drank my warmth from years before 
2006,i'll let you tear it up if you don't wake me up but if you tear it we can't repair it i'll let you break it up if you don't wake me up it's sunk into me cause i don't care 
2007,we can control the context of presentation come on and wash these shores away i am looking for the crest i am looking for the crest of a new wave 
2007,no mother ever dreams that her daughter's gonna grow up to be a junkie you know the downtown club scene ain't nothing like it used to be she's not waiting for someone to come over and ask for the privilege and if she had to live it all over again you know she wouldn't change anything for the world 
2007,stop take some time to think figure out what's important to you it could be me on the tv in your living room there i am giving candid disclosure to press in interview all of our lives dedicated to shoving it right back in their fucking face 
0,i wake up in the morning and i drink from the fountain street kids collect spare change in a conch shell on the sidewalk i make my way back home to you white crosses on the church lawn 
0,read all the authors i knew the right slogans i was ready to set the world on fire do you remember when you were young and you wanted to set the world on fire 
2007,cause i'm wasted i'm face down on the floor can't take anymore i gave it all away and lately i can't find the eyes help me realize and are you glad i came and can i walk you home 
2007,i thought you loved me im independent but i'm tied to you you lied to me i'd die for you but i can't read your mind 
2007,i'll be there to make you mine and i can't refuse i'm fed up in here don't you know who you are 
2007,so i slip away on a stormy night i heard you on the radio touched my face seemed to say so i slip away on the story line 
2007,you got me runnin wild and free you got me runnin wild wild and free you got me runnin wild runnin free it's never gonna be like it used to be 
2007,if it's the end of days too much too young too fast i'm gonna drink it up while it lasts i'm gonna tear it up so fill my glass 
2006,the fire in the air glowing red silhouetting the smoke on the breeze silhouetting the snow on the breeze and the evening sings in a voice of amber 
2004,years go falling in the fading light buy me a ticket on the last train home tonight there's something back there that you left behind i know you're in there you're just out of sight 
2003,but you and me baby i saw you there i'll tell you right now we'll go collecting the days 
1997,don't let our love be stranded i hear the words you've spoken i know your mind is turning don't let our love lie burning 
1999,some people claim that there's a woman to blame but i know it's nobody's fault searchin for my lost shaker of salt and i know it's our own damn fault 
1998,thank you india thank you consequence thank you nothingness thank you clarity 
2002,but you don't seem to mind oooh don't go telling everybody and no-one knows except the both of us and you've washed your hands clean of this 
2002,once i know who i'm not then i'll know who i am did not let me down when i was defenseless but this won't work as well as the way it once did parting with a childhood best friend 
2014,black velvet and that little boy's smile a new religion that'll bring ya to your knees black velvet if you please the way he moved it was a sin so sweet and true 
2009,sometimes all i need is the air that i breathe and to love you all i need is the air that i breathe yes to love you 
2006,i lost my way that's what she said back to the 1 another one i know i lost my way this time we'll find a place 
2009,that david played and it pleased the lord hallelujah her beauty and the moonlight overthrew ya and from your lips she drew the hallelujah 
2007,man or woman living couldn't love me like you baby while the moon is rising in the sky if i'm too rough tell me i'm so scared your little head will come off in my hands 
2001,i got no friends cause they read the papers and i'm feelin mean they say he's sick he's obscene he says you're sick you're obscene 
1977,welcome to my nightmare welcome to my breakdown cause life is just a dream here you know inside you feel right at home here 
2000,she got the need she spends her life through pleasing up her man he smokes and drinks and don't come home at all 
2000,we're the department of youth your new department of youth just me and youth we've got the power 
1990,but you and me ain't no movie stars some lovin and i tell you babe and i tell you sweetheart 
2007,we're all clones all are one and one are all no more problems on the way i'm through doctor 
2007,i belong to the future and you belong to me and the world it belongs to me it belongs to me 
2015,i'm the kid on the block i'm a teenage frankenstein these ain't my hands and these legs ain't mine 
2007,i wanna love you but i better not touch don't touch i wanna hold you but my senses tell me to stop i wanna taste you but your lips are venomous poison you're poison running through my veins 
2007,baby oh woah feed my frankenstei-ei-ein and it's lunch time he's such a psycho 
0,what are you searching for i know you can find my door but i'll still take you in baby it's me 
2010,it's such an ugly world it's where we chose to sin here's where we write their names here's where we cheat the poor 
0,hollow as a mountain crowned with a cold blue sky crowned with a cold silence i can’t tell my up from down 
0,i wont see you on the bedroom floor in the tangle of rope we left lying there i wont see you by the bedroom door in the wallpaper stained by the cup that i threw at your head 
2010,but don’t waste the pretty on him so don’t waste the pretty on life don’t waste the pretty on him don’t waste the pretty on him him 
2005,love you yes i love ya yes i i love my coo-ca i really do want you i need my coo-ca 
2007,and i just can't wait till the day when you knock on my door and don't it feel good yeah i'm on sunshine baby yeah 
2013,i can't believe it gonna pick myself up so i don't let this ever grow even if i mess up i won't let this ever go no one is coming 
2014,and we walk right next to all that we have known i could tell that something wasn't right with you with you but we're scared of the past and what is left why don't you come back down so we can turn it around 
2009,i'm gonna start a riot can't you see it's killing me i'm my own worst enemy knock me down i'll keep on moving 
2005,all the freaks go on a winning streak in a perfect world all the geeks get the girls last night he finally got it right shout it all around the world cause the geeks get the girls 
2008,to get the titanic turned back around it takes more than you've got right now yeah give it time you got things to think of now 
2010,and i wanna see what it's all about don't tell me that it's over it's only just begun i dream of the day when it's all gone away 
2010,i am the spaceman flying high i am the astronaut in the sky i am the light in the dark i am the match i am the spark 
2005,was this over before before it ever began like the devil's got your hand your lips your lies your lust like the devil's in your hands 
2015,of salvation and love don't drop your arms with quiet words i'll lead you in don't drop your arms la la la la la la 
2008,you make breaking hearts look so easy you've got breaking hearts all but down you make stealing hearts look so easy you've got breaking up all but down 
0,i guess i should be leaving cause i still got a long way to go oh yeah don't worry about the schemers cause they got nothing to give maybe i should make some other plans try to find someone who understands my situation 
2011,and when you're workin you feel all right and when when things stop feelin all right all right know what we want and we get it from you we will always party hard 
2001,she won't try and stop you you don't stop when they're taking your love girls own love you don't stop when they're making your love girls own love and when you get it up she's a-putting you down 
2001,get ready to die you better get ready to kill you better get ready to run ready to die 
2001,we know when you're hitting the rack we know when you've got on black we know what you do in the sack cause you you never look back 
2001,i love new york city oh yeah new york city knock your block and terror your town it never started and it won't end 
2001,the girl's too young she don't need any better the girl's too young she don't know any better the girl is beautiful she is beautiful only living one time and i want you 
2001,because we hit the top and we won't stop because we're gonna have a fun night we're gonna get off gonna get off we're gonna get off 
2001,you've got to keep up you've got to keep going you've got to keep oh because we've got to keep it alive 
2001,i get wet - without even trying i get wet - i get wet i get wet - whenever you're crying i get wet - i know that you're dying 
0,oh don't stop living in the red you will always live it in the red oh oh red red red red red red red 
2014,i can't live at all like this can i baby i ain't living long like this can't live at all like this can i baby i can't sleep at all in the jailhouse can i baby 
0,rock me gently rock me slowly that i have never been loved like this before oh rock me gently 
2013,if there's anything that you want just call on me and i'll send it along i've got everything that you want i've got arms that long to hold you 
2007,you'd be like heaven to touch i wanna hold you so much i need you baby to warm the lonely night i love you baby 
2006,it hurts i'll meet you in the back to see them through you made a little spark to live inside and every day you'll try to live your life 
2005,cause you can't jump the track we're like cars on a cable and life's like an hourglass glued to the table but you can't jump the track we're like cars on a cable sing it if you understand 
0,old man lying by the side of the road blue moon's sinkin from the weight of the load dead man lying by the side of the road and you will come around 
2007,won't let me think right i know you're trouble but i'm determined to create what am i gonna do 
2011,working for the church while your family dies you take what they give you and you keep it inside working for the church while my family dies i can taste your fear it's gonna lift you up and take you out of here 
2010,sometimes i can't believe it i'm moving past the feeling i'm moving past the feeling again i'm moving past the feeling and into the night 
2013,it was just a reflector it was just a reflector but i see you on the other side just a reflector we all got things to hide just a reflector it’s just a reflector 
2013,maybe it's true they're staring at you when you walk in a room tell em it's fine stare if you like you're down on your knees begging us please 
2013,"but you say ""oh when love is gone where does it go"" and you say ""oh when love is gone where does it go and you say ""oh when love is gone where does it go"" and where do we go "
2006,tonight there'll be a ruckus yeah regardless of what's gone before and you should bear that in mind tonight bear that in mind yeah bear that in 
2006,i bet that you look good on the dancefloor i don't know if you're looking for romance or i don't know what you're looking for well i bet that you look good on the dancefloor 
2006,and they said it changes when the sun goes down around here and they said it changes when the sun goes down they said it changes when the sun goes down can see it in his eyes that he's got a nasty plan 
2006,and you woke up together not quite realizing how and i suppose that's the price you pay and now there's nothing left to guess now what you've done 
2006,put your dukes up john change your tune and change your hair change your tune and change your hair or your not going anywhere 
0,and i'll be yours yours until the stars fall from the sky yours yours until the rivers all run dry yours yours until the poets run out of rhyme in other words until the end of time 
2007,and i wonder off the t-shirt and ties combination well see you later innovator off the t-shirts and ties combination 
2007,oh the boy's a slag is just a memory and those dreams when you dreamed them up oh flo you took a left off last laugh lane 
2011,but you want to play it just in case now it's getting dark and the sky looks sticky somebody told the stars and so they found a place to hide 
2011,i wanna build you up brick by brick i wanna feel your love i wanna steal your soul brick by brick i wanna rock and roll brick by brick 
2011,and leaves you supercharged just to see if you glow in the dark sha-la-la-la and in a hellcat spangled cavern 
2013,was sort of hoping that you'd stay that the nights were mainly made for saying things that you can't say tomorrow day crawlin back to you maybe i'm too busy being yours to fall for somebody new 
2015,"and satisfaction feels like a distant memory and i can't help myself all i want to hear her say is ""are you mine"" and i go crazy cause here isn't where i want to be "
2013,so we all go back to yours oo-oo and you sit and talk to me on the floor oo-oo will you pour me one for the road so we all go back to yours oo-oo and you sit and talk to me on the floor oo-oo so we all go back to yours oo-oo and you sit and talk to me on the floor 
2013,the horizon tries but it's just not as kind on the eyes as arabella oh just might have tapped into your mind and soul i just might have tapped into your mind and soul 
2013,snap out of it snap out of it while the fat lady fancies having a sing i'll be here snap out of it or the fat lady fancies having a sing i'll be here 
2009,i won't ever leave while you want me to stay liar liar liar you can believe in me i won't be leaving liar liar 
2001,and if it hurts don't let them see you cry you can make it hold your head up woman and if they stare 
2005,we formed a band look at us i'm gonna write a song i'm gonna take that song 
2004,i would catch the diamond tears you're weeping we're condemned and can only wait to save us from our fate you can't save us 
2004,we belong in the gutter singing we belong in the gutter dreaming sing along at the stars we're screaming sing along at the stars we're singing 
2008,i pretend that it's all okay so let it fade so long that i can be adored we survived 
2008,oh it seems like i can finally rest my head on something real i like the way that feels oh it's as if you know me better than i ever knew myself i love how you can tell 
2004,i'm living in a new day i'm living it for me then i can finally be so don't feel sorry for me 
2006,i don't even know where the hell he goes did you hear me say i'm talking bout love is the best thing we do 
2008,am i the reason why you tossed and turned last night and i guess we're really over so come over i'm not over it late night you make me feel like i'm desperate i'm not desperate can't get over it 
2009,fingertips alive – superhuman touch can't get enough of this electric love burning the sun with just a wave of your hand there's more of this to come i think it must be heaven 
2015,take off all the thoughts of what we've been oh oh your trojan's in my head all the thoughts of what we've been 
2003,push it don't push it cause baby boom boom boom i want your love push it oh don't push it baby i want your love 
2003,cause i want you around you can make me whole again i can not escape and i can not forget baby you're the one you still turn me on 
2007,with lots and lots a room with lots and lots of food a big big yard it’s my father’s house 
2006,and to be yourself is all that you can do hey all that you can do to be yourself is all that you can do all that you can do to be yourself is all that you can do hey all that you can do to be yourself is all that you can 
2009,you said you don't know me and you don't wear my chains we said you don't know me think i'll get a lover 
2011,and i remember all those crazy things you said what i'd do to have you here here here i wish you were here what i'd do to have you near near near 
2010,i i'll get by when i fall and hit the ground i i won't cry i and i won't cry 
2009,but that doesn't mean my eyes will soon be turning red crying's not for me cause i'm never gonna stop the rain by complaining i'm never gonna stop the rain by complaining 
2005,you got me lifted shifted higher than a ceiling suga how you get so fly suga suga how you get so fly sugar how you get so fly 
2002,how come how long it's not right it's so wrong do we let it just go on as well as your eyes 
2007,oh but i always thought that i'd see you again oh i've seen fire and i've seen rain oohhh but i always thought that i'd see you again i thought i'd see you once again 
2007,i can't use it anymore knock knock knockin on heaven's door i can't shoot them anymore i feel like i'm knockin on heavens door 
2005,and the way they make you toe the line and to make you toe the line line and fuck forever see i'm stuck forever 
0,you ain't seen nothin yet b-b-b-baby you just ain't seen nothin yet and then she looked at me with big brown eyes and said baby you just ain't seen nothin yet 
2005,i've tried to go on like i never knew you i'm awake but my world is half asleep i pray for this heart to be unbroken but without you all i'm going to be is incomplete 
2005,i still care about you i still feel you like i'm right beside you that i still need you 
2016,bad company and i can't deny til the day i die bad company and i won't deny bad bad company til the day i die 
2005,and i don't want it the things you're offering me cause i'm a 21st century digital boy i don't know how to read but i got a lot of toys see i'm a 21st century digital boy 
2008,written for the people who can see something's wrong but there's so many other fucking insects out there and this is just a punk rock song like workers in a factory we do our share 
2012,sweet sour think about it sour by the minute but you're sweeter by the hour even though you tried to understand it 
1990,come on baby let the good times roll let me thrill your soul come on baby let us have some fun 
2005,and it's losing you i can't believe don't throw it all away our love how can you leave and let this feeling die 
1991,you can be my yoko ono be my be my yoko ono if you like you can be my yoko ono hit it you can be my yoko ono 
2001,it took me a year to believe it was over i took a beating when you wrote me those letters and every time i remembered the taste of your lip gloss but enid we never really knew each other anyway 
1992,when i was born they looked at me and said this song is the cross that i bear it's the hairshirt i wear and this hairshirt is woven from it's woven from your brown hair 
2009,how can i help it if i think you're funny when you're mad i'm the kind of guy who laughs at a funeral i have a tendency to wear my mind on my sleeve can't understand what i mean you soon will 
1998,and if you call i'll pick you up i'll point you home it's only fair to do what's best for you and you alone 
2000,when you try to see the world beyond your front door take your time cause the way i rhyme's gonna make you smile just to try to figure out what all this is for try to figure out what all this is for 
2003,and every one is addressed to me i got some shaved chimps that's chimps devoid of any hair i got depraved chimps 
2010,but you run away from me you cried and ran for cover i did my best but it wasn't enough you made me guess who was it 
2007,but you tell me ah you don't believe don't you understand what i'm tryin to say and you tell me 
2013,does it almost feel like nothing changed at all and if you close your eyes how am i gonna be an optimist about this if you close your eyes 
2006,at the good ol rock and roll gonna rock it up roll it up tell her all the little things i'm gonna do i-i-i-i'm gonna let her know 
2004,if you hate me after what i say bye bye baby baby goodbye bye bye baby don't make me cry wish i knew you before i met her 
2008,miss you want you need you so i want you to know you are the one and i can't let you go you are the one and i can't 
2003,when will the night be over i didn't mean to fall in love with you for what you put me through i'm sleeping with the ghost of you and me 
1999,someday we shall one i've seen better nights than this one 
2011,i got the feeling and assume the lane and we got a party on the left a party on the right pass me the scalpel i'll make an incision i'll cut off the part of your brain that does the bitching 
2011,i hit'em with the rhyme and the rhyme don't stop you wanna buy this you wanna take that you can't abide this you wanna fake that take a look around you 
2015,so why don't you kill me double-barrel buckshot so why don't you kill me so why don't you kill me get crazy with the cheeze whiz so why don't you kill me drive-by body-pierce 
2015,this is the album right here tonight the city is full of morgues there's shopping malls coming out of the walls i pay no mind 
2015,burnt my soul between the bun now i'm wounded now i'm drunk now i'm runnin like a flaming pig oh yeah just shake your boots and let it all get loose oh yeah my goodness 
0,and it's all in your mind and i wanted to be i wanted to be your good friend 
2010,temperature's dropping at the rotten oasis pistols are pointing at a poor man's pockets got a devil's haircut in my mind devil's haircut in my mind 
0,there's a destination a little up the road from the habitations and the towns we know a place we saw the lights turn low and just clap your hands 
2005,heaven's drunk from the poison you use charm the wolves with the eyes of a gambler now i see it's a comfort to you hammer my bones on the anvil of daylight 
2005,with a noose she can hang from the sun and i know i'm gonna steal her life she doesn't even know what's wrong and i know i'm gonna make her die 
2013,but i can say in your way you only make me blue some may say you don't play you have a heart that's true you don't even give me a chance well it's over and i'm telling you 
2016,incidentally there should be some changes made you've got to work if you should have to save don't be blind you've got a thinking mind stop the bells that ring so loud 
0,i've just got to get a message to you and i've got to let her know just in time before i go i've just go to get a message to you well i did it to him now it's my turn to die 
2008,i started a joke which started the whole world crying which started the whole world laughing oh if i'd only seen 
1969,tell him to pray that i won't melt away how strong am i how time goes by can't seem to leave the sea anymore 
0,it's much to late to change your ways you can't expect a soul to stay you think that you can stand and lie it makes me laugh you got no friends 
1969,pulled down the head and looked in the glass just to see if i was in went up the stairs and kissed my women to make her come alive pulled down the glass and looked in the mirror just to see if i was in and orphanage full of thirty-five kids 
2016,how can you tell by looking at me how can you tell you like what you see suddenly there's a boy in the rain alone how can you tell you like what you feel 
2015,and tomorrowevery one gonna drink my wine andtomorrowevery one gonna read my letter and my story of love and a love that could never be mine and tomorrowevery one gonna know me better 
1971,don't you drink with me cos you know that i'm a loser and i'm proud of that fact as you can plainly see don't you drink with me cos i tell you that i'm a loser going from town to town now i tell you i ve been around 
1971,how can you stop the rain from falling down how can you stop the sun from shining how can you mend this broken man and how can you mend this broken man 
1971,i am the searcher of my fortunes don't wanna live inside myself i'm much better off alone but then you must believe in the fallin rain 
1972,run to me whenever you're lonely to love me run to me if you need a shoulder and when you're out in the cold run to me whenever you're lonely 
1972,i don't know about the people that i read about in books there's a reason for believing that i've never been alive alive there's a reason for believing that i've never been alive there's a reason for believing that i've never been alive alive alive 
2016,and this world is your world and your world is my world and my world is your world is mine i've needed you 
1981,i leave you heaven and the earth i leave you never and living to love is the reason we shine we are of agewe are in time 
1983,the woman in you brings out the man in me but your baby needs love show me what to do 
2006,you know i shouldn't be somebody like that i'm not the kind of man to throw his hat into the ring and this is just where i came in this is where i came in 
2008,ooh heaven is a place on earth they say in heaven love comes first we'll make heaven a place on earth and you lift me up in the wave of love 
