year,V1
2007,cause i refuse to let you think you can play with my mind i refuse to let you hurt me any more the fact i fell to the floor the day you walked out my door and i refuse 
0,how can we work it out cause it will soon come cause it will soon come yeah cause it will soon come soon come 
2007,i keep on fallin in and out i never loved someone the way that i loved you i'm fallin in and out 
2011,cause a real man knows a real woman when he sees her and a real woman knows a real man ain't fraid to please her and a real man just can't deny a woman's worth a woman's worth 
2012,with the fire we make it's getting hotter and hotter i can't stay away like the night to the day 
0,reveal the man i'm the man i'm the man yes i am yes i am yes i am i'm the man i'm the man i'm the man reveal tho i'm the man i'm the man 
2008,frank's in there and i don't care frank's in there i don't care now take it take the box and now just take the box take the box 
1998,"they tried to make me go to rehab i said ""no no no"" i ain't got the time and if my daddy thinks i'm fine just try to make me go to rehab i won't go go go but i know it don't come in a shot glass "
2008,we only said goodbye with words and i go back to i go back to us and i go back to black 
2008,he takes the day but i'm gone and in your way in this blue shade my tears dry on their own and in your way my deep shade 
2003,every time i think about you can't you see my heart burnin in my hand do you want me do you not it makes me feel so blue 
2007,won't let me think right i know you're trouble but i'm determined to create what am i gonna do 
2011,this one's for you and me livin out our dreams is a sky full of lighters a sky full of lighters and now i'm fantastic compared to a weed high cause this one's for you and me livin out our dreams 
2009,if loving you is wrong i don't wanna be right am i wrong for trying to hold on no i don't wanna be right 
2005,and it's losing you i can't believe don't throw it all away our love how can you leave and let this feeling die 
0,didn't i do the best for you now didn't i don't you leave me didn't i treat you right now honey didn't i didn't i do the best for you didn't i 
1975,and you won’t find things that broke your heart girl can’t you see can’t you see that i honey can’t you see can’t you see that i i got so much to give to you my dear 
2007,you see the trouble with me it's gonna drive me crazy see the trouble with me and as plain as can be what do i do 
2004,i know i had to hold you and make you mine in ecstasy when you're layin down next to me oh no no ecstasy yeah when you're layin down next to me livin in ecstasy well when you're layin down next to me 
0,it's only love that you're feeling it's only love that you're giving it's only love that you're giving giving it's only love that you're giving yea 
1974,we can gaze up the sky till the night is over light of my life we can gaze at the sky till the night is over and this feeling knowing you blassed me forever 
0,it's in his kiss or is it in his face oh it's in his kiss oh no that's not the way 
2003,a brotha gotta work it out see you gotta work it out oh see you gotta work it out uh see you gotta work it out uh uh 
2007,oh now i'm done believing you i'm more than what you made of me i've followed the voice you gave to me i've followed the voice you think you gave to me 
2014,pretty hurts it's the soul that needs the surgery pretty hurts pretty hurts you try to fix something but you can't fix what you can't see pretty hurts 
2007,lean on me when you're not strong for it won't be long you just call on me brother when you need a hand i just might have a problem that you'll understand 
2004,i used to think that love was just a fairy tale and things we never take notice of you wake up and suddenly you're in love each day i pray this love affair would last forever 
0,i always stop and think of you especially there'll be sad songs to make you cry saying i love you saying i love you oh 
2008,drop all your troubles by the riverside catch a painted pony on the spinning wheel ride someone's waiting just for you ride a painted pony let the spinning wheel fly 
2003,"she said ""here's your one chance fancy don't let me down but if you want out girl it's up to you but if you want out well it's up to you and i guess she did"" "
2001,you can have it you know you've got it if it makes you feel good take it little piece of my heart now honey 
2009,with you with you with you with you you can be sure i will never let you down i wanna know now baby 
2007,one you're like a dream come true two just wanna be with you three girl it's plain to see that you're the only one for me 
2007,you're more than wonderful the irreplaceable love of my life you're so incredible the irreplaceable love love of my life 
2006,a rainy night in georgia it seems like it's rainin all over the world i feel like it's rainin all over the world lord i believe it's rainin all over the world 
2006,divided we fall and if our backs should ever be against the wall we'll be together together you and i and if the world about you falls apart my love 
2010,you can count on me like one two three i'll be there i can count on you like four three two and you'll be there cause that's what friends are supposed to do oh yeah you know you can count on me like one two three i'll be there 
2007,here right here my dear i don't have to look no more for someone just like you to make me feel the way you do i'm never gonna give you up girl i just can't live without you 
1963,cause you make me feel you make me feel like a natural woman you know you make me feel 
2007,i fell in love with you don't you remember you told me you loved me baby you said you'd be coming back this way again baby i love you i really do 
2009,if there's a letter in your bag for me for me to hear from that boy of mine mister postman why don't you check it and see one more time for me 
2007,it's silly no when a rocket ship explodes it's silly now when a rocket ship explodes some say a man ain't happy truly yeah don't you know we can change the world 
2011,we've already saidgoodbye i don't want you to tell me just what you intend to do now cause how many times do i have to tell you darlin darlin i'm still in love still in love with you now 
