"","publicationDate","country","total_awards","albumCount","lat","lon","continent"
"1","1594","Italy",0,1,"41.9","12.483333","Europe"
"2","1613","Italy",0,1,"41.9","12.483333","Europe"
"3","1727","United Kingdom",0,1,"51.5","-0.083333","Europe"
"4","1740","United Kingdom",0,1,"51.5","-0.083333","Europe"
"5","1741","United Kingdom",0,1,"51.5","-0.083333","Europe"
"6","1791","United States",0,1,"38.883333","-77","Central America"
"7","1828","Austria",0,1,"48.2","16.366667","Europe"
"8","1843","Germany",0,1,"52.5166666666667","13.4","Europe"
"9","1845","Germany",0,1,"52.5166666666667","13.4","Europe"
"10","1881","France",0,1,"48.8666666666667","2.333333","Europe"
"11","1900","France",0,1,"48.8666666666667","2.333333","Europe"
"12","1914","Unknown",0,3,"Unknown","Unknown","Unknown"
"13","1922","Unknown",0,1,"Unknown","Unknown","Unknown"
"14","1925","United States",0,1,"38.883333","-77","Central America"
"15","1928","United States",0,1,"38.883333","-77","Central America"
"16","1929","Unknown",0,2,"Unknown","Unknown","Unknown"
"17","1932","United States",0,1,"38.883333","-77","Central America"
"18","1932","Unknown",0,1,"Unknown","Unknown","Unknown"
"19","1935","Unknown",0,1,"Unknown","Unknown","Unknown"
"20","1936","Germany",0,1,"52.5166666666667","13.4","Europe"
"21","1938","United States",0,2,"38.883333","-77","Central America"
"22","1940","United States",0,3,"38.883333","-77","Central America"
"23","1941","United States",0,1,"38.883333","-77","Central America"
"24","1942","United States",0,2,"38.883333","-77","Central America"
"25","1943","United States",0,1,"38.883333","-77","Central America"
"26","1943","Unknown",0,1,"Unknown","Unknown","Unknown"
"27","1944","United States",0,1,"38.883333","-77","Central America"
"28","1945","Canada",0,1,"45.4166666666667","-75.7","Central America"
"29","1945","United States",1,1,"38.883333","-77","Central America"
"30","1946","United States",0,2,"38.883333","-77","Central America"
"31","1947","Austria",0,1,"48.2","16.366667","Europe"
"32","1947","United States",0,1,"38.883333","-77","Central America"
"33","1948","United States",0,3,"38.883333","-77","Central America"
"34","1949","United States",0,8,"38.883333","-77","Central America"
"35","1949","Unknown",0,1,"Unknown","Unknown","Unknown"
"36","1950","France",0,2,"48.8666666666667","2.333333","Europe"
"37","1950","Germany",0,1,"52.5166666666667","13.4","Europe"
"38","1950","United States",0,6,"38.883333","-77","Central America"
"39","1950","Unknown",0,1,"Unknown","Unknown","Unknown"
"40","1951","Canada",0,1,"45.4166666666667","-75.7","Central America"
"41","1951","United States",0,12,"38.883333","-77","Central America"
"42","1951","Unknown",0,1,"Unknown","Unknown","Unknown"
"43","1952","Brazil",0,2,"-15.7833333333333","-47.916667","South America"
"44","1952","France",0,2,"48.8666666666667","2.333333","Europe"
"45","1952","United States",0,12,"38.883333","-77","Central America"
"46","1952","Unknown",0,2,"Unknown","Unknown","Unknown"
"47","1953","Brazil",0,1,"-15.7833333333333","-47.916667","South America"
"48","1953","France",0,5,"48.8666666666667","2.333333","Europe"
"49","1953","United States",0,17,"38.883333","-77","Central America"
"50","1953","Unknown",0,3,"Unknown","Unknown","Unknown"
"51","1954","Belgium",0,1,"50.8333333333333","4.333333","Europe"
"52","1954","Brazil",0,2,"-15.7833333333333","-47.916667","South America"
"53","1954","France",0,3,"48.8666666666667","2.333333","Europe"
"54","1954","Switzerland",0,1,"46.9166666666667","7.466667","Europe"
"55","1954","United States",0,23,"38.883333","-77","Central America"
"56","1954","Unknown",0,3,"Unknown","Unknown","Unknown"
"57","1955","Brazil",0,1,"-15.7833333333333","-47.916667","South America"
"58","1955","France",0,7,"48.8666666666667","2.333333","Europe"
"59","1955","Germany",0,1,"52.5166666666667","13.4","Europe"
"60","1955","Italy",0,2,"41.9","12.483333","Europe"
"61","1955","Mexico",0,1,"19.4333333333333","-99.133333","Central America"
"62","1955","United Kingdom",0,1,"51.5","-0.083333","Europe"
"63","1955","United States",1,34,"38.883333","-77","Central America"
"64","1956","Brazil",0,5,"-15.7833333333333","-47.916667","South America"
"65","1956","Croatia",0,1,"45.8","16","Europe"
"66","1956","France",0,12,"48.8666666666667","2.333333","Europe"
"67","1956","Germany",0,3,"52.5166666666667","13.4","Europe"
"68","1956","India",0,1,"28.6","77.2","Asia"
"69","1956","Italy",0,3,"41.9","12.483333","Europe"
"70","1956","Jamaica",0,1,"18","-76.8","North America"
"71","1956","Portugal",0,1,"38.7166666666667","-9.133333","Europe"
"72","1956","Switzerland",0,3,"46.9166666666667","7.466667","Europe"
"73","1956","United Kingdom",0,2,"51.5","-0.083333","Europe"
"74","1956","United States",1,68,"38.883333","-77","Central America"
"75","1956","Unknown",0,5,"Unknown","Unknown","Unknown"
"76","1957","Austria",0,3,"48.2","16.366667","Europe"
"77","1957","Belgium",0,1,"50.8333333333333","4.333333","Europe"
"78","1957","Brazil",0,7,"-15.7833333333333","-47.916667","South America"
"79","1957","Canada",0,1,"45.4166666666667","-75.7","Central America"
"80","1957","Denmark",0,2,"55.6666666666667","12.583333","Europe"
