"X","X_id","genre"
1469,"ObjectId(5714dec325ac0d8aee380aa4)","Rhythm and blues"
3809,"ObjectId(5714dec325ac0d8aee3813c8)","Rhythm and blues"
6234,"ObjectId(5714dec325ac0d8aee381d41)","Rhythm and blues"
6287,"ObjectId(5714dec325ac0d8aee381d76)","Rhythm and blues"
6307,"ObjectId(5714dec325ac0d8aee381d8a)","Rhythm and blues"
7167,"ObjectId(5714dec325ac0d8aee3820e6)","Rhythm and blues"
7192,"ObjectId(5714dec325ac0d8aee3820ff)","Rhythm and blues"
7204,"ObjectId(5714dec325ac0d8aee38210b)","Rhythm and blues"
7215,"ObjectId(5714dec325ac0d8aee382116)","Rhythm and blues"
7235,"ObjectId(5714dec325ac0d8aee38212a)","Twelve-bar blues"
7235,"ObjectId(5714dec325ac0d8aee38212a)","Rhythm and blues"
7240,"ObjectId(5714dec325ac0d8aee38212f)","Rhythm and blues"
7240,"ObjectId(5714dec325ac0d8aee38212f)","Blues"
7274,"ObjectId(5714dec325ac0d8aee382151)","Rhythm and blues"
7307,"ObjectId(5714dec325ac0d8aee382172)","Gospel blues"
7311,"ObjectId(5714dec325ac0d8aee382176)","Rhythm and blues"
7312,"ObjectId(5714dec325ac0d8aee382177)","Rhythm and blues"
7327,"ObjectId(5714dec325ac0d8aee382186)","Rhythm and blues"
7349,"ObjectId(5714dec325ac0d8aee38219c)","Rhythm and blues"
7368,"ObjectId(5714dec325ac0d8aee3821af)","Rhythm and blues"
7368,"ObjectId(5714dec325ac0d8aee3821af)","Blues"
7378,"ObjectId(5714dec325ac0d8aee3821b9)","Rhythm and blues"
7379,"ObjectId(5714dec325ac0d8aee3821ba)","Rhythm and blues"
14451,"ObjectId(5714dec325ac0d8aee383d5a)","Blues"
14467,"ObjectId(5714dec325ac0d8aee383d6a)","Rhythm and blues"
14568,"ObjectId(5714dec325ac0d8aee383dcf)","Blues"
14673,"ObjectId(5714dec325ac0d8aee383e38)","Rhythm and blues"
15354,"ObjectId(5714dec325ac0d8aee3840e1)","Blue-eyed soul"
20175,"ObjectId(5714dec325ac0d8aee3853b6)","Rhythm and blues"
