"X","X_id","genre"
4482,"ObjectId(5714dec325ac0d8aee381669)","Dance music"
4497,"ObjectId(5714dec325ac0d8aee381678)","Dance music"
5084,"ObjectId(5714dec325ac0d8aee3818c3)","Alternative dance"
6281,"ObjectId(5714dec325ac0d8aee381d70)","Electronic dance music"
6302,"ObjectId(5714dec325ac0d8aee381d85)","Electronic dance music"
8721,"ObjectId(5714dec325ac0d8aee3826f8)","Dance music"
8782,"ObjectId(5714dec325ac0d8aee382735)","Dance music"
8827,"ObjectId(5714dec325ac0d8aee382762)","Dance music"
8892,"ObjectId(5714dec325ac0d8aee3827a3)","Dance music"
8915,"ObjectId(5714dec325ac0d8aee3827ba)","Dance music"
8985,"ObjectId(5714dec325ac0d8aee382800)","Dance music"
9020,"ObjectId(5714dec325ac0d8aee382823)","Dance music"
15996,"ObjectId(5714dec325ac0d8aee384363)","Dance music"
16003,"ObjectId(5714dec325ac0d8aee38436a)","Dance music"
16011,"ObjectId(5714dec325ac0d8aee384372)","Eurodance"
16061,"ObjectId(5714dec325ac0d8aee3843a4)","Eurodance"
16066,"ObjectId(5714dec325ac0d8aee3843a9)","Dance music"
16078,"ObjectId(5714dec325ac0d8aee3843b5)","Eurodance"
16086,"ObjectId(5714dec325ac0d8aee3843bd)","Eurodance"
20989,"ObjectId(5714dec325ac0d8aee3856e4)","Eurodance"
21451,"ObjectId(5714dec325ac0d8aee3858b2)","Intelligent dance music"
21451,"ObjectId(5714dec325ac0d8aee3858b2)","Dance music"
21996,"ObjectId(5714dec325ac0d8aee385ad3)","Electronic dance music"
32312,"ObjectId(5714dec325ac0d8aee38831f)","Dance music"
45276,"ObjectId(5714dec425ac0d8aee38b5c3)","Dance music"
48539,"ObjectId(5714dec425ac0d8aee38c282)","Eurodance"
48544,"ObjectId(5714dec425ac0d8aee38c287)","Eurodance"
48548,"ObjectId(5714dec425ac0d8aee38c28b)","Eurodance"
48550,"ObjectId(5714dec425ac0d8aee38c28d)","Eurodance"
48553,"ObjectId(5714dec425ac0d8aee38c290)","Eurodance"
48554,"ObjectId(5714dec425ac0d8aee38c291)","Eurodance"
48560,"ObjectId(5714dec425ac0d8aee38c297)","Eurodance"
48563,"ObjectId(5714dec425ac0d8aee38c29a)","Eurodance"
48566,"ObjectId(5714dec425ac0d8aee38c29d)","Eurodance"
48567,"ObjectId(5714dec425ac0d8aee38c29e)","Eurodance"
48573,"ObjectId(5714dec425ac0d8aee38c2a4)","Eurodance"
48579,"ObjectId(5714dec425ac0d8aee38c2aa)","Eurodance"
48582,"ObjectId(5714dec425ac0d8aee38c2ad)","Eurodance"
48583,"ObjectId(5714dec425ac0d8aee38c2ae)","Eurodance"
48585,"ObjectId(5714dec425ac0d8aee38c2b0)","Eurodance"
48592,"ObjectId(5714dec425ac0d8aee38c2b7)","Eurodance"
48596,"ObjectId(5714dec425ac0d8aee38c2bb)","Eurodance"
48601,"ObjectId(5714dec425ac0d8aee38c2c0)","Eurodance"
48604,"ObjectId(5714dec425ac0d8aee38c2c3)","Eurodance"
53006,"ObjectId(5714dec425ac0d8aee38d3f5)","Dancehall"
53163,"ObjectId(5714dec425ac0d8aee38d492)","Dance music"
54201,"ObjectId(5714dec425ac0d8aee38d8a0)","Dancehall"
54246,"ObjectId(5714dec425ac0d8aee38d8cd)","Eurodance"
56762,"ObjectId(5714dec425ac0d8aee38e2a1)","Eurodance"
61489,"ObjectId(5714dec425ac0d8aee38f518)","Dance music"
62805,"ObjectId(5714dec425ac0d8aee38fa3c)","Intelligent dance music"
63729,"ObjectId(5714dec425ac0d8aee38fdd8)","Dance music"
66444,"ObjectId(5714dec425ac0d8aee390873)","Alternative dance"
66451,"ObjectId(5714dec425ac0d8aee39087a)","Alternative dance"
68224,"ObjectId(5714dec425ac0d8aee390f67)","Dance music"
71234,"ObjectId(5714dec425ac0d8aee391b29)","Eurodance"
85384,"ObjectId(5714dec425ac0d8aee39526f)","Electronic dance music"
86033,"ObjectId(5714dec425ac0d8aee3954f8)","Dance music"
86075,"ObjectId(5714dec425ac0d8aee395522)","Dance music"
92904,"ObjectId(5714dec525ac0d8aee396fcf)","Alternative dance"
94550,"ObjectId(5714dec525ac0d8aee39763d)","Eurodance"
94562,"ObjectId(5714dec525ac0d8aee397649)","Eurodance"
99960,"ObjectId(5714dec525ac0d8aee398b5f)","Eurodance"
99971,"ObjectId(5714dec525ac0d8aee398b6a)","Eurodance"
103380,"ObjectId(5714dec525ac0d8aee3998bb)","Dance music"
104160,"ObjectId(5714dec525ac0d8aee399bc7)","Dance music"
104209,"ObjectId(5714dec525ac0d8aee399bf8)","Dance music"
109291,"ObjectId(5714dec525ac0d8aee39afd2)","Eurodance"
109292,"ObjectId(5714dec525ac0d8aee39afd3)","Eurodance"
109302,"ObjectId(5714dec525ac0d8aee39afdd)","Eurodance"
109304,"ObjectId(5714dec525ac0d8aee39afdf)","Eurodance"
109321,"ObjectId(5714dec525ac0d8aee39aff0)","Eurodance"
109322,"ObjectId(5714dec525ac0d8aee39aff1)","Eurodance"
109324,"ObjectId(5714dec525ac0d8aee39aff3)","Eurodance"
109327,"ObjectId(5714dec525ac0d8aee39aff6)","Eurodance"
109345,"ObjectId(5714dec525ac0d8aee39b008)","Eurodance"
109351,"ObjectId(5714dec525ac0d8aee39b00e)","Eurodance"
112461,"ObjectId(5714dec525ac0d8aee39bc34)","Dancehall"
112475,"ObjectId(5714dec525ac0d8aee39bc42)","Dancehall"
115316,"ObjectId(5714dec525ac0d8aee39c75b)","Bubblegum dance"
115322,"ObjectId(5714dec525ac0d8aee39c761)","Bubblegum dance"
115323,"ObjectId(5714dec525ac0d8aee39c762)","Eurodance"
115323,"ObjectId(5714dec525ac0d8aee39c762)","Bubblegum dance"
115338,"ObjectId(5714dec525ac0d8aee39c771)","Bubblegum dance"
115349,"ObjectId(5714dec525ac0d8aee39c77c)","Bubblegum dance"
115352,"ObjectId(5714dec525ac0d8aee39c77f)","Bubblegum dance"
115355,"ObjectId(5714dec525ac0d8aee39c782)","Eurodance"
115355,"ObjectId(5714dec525ac0d8aee39c782)","Bubblegum dance"
115375,"ObjectId(5714dec525ac0d8aee39c796)","Eurodance"
120574,"ObjectId(5714dec525ac0d8aee39dbe5)","Electronic dance music"
120576,"ObjectId(5714dec525ac0d8aee39dbe7)","Electronic dance music"
123718,"ObjectId(5714dec525ac0d8aee39e82a)","Dance music"
123729,"ObjectId(5714dec525ac0d8aee39e835)","Dance music"
123774,"ObjectId(5714dec525ac0d8aee39e862)","Dance music"
123792,"ObjectId(5714dec525ac0d8aee39e874)","Dance music"
123806,"ObjectId(5714dec525ac0d8aee39e882)","Dance music"
126199,"ObjectId(5714dec525ac0d8aee39f1db)","Dance music"
130755,"ObjectId(5714dec525ac0d8aee3a03a7)","Dancehall"
136046,"ObjectId(5714dec525ac0d8aee3a184f)","Electronic dance music"
136065,"ObjectId(5714dec525ac0d8aee3a1862)","Electronic dance music"
136100,"ObjectId(5714dec525ac0d8aee3a1885)","Electronic dance music"
136113,"ObjectId(5714dec525ac0d8aee3a1892)","Electronic dance music"
136255,"ObjectId(5714dec525ac0d8aee3a1920)","Eurodance"
138112,"ObjectId(5714dec525ac0d8aee3a2061)","Dancehall"
