"X","X_id","genre"
3783,"ObjectId(5714dec325ac0d8aee3813ae)","Disco"
4445,"ObjectId(5714dec325ac0d8aee381644)","Euro disco"
4480,"ObjectId(5714dec325ac0d8aee381667)","Disco"
4496,"ObjectId(5714dec325ac0d8aee381677)","Euro disco"
6248,"ObjectId(5714dec325ac0d8aee381d4f)","Disco"
6288,"ObjectId(5714dec325ac0d8aee381d77)","Disco"
6296,"ObjectId(5714dec325ac0d8aee381d7f)","Disco"
8716,"ObjectId(5714dec325ac0d8aee3826f3)","Euro disco"
8728,"ObjectId(5714dec325ac0d8aee3826ff)","Disco"
8737,"ObjectId(5714dec325ac0d8aee382708)","Disco"
8738,"ObjectId(5714dec325ac0d8aee382709)","Disco"
8740,"ObjectId(5714dec325ac0d8aee38270b)","Disco"
8742,"ObjectId(5714dec325ac0d8aee38270d)","Disco"
8747,"ObjectId(5714dec325ac0d8aee382712)","Disco"
8749,"ObjectId(5714dec325ac0d8aee382714)","Disco"
8750,"ObjectId(5714dec325ac0d8aee382715)","Disco"
8752,"ObjectId(5714dec325ac0d8aee382717)","Disco"
8756,"ObjectId(5714dec325ac0d8aee38271b)","Disco"
8757,"ObjectId(5714dec325ac0d8aee38271c)","Euro disco"
8758,"ObjectId(5714dec325ac0d8aee38271d)","Disco"
8760,"ObjectId(5714dec325ac0d8aee38271f)","Disco"
8782,"ObjectId(5714dec325ac0d8aee382735)","Disco"
8807,"ObjectId(5714dec325ac0d8aee38274e)","Euro disco"
8810,"ObjectId(5714dec325ac0d8aee382751)","Disco"
8812,"ObjectId(5714dec325ac0d8aee382753)","Disco"
8814,"ObjectId(5714dec325ac0d8aee382755)","Disco"
8815,"ObjectId(5714dec325ac0d8aee382756)","Disco"
8816,"ObjectId(5714dec325ac0d8aee382757)","Disco"
8823,"ObjectId(5714dec325ac0d8aee38275e)","Euro disco"
8825,"ObjectId(5714dec325ac0d8aee382760)","Disco"
8827,"ObjectId(5714dec325ac0d8aee382762)","Disco"
8835,"ObjectId(5714dec325ac0d8aee38276a)","Disco"
8836,"ObjectId(5714dec325ac0d8aee38276b)","Disco"
8837,"ObjectId(5714dec325ac0d8aee38276c)","Disco"
8842,"ObjectId(5714dec325ac0d8aee382771)","Disco"
8843,"ObjectId(5714dec325ac0d8aee382772)","Disco"
8891,"ObjectId(5714dec325ac0d8aee3827a2)","Euro disco"
8902,"ObjectId(5714dec325ac0d8aee3827ad)","Disco"
8904,"ObjectId(5714dec325ac0d8aee3827af)","Disco"
8907,"ObjectId(5714dec325ac0d8aee3827b2)","Disco"
8908,"ObjectId(5714dec325ac0d8aee3827b3)","Disco"
8909,"ObjectId(5714dec325ac0d8aee3827b4)","Disco"
8910,"ObjectId(5714dec325ac0d8aee3827b5)","Disco"
8915,"ObjectId(5714dec325ac0d8aee3827ba)","Disco"
8970,"ObjectId(5714dec325ac0d8aee3827f1)","Euro disco"
8974,"ObjectId(5714dec325ac0d8aee3827f5)","Disco"
8977,"ObjectId(5714dec325ac0d8aee3827f8)","Disco"
8979,"ObjectId(5714dec325ac0d8aee3827fa)","Disco"
8980,"ObjectId(5714dec325ac0d8aee3827fb)","Disco"
8981,"ObjectId(5714dec325ac0d8aee3827fc)","Disco"
8985,"ObjectId(5714dec325ac0d8aee382800)","Disco"
9004,"ObjectId(5714dec325ac0d8aee382813)","Euro disco"
9008,"ObjectId(5714dec325ac0d8aee382817)","Disco"
9010,"ObjectId(5714dec325ac0d8aee382819)","Disco"
9012,"ObjectId(5714dec325ac0d8aee38281b)","Disco"
9013,"ObjectId(5714dec325ac0d8aee38281c)","Disco"
9014,"ObjectId(5714dec325ac0d8aee38281d)","Disco"
9015,"ObjectId(5714dec325ac0d8aee38281e)","Disco"
9020,"ObjectId(5714dec325ac0d8aee382823)","Disco"
21017,"ObjectId(5714dec325ac0d8aee385700)","Disco"
48504,"ObjectId(5714dec425ac0d8aee38c25f)","Nu-disco"
48518,"ObjectId(5714dec425ac0d8aee38c26d)","Nu-disco"
48537,"ObjectId(5714dec425ac0d8aee38c280)","Nu-disco"
48561,"ObjectId(5714dec425ac0d8aee38c298)","Nu-disco"
48577,"ObjectId(5714dec425ac0d8aee38c2a8)","Nu-disco"
48584,"ObjectId(5714dec425ac0d8aee38c2af)","Nu-disco"
48589,"ObjectId(5714dec425ac0d8aee38c2b4)","Nu-disco"
48597,"ObjectId(5714dec425ac0d8aee38c2bc)","Nu-disco"
48605,"ObjectId(5714dec425ac0d8aee38c2c4)","Nu-disco"
53184,"ObjectId(5714dec425ac0d8aee38d4a7)","Disco"
53500,"ObjectId(5714dec425ac0d8aee38d5e3)","Post-disco"
57794,"ObjectId(5714dec425ac0d8aee38e6a9)","Disco"
61492,"ObjectId(5714dec425ac0d8aee38f51b)","Disco"
61492,"ObjectId(5714dec425ac0d8aee38f51b)","Italo disco"
69580,"ObjectId(5714dec425ac0d8aee3914b3)","Euro disco"
74635,"ObjectId(5714dec425ac0d8aee392872)","Disco"
85382,"ObjectId(5714dec425ac0d8aee39526d)","Disco"
85383,"ObjectId(5714dec425ac0d8aee39526e)","Disco"
85384,"ObjectId(5714dec425ac0d8aee39526f)","Disco"
85386,"ObjectId(5714dec425ac0d8aee395271)","Disco"
85387,"ObjectId(5714dec425ac0d8aee395272)","Disco"
85391,"ObjectId(5714dec425ac0d8aee395276)","Disco"
90883,"ObjectId(5714dec525ac0d8aee3967ea)","Disco"
90888,"ObjectId(5714dec525ac0d8aee3967ef)","Disco"
90893,"ObjectId(5714dec525ac0d8aee3967f4)","Disco"
90894,"ObjectId(5714dec525ac0d8aee3967f5)","Disco"
90896,"ObjectId(5714dec525ac0d8aee3967f7)","Disco"
90906,"ObjectId(5714dec525ac0d8aee396801)","Disco"
90913,"ObjectId(5714dec525ac0d8aee396808)","Disco"
90914,"ObjectId(5714dec525ac0d8aee396809)","Disco"
90915,"ObjectId(5714dec525ac0d8aee39680a)","Disco"
90916,"ObjectId(5714dec525ac0d8aee39680b)","Disco"
92350,"ObjectId(5714dec525ac0d8aee396da5)","Disco"
92356,"ObjectId(5714dec525ac0d8aee396dab)","Disco"
92370,"ObjectId(5714dec525ac0d8aee396db9)","Disco"
92506,"ObjectId(5714dec525ac0d8aee396e41)","Disco"
92597,"ObjectId(5714dec525ac0d8aee396e9c)","Disco"
99237,"ObjectId(5714dec525ac0d8aee39888c)","Disco"
99963,"ObjectId(5714dec525ac0d8aee398b62)","Disco"
100097,"ObjectId(5714dec525ac0d8aee398be8)","Disco"
100147,"ObjectId(5714dec525ac0d8aee398c1a)","Disco"
100176,"ObjectId(5714dec525ac0d8aee398c37)","Disco"
102199,"ObjectId(5714dec525ac0d8aee39941e)","Disco"
103970,"ObjectId(5714dec525ac0d8aee399b09)","Italo disco"
103980,"ObjectId(5714dec525ac0d8aee399b13)","Italo disco"
118507,"ObjectId(5714dec525ac0d8aee39d3d2)","Disco"
119750,"ObjectId(5714dec525ac0d8aee39d8ad)","Disco"
120114,"ObjectId(5714dec525ac0d8aee39da19)","Disco"
122543,"ObjectId(5714dec525ac0d8aee39e396)","Nu-disco"
122552,"ObjectId(5714dec525ac0d8aee39e39f)","Nu-disco"
123550,"ObjectId(5714dec525ac0d8aee39e782)","Disco"
125636,"ObjectId(5714dec525ac0d8aee39efa8)","Post-disco"
129323,"ObjectId(5714dec525ac0d8aee39fe0f)","Disco"
138071,"ObjectId(5714dec525ac0d8aee3a2038)","Disco"
138084,"ObjectId(5714dec525ac0d8aee3a2045)","Disco"
138095,"ObjectId(5714dec525ac0d8aee3a2050)","Disco"
138096,"ObjectId(5714dec525ac0d8aee3a2051)","Disco"
138124,"ObjectId(5714dec525ac0d8aee3a206d)","Disco"
138125,"ObjectId(5714dec525ac0d8aee3a206e)","Disco"
138140,"ObjectId(5714dec525ac0d8aee3a207d)","Disco"
138143,"ObjectId(5714dec525ac0d8aee3a2080)","Disco"
139183,"ObjectId(5714dec525ac0d8aee3a2490)","Post-disco"
139226,"ObjectId(5714dec525ac0d8aee3a24bb)","Post-disco"
146140,"ObjectId(5714dec625ac0d8aee3a3fbd)","Nu-disco"
151540,"ObjectId(5714dec625ac0d8aee3a54d5)","Disco"
156810,"ObjectId(5714dec625ac0d8aee3a696b)","Euro disco"
156838,"ObjectId(5714dec625ac0d8aee3a6987)","Euro disco"
156861,"ObjectId(5714dec625ac0d8aee3a699e)","Euro disco"
159105,"ObjectId(5714dec625ac0d8aee3a7262)","Disco"
