"X","X_id","genre"
8672,"ObjectId(5714dec325ac0d8aee3826c7)","Folk music"
8725,"ObjectId(5714dec325ac0d8aee3826fc)","Folk music"
8806,"ObjectId(5714dec325ac0d8aee38274d)","Folk music"
8834,"ObjectId(5714dec325ac0d8aee382769)","Folk music"
8877,"ObjectId(5714dec325ac0d8aee382794)","Folk music"
8890,"ObjectId(5714dec325ac0d8aee3827a1)","Folk music"
8949,"ObjectId(5714dec325ac0d8aee3827dc)","Folk music"
8969,"ObjectId(5714dec325ac0d8aee3827f0)","Folk music"
9003,"ObjectId(5714dec325ac0d8aee382812)","Folk music"
9167,"ObjectId(5714dec325ac0d8aee3828b6)","Folk music"
26364,"ObjectId(5714dec325ac0d8aee386be3)","Folk music"
30351,"ObjectId(5714dec325ac0d8aee387b76)","Folk punk"
30357,"ObjectId(5714dec325ac0d8aee387b7c)","Folk punk"
30469,"ObjectId(5714dec325ac0d8aee387bec)","Folk punk"
35061,"ObjectId(5714dec325ac0d8aee388ddc)","Contemporary folk music"
35073,"ObjectId(5714dec325ac0d8aee388de8)","Contemporary folk music"
35140,"ObjectId(5714dec325ac0d8aee388e2b)","Folk music"
35178,"ObjectId(5714dec325ac0d8aee388e51)","Contemporary folk music"
41552,"ObjectId(5714dec425ac0d8aee38a737)","Folk music"
52354,"ObjectId(5714dec425ac0d8aee38d169)","Folk music"
54200,"ObjectId(5714dec425ac0d8aee38d89f)","Folk music"
54217,"ObjectId(5714dec425ac0d8aee38d8b0)","Folk music"
59265,"ObjectId(5714dec425ac0d8aee38ec68)","Folk music"
62805,"ObjectId(5714dec425ac0d8aee38fa3c)","Folktronica"
63919,"ObjectId(5714dec425ac0d8aee38fe96)","Folk music"
66438,"ObjectId(5714dec425ac0d8aee39086d)","Progressive folk"
66438,"ObjectId(5714dec425ac0d8aee39086d)","Indie folk"
66449,"ObjectId(5714dec425ac0d8aee390878)","Progressive folk"
66449,"ObjectId(5714dec425ac0d8aee390878)","Indie folk"
73235,"ObjectId(5714dec425ac0d8aee3922fa)","Indie folk"
85763,"ObjectId(5714dec425ac0d8aee3953ea)","Indie folk"
91896,"ObjectId(5714dec525ac0d8aee396bdf)","Folk music"
92334,"ObjectId(5714dec525ac0d8aee396d95)","Folk music"
