"X","X_id","genre"
6248,"ObjectId(5714dec325ac0d8aee381d4f)","Funk"
6288,"ObjectId(5714dec325ac0d8aee381d77)","Funk"
6296,"ObjectId(5714dec325ac0d8aee381d7f)","Funk"
26722,"ObjectId(5714dec325ac0d8aee386d49)","Funk"
39955,"ObjectId(5714dec425ac0d8aee38a0fa)","Funk"
40017,"ObjectId(5714dec425ac0d8aee38a138)","Funk"
40194,"ObjectId(5714dec425ac0d8aee38a1e9)","Funk"
40274,"ObjectId(5714dec425ac0d8aee38a239)","Funk"
40275,"ObjectId(5714dec425ac0d8aee38a23a)","Funk"
40276,"ObjectId(5714dec425ac0d8aee38a23b)","Funk"
40559,"ObjectId(5714dec425ac0d8aee38a356)","Funk"
40577,"ObjectId(5714dec425ac0d8aee38a368)","Funk"
40670,"ObjectId(5714dec425ac0d8aee38a3c5)","Funk"
40682,"ObjectId(5714dec425ac0d8aee38a3d1)","Funk"
61492,"ObjectId(5714dec425ac0d8aee38f51b)","Funk"
88188,"ObjectId(5714dec425ac0d8aee395d63)","Funk"
88188,"ObjectId(5714dec425ac0d8aee395d63)","Funktronica"
90883,"ObjectId(5714dec525ac0d8aee3967ea)","Funk"
90888,"ObjectId(5714dec525ac0d8aee3967ef)","Funk"
90904,"ObjectId(5714dec525ac0d8aee3967ff)","Funk"
90913,"ObjectId(5714dec525ac0d8aee396808)","Funk"
90914,"ObjectId(5714dec525ac0d8aee396809)","Funk"
90922,"ObjectId(5714dec525ac0d8aee396811)","Funk"
96554,"ObjectId(5714dec525ac0d8aee397e11)","Funk"
103510,"ObjectId(5714dec525ac0d8aee39993d)","Funk"
103945,"ObjectId(5714dec525ac0d8aee399af0)","Funktronica"
104259,"ObjectId(5714dec525ac0d8aee399c2a)","Funk"
113595,"ObjectId(5714dec525ac0d8aee39c0a2)","Funk"
117843,"ObjectId(5714dec525ac0d8aee39d13a)","Funk"
119748,"ObjectId(5714dec525ac0d8aee39d8ab)","Funk"
119804,"ObjectId(5714dec525ac0d8aee39d8e3)","Funk"
119842,"ObjectId(5714dec525ac0d8aee39d909)","Funk"
119859,"ObjectId(5714dec525ac0d8aee39d91a)","Funk"
119965,"ObjectId(5714dec525ac0d8aee39d984)","Funk"
119999,"ObjectId(5714dec525ac0d8aee39d9a6)","Funk"
120041,"ObjectId(5714dec525ac0d8aee39d9d0)","Funk"
120050,"ObjectId(5714dec525ac0d8aee39d9d9)","Funk"
120065,"ObjectId(5714dec525ac0d8aee39d9e8)","Funk"
120073,"ObjectId(5714dec525ac0d8aee39d9f0)","Funk"
120093,"ObjectId(5714dec525ac0d8aee39da04)","Funk"
120128,"ObjectId(5714dec525ac0d8aee39da27)","Funk"
120144,"ObjectId(5714dec525ac0d8aee39da37)","Funk"
120196,"ObjectId(5714dec525ac0d8aee39da6b)","Funk"
121548,"ObjectId(5714dec525ac0d8aee39dfb3)","Funk"
125636,"ObjectId(5714dec525ac0d8aee39efa8)","Funk"
