"X","X_id","genre"
4001,"ObjectId(5714dec325ac0d8aee381488)","Alternative hip hop"
4056,"ObjectId(5714dec325ac0d8aee3814bf)","Alternative hip hop"
4070,"ObjectId(5714dec325ac0d8aee3814cd)","Hip hop music"
4075,"ObjectId(5714dec325ac0d8aee3814d2)","Alternative hip hop"
4878,"ObjectId(5714dec325ac0d8aee3817f5)","Hip hop music"
4894,"ObjectId(5714dec325ac0d8aee381805)","Hip hop music"
4895,"ObjectId(5714dec325ac0d8aee381806)","Hip hop music"
4902,"ObjectId(5714dec325ac0d8aee38180d)","Hip hop music"
4904,"ObjectId(5714dec325ac0d8aee38180f)","Hip hop music"
4934,"ObjectId(5714dec325ac0d8aee38182d)","Hip hop music"
5084,"ObjectId(5714dec325ac0d8aee3818c3)","Hip hop music"
6231,"ObjectId(5714dec325ac0d8aee381d3e)","Hip hop soul"
6232,"ObjectId(5714dec325ac0d8aee381d3f)","Hip hop soul"
6233,"ObjectId(5714dec325ac0d8aee381d40)","Hip hop music"
6243,"ObjectId(5714dec325ac0d8aee381d4a)","Hip hop soul"
6246,"ObjectId(5714dec325ac0d8aee381d4d)","Hip hop soul"
6248,"ObjectId(5714dec325ac0d8aee381d4f)","Hip hop soul"
6263,"ObjectId(5714dec325ac0d8aee381d5e)","Hip hop music"
6275,"ObjectId(5714dec325ac0d8aee381d6a)","Hip hop soul"
6279,"ObjectId(5714dec325ac0d8aee381d6e)","Hip hop music"
6281,"ObjectId(5714dec325ac0d8aee381d70)","Hip hop music"
6288,"ObjectId(5714dec325ac0d8aee381d77)","Hip hop soul"
6289,"ObjectId(5714dec325ac0d8aee381d78)","Hip hop soul"
6293,"ObjectId(5714dec325ac0d8aee381d7c)","Hip hop soul"
6294,"ObjectId(5714dec325ac0d8aee381d7d)","Hip hop soul"
6296,"ObjectId(5714dec325ac0d8aee381d7f)","Hip hop soul"
6300,"ObjectId(5714dec325ac0d8aee381d83)","Hip hop music"
6302,"ObjectId(5714dec325ac0d8aee381d85)","Hip hop music"
6303,"ObjectId(5714dec325ac0d8aee381d86)","Hip hop soul"
6310,"ObjectId(5714dec325ac0d8aee381d8d)","Hip hop music"
6315,"ObjectId(5714dec325ac0d8aee381d92)","Hip hop music"
8609,"ObjectId(5714dec325ac0d8aee382688)","Trip hop"
16901,"ObjectId(5714dec325ac0d8aee3846ec)","Hip hop music"
16950,"ObjectId(5714dec325ac0d8aee38471d)","Hip hop music"
20928,"ObjectId(5714dec325ac0d8aee3856a7)","Alternative hip hop"
20931,"ObjectId(5714dec325ac0d8aee3856aa)","Hip hop music"
20932,"ObjectId(5714dec325ac0d8aee3856ab)","Comedy hip hop"
21007,"ObjectId(5714dec325ac0d8aee3856f6)","Hip hop music"
21026,"ObjectId(5714dec325ac0d8aee385709)","Hip hop music"
28553,"ObjectId(5714dec325ac0d8aee387470)","Hip house"
28561,"ObjectId(5714dec325ac0d8aee387478)","Latin hip hop"
28677,"ObjectId(5714dec325ac0d8aee3874ec)","Comedy hip hop"
28688,"ObjectId(5714dec325ac0d8aee3874f7)","Comedy hip hop"
28703,"ObjectId(5714dec325ac0d8aee387506)","Comedy hip hop"
31842,"ObjectId(5714dec325ac0d8aee388149)","Hip hop music"
31845,"ObjectId(5714dec325ac0d8aee38814c)","Electro hop music"
38385,"ObjectId(5714dec425ac0d8aee389ad8)","Hip hop music"
38387,"ObjectId(5714dec425ac0d8aee389ada)","Hip hop soul"
38388,"ObjectId(5714dec425ac0d8aee389adb)","Political hip hop"
38390,"ObjectId(5714dec425ac0d8aee389add)","Hip hop soul"
38395,"ObjectId(5714dec425ac0d8aee389ae2)","Political hip hop"
38397,"ObjectId(5714dec425ac0d8aee389ae4)","Political hip hop"
38398,"ObjectId(5714dec425ac0d8aee389ae5)","Hip hop music"
38408,"ObjectId(5714dec425ac0d8aee389aef)","Hip hop music"
38409,"ObjectId(5714dec425ac0d8aee389af0)","Hip hop music"
38426,"ObjectId(5714dec425ac0d8aee389b01)","Hip hop music"
38430,"ObjectId(5714dec425ac0d8aee389b05)","Hip hop music"
40559,"ObjectId(5714dec425ac0d8aee38a356)","Hip hop music"
40577,"ObjectId(5714dec425ac0d8aee38a368)","Hip hop music"
40670,"ObjectId(5714dec425ac0d8aee38a3c5)","Hip hop music"
40682,"ObjectId(5714dec425ac0d8aee38a3d1)","Hip hop music"
42063,"ObjectId(5714dec425ac0d8aee38a936)","Trip hop"
42084,"ObjectId(5714dec425ac0d8aee38a94b)","Trip hop"
56956,"ObjectId(5714dec425ac0d8aee38e363)","Hip hop music"
57030,"ObjectId(5714dec425ac0d8aee38e3ad)","Hip hop music"
57153,"ObjectId(5714dec425ac0d8aee38e428)","Hip hop music"
57176,"ObjectId(5714dec425ac0d8aee38e43f)","Hip hop music"
57864,"ObjectId(5714dec425ac0d8aee38e6ef)","Hip hop music"
57879,"ObjectId(5714dec425ac0d8aee38e6fe)","Alternative hip hop"
57895,"ObjectId(5714dec425ac0d8aee38e70e)","Alternative hip hop"
57953,"ObjectId(5714dec425ac0d8aee38e748)","Alternative hip hop"
57984,"ObjectId(5714dec425ac0d8aee38e767)","Hip hop music"
61492,"ObjectId(5714dec425ac0d8aee38f51b)","Hip hop soul"
61523,"ObjectId(5714dec425ac0d8aee38f53a)","Hip hop music"
63729,"ObjectId(5714dec425ac0d8aee38fdd8)","Hip hop music"
65854,"ObjectId(5714dec425ac0d8aee390625)","Hip hop music"
65895,"ObjectId(5714dec425ac0d8aee39064e)","Hip hop music"
65935,"ObjectId(5714dec425ac0d8aee390676)","Hip hop music"
65988,"ObjectId(5714dec425ac0d8aee3906ab)","Hip hop music"
66021,"ObjectId(5714dec425ac0d8aee3906cc)","Hip hop music"
66032,"ObjectId(5714dec425ac0d8aee3906d7)","Hip hop music"
66117,"ObjectId(5714dec425ac0d8aee39072c)","Hip hop music"
66444,"ObjectId(5714dec425ac0d8aee390873)","Trip hop"
68395,"ObjectId(5714dec425ac0d8aee391012)","Hip hop music"
