"X","X_id","genre"
4489,"ObjectId(5714dec325ac0d8aee381670)","Tech house"
20989,"ObjectId(5714dec325ac0d8aee3856e4)","House music"
21451,"ObjectId(5714dec325ac0d8aee3858b2)","Acid house"
21451,"ObjectId(5714dec325ac0d8aee3858b2)","UK hard house"
22184,"ObjectId(5714dec325ac0d8aee385b8f)","House music"
28537,"ObjectId(5714dec325ac0d8aee387460)","Progressive house"
28550,"ObjectId(5714dec325ac0d8aee38746d)","Progressive house"
28575,"ObjectId(5714dec325ac0d8aee387486)","Progressive house"
45383,"ObjectId(5714dec425ac0d8aee38b62e)","Progressive house"
45398,"ObjectId(5714dec425ac0d8aee38b63d)","Progressive house"
45448,"ObjectId(5714dec425ac0d8aee38b66f)","Progressive house"
45496,"ObjectId(5714dec425ac0d8aee38b69f)","Progressive house"
52288,"ObjectId(5714dec425ac0d8aee38d127)","Progressive house"
52302,"ObjectId(5714dec425ac0d8aee38d135)","Progressive house"
52303,"ObjectId(5714dec425ac0d8aee38d136)","Progressive house"
63729,"ObjectId(5714dec425ac0d8aee38fdd8)","Deep house"
67477,"ObjectId(5714dec425ac0d8aee390c7c)","Microhouse"
68245,"ObjectId(5714dec425ac0d8aee390f7c)","House music"
68261,"ObjectId(5714dec425ac0d8aee390f8c)","House music"
68262,"ObjectId(5714dec425ac0d8aee390f8d)","House music"
68267,"ObjectId(5714dec425ac0d8aee390f92)","House music"
103945,"ObjectId(5714dec525ac0d8aee399af0)","House music"
122552,"ObjectId(5714dec525ac0d8aee39e39f)","House music"
122573,"ObjectId(5714dec525ac0d8aee39e3b4)","House music"
123104,"ObjectId(5714dec525ac0d8aee39e5c7)","Progressive house"
128634,"ObjectId(5714dec525ac0d8aee39fb5e)","House music"
136029,"ObjectId(5714dec525ac0d8aee3a183e)","House music"
136039,"ObjectId(5714dec525ac0d8aee3a1848)","House music"
136118,"ObjectId(5714dec525ac0d8aee3a1897)","House music"
139182,"ObjectId(5714dec525ac0d8aee3a248f)","House music"
140227,"ObjectId(5714dec525ac0d8aee3a28a4)","Tech house"
141038,"ObjectId(5714dec525ac0d8aee3a2bcf)","House music"
146125,"ObjectId(5714dec625ac0d8aee3a3fae)","Progressive house"
146135,"ObjectId(5714dec625ac0d8aee3a3fb8)","House music"
146136,"ObjectId(5714dec625ac0d8aee3a3fb9)","House music"
146140,"ObjectId(5714dec625ac0d8aee3a3fbd)","Progressive house"
146148,"ObjectId(5714dec625ac0d8aee3a3fc5)","House music"
146149,"ObjectId(5714dec625ac0d8aee3a3fc6)","Progressive house"
146150,"ObjectId(5714dec625ac0d8aee3a3fc7)","House music"
146151,"ObjectId(5714dec625ac0d8aee3a3fc8)","Progressive house"
146152,"ObjectId(5714dec625ac0d8aee3a3fc9)","Progressive house"
146166,"ObjectId(5714dec625ac0d8aee3a3fd7)","House music"
146167,"ObjectId(5714dec625ac0d8aee3a3fd8)","Progressive house"
146169,"ObjectId(5714dec625ac0d8aee3a3fda)","House music"
146170,"ObjectId(5714dec625ac0d8aee3a3fdb)","Progressive house"
146171,"ObjectId(5714dec625ac0d8aee3a3fdc)","Progressive house"
146178,"ObjectId(5714dec625ac0d8aee3a3fe3)","Progressive house"
146180,"ObjectId(5714dec625ac0d8aee3a3fe5)","Progressive house"
146181,"ObjectId(5714dec625ac0d8aee3a3fe6)","Progressive house"
146186,"ObjectId(5714dec625ac0d8aee3a3feb)","Progressive house"
146187,"ObjectId(5714dec625ac0d8aee3a3fec)","Progressive house"
146188,"ObjectId(5714dec625ac0d8aee3a3fed)","House music"
146557,"ObjectId(5714dec625ac0d8aee3a415e)","Ambient house"
146557,"ObjectId(5714dec625ac0d8aee3a415e)","Progressive house"
148491,"ObjectId(5714dec625ac0d8aee3a48ec)","Progressive house"
