"X","X_id","genre"
1469,"ObjectId(5714dec325ac0d8aee380aa4)","Jazz"
6248,"ObjectId(5714dec325ac0d8aee381d4f)","Jazz-funk"
6288,"ObjectId(5714dec325ac0d8aee381d77)","Jazz-funk"
6296,"ObjectId(5714dec325ac0d8aee381d7f)","Jazz-funk"
7242,"ObjectId(5714dec325ac0d8aee382131)","Jazz"
9181,"ObjectId(5714dec325ac0d8aee3828c4)","Jazz"
21954,"ObjectId(5714dec325ac0d8aee385aa9)","Jazz"
21965,"ObjectId(5714dec325ac0d8aee385ab4)","Jazz"
21969,"ObjectId(5714dec325ac0d8aee385ab8)","Jazz fusion"
21979,"ObjectId(5714dec325ac0d8aee385ac2)","Jazz"
21994,"ObjectId(5714dec325ac0d8aee385ad1)","Jazz"
22014,"ObjectId(5714dec325ac0d8aee385ae5)","Jazz fusion"
39805,"ObjectId(5714dec425ac0d8aee38a064)","Jazz fusion"
39809,"ObjectId(5714dec425ac0d8aee38a068)","Jazz fusion"
40414,"ObjectId(5714dec425ac0d8aee38a2c5)","Jazz"
40421,"ObjectId(5714dec425ac0d8aee38a2cc)","Jazz"
40434,"ObjectId(5714dec425ac0d8aee38a2d9)","Jazz"
40446,"ObjectId(5714dec425ac0d8aee38a2e5)","Jazz"
40467,"ObjectId(5714dec425ac0d8aee38a2fa)","Jazz"
40518,"ObjectId(5714dec425ac0d8aee38a32d)","West Coast jazz"
40546,"ObjectId(5714dec425ac0d8aee38a349)","Jazz"
40598,"ObjectId(5714dec425ac0d8aee38a37d)","West Coast jazz"
40654,"ObjectId(5714dec425ac0d8aee38a3b5)","West Coast jazz"
40779,"ObjectId(5714dec425ac0d8aee38a432)","West Coast jazz"
40786,"ObjectId(5714dec425ac0d8aee38a439)","Jazz"
40793,"ObjectId(5714dec425ac0d8aee38a440)","Jazz"
42063,"ObjectId(5714dec425ac0d8aee38a936)","Acid jazz"
42084,"ObjectId(5714dec425ac0d8aee38a94b)","Acid jazz"
44315,"ObjectId(5714dec425ac0d8aee38b202)","Jazz"
46815,"ObjectId(5714dec425ac0d8aee38bbc6)","Acid jazz"
46836,"ObjectId(5714dec425ac0d8aee38bbdb)","Acid jazz"
46955,"ObjectId(5714dec425ac0d8aee38bc52)","Acid jazz"
46996,"ObjectId(5714dec425ac0d8aee38bc7b)","Acid jazz"
47008,"ObjectId(5714dec425ac0d8aee38bc87)","Acid jazz"
51730,"ObjectId(5714dec425ac0d8aee38cef9)","Jazz"
51746,"ObjectId(5714dec425ac0d8aee38cf09)","Jazz"
57883,"ObjectId(5714dec425ac0d8aee38e702)","Jazz"
57901,"ObjectId(5714dec425ac0d8aee38e714)","Jazz"
57952,"ObjectId(5714dec425ac0d8aee38e747)","Jazz"
59488,"ObjectId(5714dec425ac0d8aee38ed47)","Vocal jazz"
62286,"ObjectId(5714dec425ac0d8aee38f835)","Jazz"
91854,"ObjectId(5714dec525ac0d8aee396bb5)","Smooth jazz"
91889,"ObjectId(5714dec525ac0d8aee396bd8)","Smooth jazz"
91906,"ObjectId(5714dec525ac0d8aee396be9)","Jazz"
92100,"ObjectId(5714dec525ac0d8aee396cab)","Jazz"
92172,"ObjectId(5714dec525ac0d8aee396cf3)","Jazz"
92182,"ObjectId(5714dec525ac0d8aee396cfd)","Jazz"
92298,"ObjectId(5714dec525ac0d8aee396d71)","Jazz fusion"
92329,"ObjectId(5714dec525ac0d8aee396d90)","Jazz"
92469,"ObjectId(5714dec525ac0d8aee396e1c)","Jazz"
92481,"ObjectId(5714dec525ac0d8aee396e28)","Jazz"
92494,"ObjectId(5714dec525ac0d8aee396e35)","Jazz fusion"
92526,"ObjectId(5714dec525ac0d8aee396e55)","Jazz"
92527,"ObjectId(5714dec525ac0d8aee396e56)","Jazz"
92573,"ObjectId(5714dec525ac0d8aee396e84)","Jazz"
98810,"ObjectId(5714dec525ac0d8aee3986e1)","Jazz fusion"
98840,"ObjectId(5714dec525ac0d8aee3986ff)","Smooth jazz"
98895,"ObjectId(5714dec525ac0d8aee398736)","Jazz"
99328,"ObjectId(5714dec525ac0d8aee3988e7)","Jazz"
101353,"ObjectId(5714dec525ac0d8aee3990d0)","Smooth jazz"
103192,"ObjectId(5714dec525ac0d8aee3997ff)","Jazz"
103462,"ObjectId(5714dec525ac0d8aee39990d)","Jazz"
103539,"ObjectId(5714dec525ac0d8aee39995a)","Jazz"
103540,"ObjectId(5714dec525ac0d8aee39995b)","Jazz standard"
104242,"ObjectId(5714dec525ac0d8aee399c19)","Jazz"
104251,"ObjectId(5714dec525ac0d8aee399c22)","Jazz"
119727,"ObjectId(5714dec525ac0d8aee39d896)","Jazz"
119761,"ObjectId(5714dec525ac0d8aee39d8b8)","Jazz fusion"
119782,"ObjectId(5714dec525ac0d8aee39d8cd)","Jazz fusion"
119817,"ObjectId(5714dec525ac0d8aee39d8f0)","Jazz"
119833,"ObjectId(5714dec525ac0d8aee39d900)","Jazz"
119965,"ObjectId(5714dec525ac0d8aee39d984)","Latin jazz"
119981,"ObjectId(5714dec525ac0d8aee39d994)","Jazz"
126199,"ObjectId(5714dec525ac0d8aee39f1db)","Jazz"
126671,"ObjectId(5714dec525ac0d8aee39f3b3)","Jazz"
131054,"ObjectId(5714dec525ac0d8aee3a04d2)","Jazz fusion"
134810,"ObjectId(5714dec525ac0d8aee3a137e)","Jazz"
136740,"ObjectId(5714dec525ac0d8aee3a1b05)","Jazz"
137054,"ObjectId(5714dec525ac0d8aee3a1c3f)","Jazz fusion"
138156,"ObjectId(5714dec525ac0d8aee3a208d)","Jazz"
140341,"ObjectId(5714dec525ac0d8aee3a2916)","Vocal jazz"
145781,"ObjectId(5714dec625ac0d8aee3a3e56)","Jazz-funk"
145789,"ObjectId(5714dec625ac0d8aee3a3e5e)","Jazz-funk"
145817,"ObjectId(5714dec625ac0d8aee3a3e7a)","Jazz-funk"
145860,"ObjectId(5714dec625ac0d8aee3a3ea5)","Jazz-funk"
146175,"ObjectId(5714dec625ac0d8aee3a3fe0)","Jazz"
153283,"ObjectId(5714dec625ac0d8aee3a5ba4)","Jazz"
154617,"ObjectId(5714dec625ac0d8aee3a60da)","Jazz"
154661,"ObjectId(5714dec625ac0d8aee3a6106)","Jazz"
156261,"ObjectId(5714dec625ac0d8aee3a6746)","Jazz"
162532,"ObjectId(5714dec625ac0d8aee3a7fc5)","Smooth jazz"
164797,"ObjectId(5714dec625ac0d8aee3a889e)","Jazz"
166681,"ObjectId(5714dec625ac0d8aee3a8ffa)","Jazz"
166703,"ObjectId(5714dec625ac0d8aee3a9010)","Jazz"
166758,"ObjectId(5714dec625ac0d8aee3a9047)","Jazz"
166760,"ObjectId(5714dec625ac0d8aee3a9049)","Jazz"
166791,"ObjectId(5714dec625ac0d8aee3a9068)","Vocal jazz"
166819,"ObjectId(5714dec625ac0d8aee3a9084)","Vocal jazz"
166841,"ObjectId(5714dec625ac0d8aee3a909a)","Jazz"
166850,"ObjectId(5714dec625ac0d8aee3a90a3)","Jazz"
168024,"ObjectId(5714dec625ac0d8aee3a9539)","Jazz"
168036,"ObjectId(5714dec625ac0d8aee3a9545)","Jazz"
168133,"ObjectId(5714dec625ac0d8aee3a95a6)","Jazz"
168144,"ObjectId(5714dec625ac0d8aee3a95b1)","Jazz"
168235,"ObjectId(5714dec625ac0d8aee3a960c)","Jazz"
168342,"ObjectId(5714dec625ac0d8aee3a9677)","Smooth jazz"
168405,"ObjectId(5714dec625ac0d8aee3a96b6)","Smooth jazz"
168436,"ObjectId(5714dec625ac0d8aee3a96d5)","Smooth jazz"
168533,"ObjectId(5714dec625ac0d8aee3a9736)","Smooth jazz"
168557,"ObjectId(5714dec625ac0d8aee3a974e)","Jazz"
168578,"ObjectId(5714dec625ac0d8aee3a9763)","Jazz"
171016,"ObjectId(5714dec625ac0d8aee3aa0e9)","Smooth jazz"
173174,"ObjectId(5714dec625ac0d8aee3aa957)","Jazz"
173231,"ObjectId(5714dec625ac0d8aee3aa990)","Jazz"
173232,"ObjectId(5714dec625ac0d8aee3aa991)","Jazz"
173250,"ObjectId(5714dec625ac0d8aee3aa9a3)","Jazz"
173252,"ObjectId(5714dec625ac0d8aee3aa9a5)","Jazz"
173254,"ObjectId(5714dec625ac0d8aee3aa9a7)","Jazz"
173426,"ObjectId(5714dec625ac0d8aee3aaa53)","Jazz"
173453,"ObjectId(5714dec625ac0d8aee3aaa6e)","Jazz"
173454,"ObjectId(5714dec625ac0d8aee3aaa6f)","Jazz"
173477,"ObjectId(5714dec625ac0d8aee3aaa86)","Smooth jazz"
173484,"ObjectId(5714dec625ac0d8aee3aaa8d)","Jazz"
173487,"ObjectId(5714dec625ac0d8aee3aaa90)","Jazz"
178325,"ObjectId(5714dec625ac0d8aee3abd76)","Jazz-funk"
178370,"ObjectId(5714dec625ac0d8aee3abda3)","Jazz-funk"
178452,"ObjectId(5714dec625ac0d8aee3abdf5)","Jazz-funk"
178453,"ObjectId(5714dec625ac0d8aee3abdf6)","Jazz-funk"
181862,"ObjectId(5714dec625ac0d8aee3acb47)","Jazz fusion"
182017,"ObjectId(5714dec625ac0d8aee3acbe2)","Jazz fusion"
182102,"ObjectId(5714dec625ac0d8aee3acc37)","Smooth jazz"
182227,"ObjectId(5714dec625ac0d8aee3accb4)","Smooth jazz"
182341,"ObjectId(5714dec625ac0d8aee3acd26)","Smooth jazz"
187191,"ObjectId(5714dec625ac0d8aee3ae018)","Smooth jazz"
188081,"ObjectId(5714dec625ac0d8aee3ae392)","Jazz"
190431,"ObjectId(5714dec625ac0d8aee3aecc0)","Jazz"
191569,"ObjectId(5714dec725ac0d8aee3af132)","Jazz"
192770,"ObjectId(5714dec725ac0d8aee3af5e3)","Jazz"
192994,"ObjectId(5714dec725ac0d8aee3af6c3)","Jazz"
194471,"ObjectId(5714dec725ac0d8aee3afc88)","Jazz"
194520,"ObjectId(5714dec725ac0d8aee3afcb9)","Jazz"
196087,"ObjectId(5714dec725ac0d8aee3b02d8)","Jazz"
196095,"ObjectId(5714dec725ac0d8aee3b02e0)","Jazz"
196099,"ObjectId(5714dec725ac0d8aee3b02e4)","Jazz"
196104,"ObjectId(5714dec725ac0d8aee3b02e9)","Jazz"
196127,"ObjectId(5714dec725ac0d8aee3b0300)","Jazz"
196133,"ObjectId(5714dec725ac0d8aee3b0306)","Jazz"
196802,"ObjectId(5714dec725ac0d8aee3b05a3)","Jazz"
197144,"ObjectId(5714dec725ac0d8aee3b06f9)","Jazz"
201136,"ObjectId(5714dec725ac0d8aee3b1691)","Jazz fusion"
205104,"ObjectId(5714dec725ac0d8aee3b2611)","Jazz"
205106,"ObjectId(5714dec725ac0d8aee3b2613)","Jazz"
205112,"ObjectId(5714dec725ac0d8aee3b2619)","Jazz"
205120,"ObjectId(5714dec725ac0d8aee3b2621)","Jazz"
206673,"ObjectId(5714dec725ac0d8aee3b2c32)","Jazz"
207617,"ObjectId(5714dec725ac0d8aee3b2fe2)","Jazz fusion"
207627,"ObjectId(5714dec725ac0d8aee3b2fec)","Jazz fusion"
209410,"ObjectId(5714dec725ac0d8aee3b36e3)","Jazz"
209413,"ObjectId(5714dec725ac0d8aee3b36e6)","Jazz"
209423,"ObjectId(5714dec725ac0d8aee3b36f0)","Jazz"
209432,"ObjectId(5714dec725ac0d8aee3b36f9)","Jazz"
209433,"ObjectId(5714dec725ac0d8aee3b36fa)","Jazz"
209435,"ObjectId(5714dec725ac0d8aee3b36fc)","Jazz"
209436,"ObjectId(5714dec725ac0d8aee3b36fd)","Jazz"
209437,"ObjectId(5714dec725ac0d8aee3b36fe)","Jazz"
209451,"ObjectId(5714dec725ac0d8aee3b370c)","Jazz"
209452,"ObjectId(5714dec725ac0d8aee3b370d)","Jazz"
209457,"ObjectId(5714dec725ac0d8aee3b3712)","Jazz"
209461,"ObjectId(5714dec725ac0d8aee3b3716)","Jazz"
209463,"ObjectId(5714dec725ac0d8aee3b3718)","Jazz"
209464,"ObjectId(5714dec725ac0d8aee3b3719)","Jazz"
209469,"ObjectId(5714dec725ac0d8aee3b371e)","Jazz"
209471,"ObjectId(5714dec725ac0d8aee3b3720)","Jazz"
209472,"ObjectId(5714dec725ac0d8aee3b3721)","Jazz"
209475,"ObjectId(5714dec725ac0d8aee3b3724)","Jazz"
209477,"ObjectId(5714dec725ac0d8aee3b3726)","Jazz"
209483,"ObjectId(5714dec725ac0d8aee3b372c)","Jazz"
209497,"ObjectId(5714dec725ac0d8aee3b373a)","Jazz"
209502,"ObjectId(5714dec725ac0d8aee3b373f)","Jazz"
