"X","X_id","genre"
2818,"ObjectId(5714dec325ac0d8aee380fe9)","Alternative metal"
2833,"ObjectId(5714dec325ac0d8aee380ff8)","Alternative metal"
2852,"ObjectId(5714dec325ac0d8aee38100b)","Alternative metal"
2857,"ObjectId(5714dec325ac0d8aee381010)","Alternative metal"
8443,"ObjectId(5714dec325ac0d8aee3825e2)","Metalcore"
8464,"ObjectId(5714dec325ac0d8aee3825f7)","Metalcore"
8782,"ObjectId(5714dec325ac0d8aee382735)","Power metal"
8827,"ObjectId(5714dec325ac0d8aee382762)","Power metal"
8915,"ObjectId(5714dec325ac0d8aee3827ba)","Power metal"
8985,"ObjectId(5714dec325ac0d8aee382800)","Power metal"
9020,"ObjectId(5714dec325ac0d8aee382823)","Power metal"
14503,"ObjectId(5714dec325ac0d8aee383d8e)","Heavy metal music"
14509,"ObjectId(5714dec325ac0d8aee383d94)","Heavy metal music"
14627,"ObjectId(5714dec325ac0d8aee383e0a)","Heavy metal music"
14650,"ObjectId(5714dec325ac0d8aee383e21)","Heavy metal music"
14662,"ObjectId(5714dec325ac0d8aee383e2d)","Heavy metal music"
14702,"ObjectId(5714dec325ac0d8aee383e55)","Heavy metal music"
15836,"ObjectId(5714dec325ac0d8aee3842c3)","Power metal"
15836,"ObjectId(5714dec325ac0d8aee3842c3)","Speed metal"
15836,"ObjectId(5714dec325ac0d8aee3842c3)","Heavy metal music"
15846,"ObjectId(5714dec325ac0d8aee3842cd)","Heavy metal music"
15866,"ObjectId(5714dec325ac0d8aee3842e1)","Power metal"
15866,"ObjectId(5714dec325ac0d8aee3842e1)","Speed metal"
15866,"ObjectId(5714dec325ac0d8aee3842e1)","Heavy metal music"
21008,"ObjectId(5714dec325ac0d8aee3856f7)","Heavy metal music"
21027,"ObjectId(5714dec325ac0d8aee38570a)","Power metal"
21027,"ObjectId(5714dec325ac0d8aee38570a)","Speed metal"
23899,"ObjectId(5714dec325ac0d8aee386242)","Heavy metal music"
23914,"ObjectId(5714dec325ac0d8aee386251)","Heavy metal music"
23915,"ObjectId(5714dec325ac0d8aee386252)","Heavy metal music"
23918,"ObjectId(5714dec325ac0d8aee386255)","Heavy metal music"
26365,"ObjectId(5714dec325ac0d8aee386be4)","Heavy metal music"
26671,"ObjectId(5714dec325ac0d8aee386d16)","Heavy metal music"
26677,"ObjectId(5714dec325ac0d8aee386d1c)","Heavy metal music"
26681,"ObjectId(5714dec325ac0d8aee386d20)","Heavy metal music"
26690,"ObjectId(5714dec325ac0d8aee386d29)","Heavy metal music"
26692,"ObjectId(5714dec325ac0d8aee386d2b)","Heavy metal music"
26695,"ObjectId(5714dec325ac0d8aee386d2e)","Heavy metal music"
26704,"ObjectId(5714dec325ac0d8aee386d37)","Heavy metal music"
26708,"ObjectId(5714dec325ac0d8aee386d3b)","Heavy metal music"
26711,"ObjectId(5714dec325ac0d8aee386d3e)","Heavy metal music"
26720,"ObjectId(5714dec325ac0d8aee386d47)","Heavy metal music"
26739,"ObjectId(5714dec325ac0d8aee386d5a)","Heavy metal music"
26741,"ObjectId(5714dec325ac0d8aee386d5c)","Heavy metal music"
26745,"ObjectId(5714dec325ac0d8aee386d60)","Heavy metal music"
26754,"ObjectId(5714dec325ac0d8aee386d69)","Heavy metal music"
26764,"ObjectId(5714dec325ac0d8aee386d73)","Heavy metal music"
26771,"ObjectId(5714dec325ac0d8aee386d7a)","Heavy metal music"
26773,"ObjectId(5714dec325ac0d8aee386d7c)","Heavy metal music"
26777,"ObjectId(5714dec325ac0d8aee386d80)","Heavy metal music"
26778,"ObjectId(5714dec325ac0d8aee386d81)","Heavy metal music"
26787,"ObjectId(5714dec325ac0d8aee386d8a)","Glam metal"
26791,"ObjectId(5714dec325ac0d8aee386d8e)","Heavy metal music"
26797,"ObjectId(5714dec325ac0d8aee386d94)","Heavy metal music"
26804,"ObjectId(5714dec325ac0d8aee386d9b)","Heavy metal music"
26815,"ObjectId(5714dec325ac0d8aee386da6)","Heavy metal music"
26828,"ObjectId(5714dec325ac0d8aee386db3)","Heavy metal music"
