"X","X_id","genre"
1477,"ObjectId(5714dec325ac0d8aee380aac)","New wave music"
1482,"ObjectId(5714dec325ac0d8aee380ab1)","New wave music"
1487,"ObjectId(5714dec325ac0d8aee380ab6)","New wave music"
1496,"ObjectId(5714dec325ac0d8aee380abf)","Dark wave"
1496,"ObjectId(5714dec325ac0d8aee380abf)","New wave music"
1499,"ObjectId(5714dec325ac0d8aee380ac2)","New wave music"
1502,"ObjectId(5714dec325ac0d8aee380ac5)","New wave music"
4489,"ObjectId(5714dec325ac0d8aee381670)","New wave music"
4644,"ObjectId(5714dec325ac0d8aee38170b)","New wave music"
4646,"ObjectId(5714dec325ac0d8aee38170d)","New wave music"
4649,"ObjectId(5714dec325ac0d8aee381710)","New wave music"
4654,"ObjectId(5714dec325ac0d8aee381715)","New wave music"
4655,"ObjectId(5714dec325ac0d8aee381716)","New wave music"
4657,"ObjectId(5714dec325ac0d8aee381718)","New wave music"
4658,"ObjectId(5714dec325ac0d8aee381719)","New wave music"
4660,"ObjectId(5714dec325ac0d8aee38171b)","New wave music"
4663,"ObjectId(5714dec325ac0d8aee38171e)","New wave music"
4685,"ObjectId(5714dec325ac0d8aee381734)","New wave music"
4693,"ObjectId(5714dec325ac0d8aee38173c)","New wave music"
4698,"ObjectId(5714dec325ac0d8aee381741)","New wave music"
4717,"ObjectId(5714dec325ac0d8aee381754)","New wave music"
4722,"ObjectId(5714dec325ac0d8aee381759)","New wave music"
9420,"ObjectId(5714dec325ac0d8aee3829b3)","New wave music"
9421,"ObjectId(5714dec325ac0d8aee3829b4)","New wave music"
9430,"ObjectId(5714dec325ac0d8aee3829bd)","New wave music"
9498,"ObjectId(5714dec325ac0d8aee382a01)","New wave music"
17849,"ObjectId(5714dec325ac0d8aee384aa0)","New wave music"
19208,"ObjectId(5714dec325ac0d8aee384fef)","New wave music"
19350,"ObjectId(5714dec325ac0d8aee38507d)","New wave music"
20267,"ObjectId(5714dec325ac0d8aee385412)","New wave music"
20328,"ObjectId(5714dec325ac0d8aee38544f)","New wave music"
20371,"ObjectId(5714dec325ac0d8aee38547a)","New wave music"
20382,"ObjectId(5714dec325ac0d8aee385485)","New wave music"
21003,"ObjectId(5714dec325ac0d8aee3856f2)","New wave music"
21030,"ObjectId(5714dec325ac0d8aee38570d)","New wave music"
23906,"ObjectId(5714dec325ac0d8aee386249)","New wave music"
29437,"ObjectId(5714dec325ac0d8aee3877e4)","New wave music"
29439,"ObjectId(5714dec325ac0d8aee3877e6)","New wave music"
35083,"ObjectId(5714dec325ac0d8aee388df2)","New wave music"
53500,"ObjectId(5714dec425ac0d8aee38d5e3)","New wave music"
57042,"ObjectId(5714dec425ac0d8aee38e3b9)","New wave music"
57063,"ObjectId(5714dec425ac0d8aee38e3ce)","New wave music"
57207,"ObjectId(5714dec425ac0d8aee38e45e)","New wave music"
57212,"ObjectId(5714dec425ac0d8aee38e463)","New wave music"
58385,"ObjectId(5714dec425ac0d8aee38e8f8)","New wave music"
59445,"ObjectId(5714dec425ac0d8aee38ed1c)","New wave music"
59489,"ObjectId(5714dec425ac0d8aee38ed48)","New wave music"
59492,"ObjectId(5714dec425ac0d8aee38ed4b)","New wave music"
60698,"ObjectId(5714dec425ac0d8aee38f201)","New wave music"
61534,"ObjectId(5714dec425ac0d8aee38f545)","New wave music"
63268,"ObjectId(5714dec425ac0d8aee38fc0b)","New wave music"
65862,"ObjectId(5714dec425ac0d8aee39062d)","New wave music"
65868,"ObjectId(5714dec425ac0d8aee390633)","New wave music"
65888,"ObjectId(5714dec425ac0d8aee390647)","New wave music"
65948,"ObjectId(5714dec425ac0d8aee390683)","New wave music"
65950,"ObjectId(5714dec425ac0d8aee390685)","New wave music"
65985,"ObjectId(5714dec425ac0d8aee3906a8)","New wave music"
67087,"ObjectId(5714dec425ac0d8aee390af6)","New wave music"
68245,"ObjectId(5714dec425ac0d8aee390f7c)","New wave music"
68261,"ObjectId(5714dec425ac0d8aee390f8c)","New wave music"
68262,"ObjectId(5714dec425ac0d8aee390f8d)","New wave music"
68267,"ObjectId(5714dec425ac0d8aee390f92)","New wave music"
88433,"ObjectId(5714dec425ac0d8aee395e58)","New wave music"
88519,"ObjectId(5714dec425ac0d8aee395eae)","New wave music"
90918,"ObjectId(5714dec525ac0d8aee39680d)","New wave music"
90924,"ObjectId(5714dec525ac0d8aee396813)","New wave music"
91754,"ObjectId(5714dec525ac0d8aee396b51)","New wave music"
99189,"ObjectId(5714dec525ac0d8aee39885c)","New wave music"
99199,"ObjectId(5714dec525ac0d8aee398866)","New wave music"
99208,"ObjectId(5714dec525ac0d8aee39886f)","New wave music"
99217,"ObjectId(5714dec525ac0d8aee398878)","New wave music"
99218,"ObjectId(5714dec525ac0d8aee398879)","New wave music"
99221,"ObjectId(5714dec525ac0d8aee39887c)","New wave music"
99224,"ObjectId(5714dec525ac0d8aee39887f)","New wave music"
99226,"ObjectId(5714dec525ac0d8aee398881)","New wave music"
99229,"ObjectId(5714dec525ac0d8aee398884)","New wave music"
100097,"ObjectId(5714dec525ac0d8aee398be8)","New wave music"
100147,"ObjectId(5714dec525ac0d8aee398c1a)","New wave music"
100176,"ObjectId(5714dec525ac0d8aee398c37)","New wave music"
101421,"ObjectId(5714dec525ac0d8aee399114)","New wave music"
104173,"ObjectId(5714dec525ac0d8aee399bd4)","New wave music"
104184,"ObjectId(5714dec525ac0d8aee399bdf)","New wave music"
104210,"ObjectId(5714dec525ac0d8aee399bf9)","New wave music"
111497,"ObjectId(5714dec525ac0d8aee39b870)","New wave music"
117153,"ObjectId(5714dec525ac0d8aee39ce88)","New wave music"
117231,"ObjectId(5714dec525ac0d8aee39ced6)","New wave music"
117237,"ObjectId(5714dec525ac0d8aee39cedc)","New wave music"
119769,"ObjectId(5714dec525ac0d8aee39d8c0)","New wave music"
119780,"ObjectId(5714dec525ac0d8aee39d8cb)","New wave music"
120121,"ObjectId(5714dec525ac0d8aee39da20)","New wave music"
120189,"ObjectId(5714dec525ac0d8aee39da64)","New wave music"
125258,"ObjectId(5714dec525ac0d8aee39ee2e)","New wave music"
