"X","X_id","genre"
1097,"ObjectId(5714dec325ac0d8aee380930)","Pop punk"
1101,"ObjectId(5714dec325ac0d8aee380934)","Pop punk"
1110,"ObjectId(5714dec325ac0d8aee38093d)","Pop punk"
1440,"ObjectId(5714dec325ac0d8aee380a87)","Pop music"
1451,"ObjectId(5714dec325ac0d8aee380a92)","Pop music"
1478,"ObjectId(5714dec325ac0d8aee380aad)","Synthpop"
1487,"ObjectId(5714dec325ac0d8aee380ab6)","Synthpop"
1627,"ObjectId(5714dec325ac0d8aee380b42)","Indie pop"
1635,"ObjectId(5714dec325ac0d8aee380b4a)","Indie pop"
3697,"ObjectId(5714dec325ac0d8aee381358)","Electropop"
3697,"ObjectId(5714dec325ac0d8aee381358)","Dance-pop"
3809,"ObjectId(5714dec325ac0d8aee3813c8)","J-pop"
3809,"ObjectId(5714dec325ac0d8aee3813c8)","Pop music"
4445,"ObjectId(5714dec325ac0d8aee381644)","Europop"
4451,"ObjectId(5714dec325ac0d8aee38164a)","Europop"
4451,"ObjectId(5714dec325ac0d8aee38164a)","Pop music"
4467,"ObjectId(5714dec325ac0d8aee38165a)","Dance-pop"
4467,"ObjectId(5714dec325ac0d8aee38165a)","Pop music"
4480,"ObjectId(5714dec325ac0d8aee381667)","Pop music"
4482,"ObjectId(5714dec325ac0d8aee381669)","Europop"
4482,"ObjectId(5714dec325ac0d8aee381669)","Pop music"
4490,"ObjectId(5714dec325ac0d8aee381671)","Dance-pop"
4490,"ObjectId(5714dec325ac0d8aee381671)","Pop music"
4491,"ObjectId(5714dec325ac0d8aee381672)","Pop music"
4491,"ObjectId(5714dec325ac0d8aee381672)","Europop"
4493,"ObjectId(5714dec325ac0d8aee381674)","Europop"
4493,"ObjectId(5714dec325ac0d8aee381674)","Pop music"
4496,"ObjectId(5714dec325ac0d8aee381677)","Europop"
4497,"ObjectId(5714dec325ac0d8aee381678)","Europop"
4497,"ObjectId(5714dec325ac0d8aee381678)","Pop music"
4502,"ObjectId(5714dec325ac0d8aee38167d)","Pop music"
4502,"ObjectId(5714dec325ac0d8aee38167d)","Europop"
4503,"ObjectId(5714dec325ac0d8aee38167e)","Dance-pop"
4503,"ObjectId(5714dec325ac0d8aee38167e)","Pop music"
4644,"ObjectId(5714dec325ac0d8aee38170b)","Dance-pop"
4644,"ObjectId(5714dec325ac0d8aee38170b)","Synthpop"
4646,"ObjectId(5714dec325ac0d8aee38170d)","Synthpop"
4649,"ObjectId(5714dec325ac0d8aee381710)","Synthpop"
4654,"ObjectId(5714dec325ac0d8aee381715)","Dance-pop"
4654,"ObjectId(5714dec325ac0d8aee381715)","Synthpop"
4655,"ObjectId(5714dec325ac0d8aee381716)","Synthpop"
4657,"ObjectId(5714dec325ac0d8aee381718)","Synthpop"
4658,"ObjectId(5714dec325ac0d8aee381719)","Dance-pop"
4658,"ObjectId(5714dec325ac0d8aee381719)","Synthpop"
4660,"ObjectId(5714dec325ac0d8aee38171b)","Synthpop"
4663,"ObjectId(5714dec325ac0d8aee38171e)","Synthpop"
4685,"ObjectId(5714dec325ac0d8aee381734)","Synthpop"
4693,"ObjectId(5714dec325ac0d8aee38173c)","Synthpop"
4698,"ObjectId(5714dec325ac0d8aee381741)","Synthpop"
4717,"ObjectId(5714dec325ac0d8aee381754)","Synthpop"
4722,"ObjectId(5714dec325ac0d8aee381759)","Synthpop"
5102,"ObjectId(5714dec325ac0d8aee3818d5)","Pop music"
6246,"ObjectId(5714dec325ac0d8aee381d4d)","Dance-pop"
6257,"ObjectId(5714dec325ac0d8aee381d58)","Pop music"
6263,"ObjectId(5714dec325ac0d8aee381d5e)","Pop music"
6269,"ObjectId(5714dec325ac0d8aee381d64)","Pop music"
6279,"ObjectId(5714dec325ac0d8aee381d6e)","Pop music"
6281,"ObjectId(5714dec325ac0d8aee381d70)","Dance-pop"
6283,"ObjectId(5714dec325ac0d8aee381d72)","Pop music"
6289,"ObjectId(5714dec325ac0d8aee381d78)","Dance-pop"
6293,"ObjectId(5714dec325ac0d8aee381d7c)","Dance-pop"
6295,"ObjectId(5714dec325ac0d8aee381d7e)","Pop music"
6300,"ObjectId(5714dec325ac0d8aee381d83)","Pop music"
6302,"ObjectId(5714dec325ac0d8aee381d85)","Dance-pop"
6306,"ObjectId(5714dec325ac0d8aee381d89)","Pop music"
6315,"ObjectId(5714dec325ac0d8aee381d92)","Pop music"
6673,"ObjectId(5714dec325ac0d8aee381ef8)","Pop-rap"
6677,"ObjectId(5714dec325ac0d8aee381efc)","Pop-rap"
6704,"ObjectId(5714dec325ac0d8aee381f17)","Pop-rap"
6706,"ObjectId(5714dec325ac0d8aee381f19)","Pop-rap"
6710,"ObjectId(5714dec325ac0d8aee381f1d)","Pop-rap"
6710,"ObjectId(5714dec325ac0d8aee381f1d)","Dance-pop"
6710,"ObjectId(5714dec325ac0d8aee381f1d)","Teen pop"
7167,"ObjectId(5714dec325ac0d8aee3820e6)","Pop music"
7192,"ObjectId(5714dec325ac0d8aee3820ff)","Pop music"
7204,"ObjectId(5714dec325ac0d8aee38210b)","Pop music"
7235,"ObjectId(5714dec325ac0d8aee38212a)","Traditional pop music"
7240,"ObjectId(5714dec325ac0d8aee38212f)","Pop music"
7242,"ObjectId(5714dec325ac0d8aee382131)","Pop music"
7244,"ObjectId(5714dec325ac0d8aee382133)","Pop music"
7274,"ObjectId(5714dec325ac0d8aee382151)","Pop music"
7292,"ObjectId(5714dec325ac0d8aee382163)","Country pop"
7327,"ObjectId(5714dec325ac0d8aee382186)","Pop music"
7356,"ObjectId(5714dec325ac0d8aee3821a3)","Pop music"
7378,"ObjectId(5714dec325ac0d8aee3821b9)","Pop music"
7405,"ObjectId(5714dec325ac0d8aee3821d4)","Traditional pop music"
7439,"ObjectId(5714dec325ac0d8aee3821f6)","Pop music"
8671,"ObjectId(5714dec325ac0d8aee3826c6)","Europop"
8671,"ObjectId(5714dec325ac0d8aee3826c6)","Pop music"
8672,"ObjectId(5714dec325ac0d8aee3826c7)","Pop music"
8674,"ObjectId(5714dec325ac0d8aee3826c9)","Pop music"
8674,"ObjectId(5714dec325ac0d8aee3826c9)","Europop"
8676,"ObjectId(5714dec325ac0d8aee3826cb)","Europop"
8679,"ObjectId(5714dec325ac0d8aee3826ce)","Pop music"
8682,"ObjectId(5714dec325ac0d8aee3826d1)","Europop"
8683,"ObjectId(5714dec325ac0d8aee3826d2)","Pop music"
8683,"ObjectId(5714dec325ac0d8aee3826d2)","Europop"
8685,"ObjectId(5714dec325ac0d8aee3826d4)","Europop"
8685,"ObjectId(5714dec325ac0d8aee3826d4)","Pop music"
8689,"ObjectId(5714dec325ac0d8aee3826d8)","Europop"
8689,"ObjectId(5714dec325ac0d8aee3826d8)","Pop music"
8692,"ObjectId(5714dec325ac0d8aee3826db)","Pop music"
8692,"ObjectId(5714dec325ac0d8aee3826db)","Europop"
8699,"ObjectId(5714dec325ac0d8aee3826e2)","Pop music"
8699,"ObjectId(5714dec325ac0d8aee3826e2)","Europop"
8702,"ObjectId(5714dec325ac0d8aee3826e5)","Europop"
8702,"ObjectId(5714dec325ac0d8aee3826e5)","Pop music"
8705,"ObjectId(5714dec325ac0d8aee3826e8)","Pop music"
8705,"ObjectId(5714dec325ac0d8aee3826e8)","Europop"
