"X","X_id","genre"
4891,"ObjectId(5714dec325ac0d8aee381802)","Neo-psychedelia"
46815,"ObjectId(5714dec425ac0d8aee38bbc6)","Psychedelic music"
46836,"ObjectId(5714dec425ac0d8aee38bbdb)","Psychedelic music"
46955,"ObjectId(5714dec425ac0d8aee38bc52)","Psychedelic music"
46996,"ObjectId(5714dec425ac0d8aee38bc7b)","Psychedelic music"
47008,"ObjectId(5714dec425ac0d8aee38bc87)","Psychedelic music"
118523,"ObjectId(5714dec525ac0d8aee39d3e2)","Neo-psychedelia"
138159,"ObjectId(5714dec525ac0d8aee3a2090)","Psychedelic music"
180456,"ObjectId(5714dec625ac0d8aee3ac5c9)","Neo-psychedelia"
180463,"ObjectId(5714dec625ac0d8aee3ac5d0)","Neo-psychedelia"
180468,"ObjectId(5714dec625ac0d8aee3ac5d5)","Neo-psychedelia"
180472,"ObjectId(5714dec625ac0d8aee3ac5d9)","Neo-psychedelia"
180508,"ObjectId(5714dec625ac0d8aee3ac5fd)","Neo-psychedelia"
180524,"ObjectId(5714dec625ac0d8aee3ac60d)","Neo-psychedelia"
185387,"ObjectId(5714dec625ac0d8aee3ad90c)","Neo-psychedelia"
185449,"ObjectId(5714dec625ac0d8aee3ad94a)","Neo-psychedelia"
185497,"ObjectId(5714dec625ac0d8aee3ad97a)","Neo-psychedelia"
186922,"ObjectId(5714dec625ac0d8aee3adf0b)","Neo-psychedelia"
187918,"ObjectId(5714dec625ac0d8aee3ae2ef)","Neo-psychedelia"
201173,"ObjectId(5714dec725ac0d8aee3b16b6)","Psychedelic music"
218063,"ObjectId(5714dec725ac0d8aee3b58b0)","Psychedelic music"
237051,"ObjectId(5714dec725ac0d8aee3ba2dc)","Neo-psychedelia"
237229,"ObjectId(5714dec725ac0d8aee3ba38e)","Neo-psychedelia"
263545,"ObjectId(5714dec825ac0d8aee3c0a5a)","Psychedelic music"
263647,"ObjectId(5714dec825ac0d8aee3c0ac0)","Psychedelic music"
339109,"ObjectId(5714dec925ac0d8aee3d317d)","Psychedelic music"
349602,"ObjectId(5714deca25ac0d8aee3d5a7a)","Psychedelic music"
378936,"ObjectId(5714deca25ac0d8aee3dcd10)","Neo-psychedelia"
425113,"ObjectId(5714decb25ac0d8aee3e8171)","Neo-psychedelia"
447975,"ObjectId(5714decc25ac0d8aee3edabf)","Psychedelic music"
448012,"ObjectId(5714decc25ac0d8aee3edae4)","Psychedelic music"
448221,"ObjectId(5714decc25ac0d8aee3edbb5)","Psychedelic music"
457501,"ObjectId(5714decc25ac0d8aee3efff5)","Neo-psychedelia"
457603,"ObjectId(5714decc25ac0d8aee3f005b)","Neo-psychedelia"
460409,"ObjectId(5714decc25ac0d8aee3f0b51)","Psychobilly"
512695,"ObjectId(5714decd25ac0d8aee3fd783)","Neo-psychedelia"
514872,"ObjectId(5714decd25ac0d8aee3fe004)","Neo-psychedelia"
576710,"ObjectId(5714dece25ac0d8aee40d180)","Neo-psychedelia"
579264,"ObjectId(5714dece25ac0d8aee40db7a)","Neo-psychedelia"
579369,"ObjectId(5714dece25ac0d8aee40dbe3)","Neo-psychedelia"
601110,"ObjectId(5714decf25ac0d8aee4130c7)","Psychedelic music"
601156,"ObjectId(5714decf25ac0d8aee4130f5)","Psychedelic music"
601184,"ObjectId(5714decf25ac0d8aee413111)","Psychedelic music"
647378,"ObjectId(5714ded025ac0d8aee41e57d)","Psychedelic music"
647380,"ObjectId(5714ded025ac0d8aee41e57f)","Psychedelic music"
662336,"ObjectId(5714ded025ac0d8aee421fe8)","Neo-psychedelia"
662337,"ObjectId(5714ded025ac0d8aee421fe9)","Neo-psychedelia"
662352,"ObjectId(5714ded025ac0d8aee421ff8)","Neo-psychedelia"
698207,"ObjectId(5714ded125ac0d8aee42ac07)","Psychedelic music"
707531,"ObjectId(5714ded125ac0d8aee42d073)","Psychedelic music"
707615,"ObjectId(5714ded125ac0d8aee42d0c7)","Psychedelic music"
709151,"ObjectId(5714ded125ac0d8aee42d6c7)","Psychedelic music"
746343,"ObjectId(5714ded225ac0d8aee43680f)","Neo-psychedelia"
786156,"ObjectId(5714ded225ac0d8aee44038c)","Psychedelic music"
1043778,"ObjectId(5714ded825ac0d8aee47f1c5)","Neo-psychedelia"
1043780,"ObjectId(5714ded825ac0d8aee47f1c7)","Neo-psychedelia"
1043781,"ObjectId(5714ded825ac0d8aee47f1c8)","Neo-psychedelia"
1043783,"ObjectId(5714ded825ac0d8aee47f1ca)","Neo-psychedelia"
1043784,"ObjectId(5714ded825ac0d8aee47f1cb)","Neo-psychedelia"
1043785,"ObjectId(5714ded825ac0d8aee47f1cc)","Neo-psychedelia"
1043786,"ObjectId(5714ded825ac0d8aee47f1cd)","Neo-psychedelia"
1072055,"ObjectId(5714ded825ac0d8aee48603a)","Psychedelic music"
1077179,"ObjectId(5714ded825ac0d8aee48743e)","Neo-psychedelia"
1077191,"ObjectId(5714ded825ac0d8aee48744a)","Neo-psychedelia"
1077196,"ObjectId(5714ded825ac0d8aee48744f)","Neo-psychedelia"
1077197,"ObjectId(5714ded825ac0d8aee487450)","Neo-psychedelia"
1077206,"ObjectId(5714ded825ac0d8aee487459)","Neo-psychedelia"
1077265,"ObjectId(5714ded825ac0d8aee487494)","Neo-psychedelia"
1106369,"ObjectId(5714ded925ac0d8aee48e644)","Neo-psychedelia"
1106436,"ObjectId(5714ded925ac0d8aee48e687)","Neo-psychedelia"
1106453,"ObjectId(5714ded925ac0d8aee48e698)","Neo-psychedelia"
1194638,"ObjectId(5714dedb25ac0d8aee4a3eff)","Psychedelic music"
1194653,"ObjectId(5714dedb25ac0d8aee4a3f0e)","Psychedelic music"
1223722,"ObjectId(5714dedb25ac0d8aee4ab098)","Psychedelic music"
1223796,"ObjectId(5714dedb25ac0d8aee4ab0e2)","Psychedelic music"
1223942,"ObjectId(5714dedb25ac0d8aee4ab174)","Psychedelic music"
1235862,"ObjectId(5714dedb25ac0d8aee4ae004)","Neo-psychedelia"
1235872,"ObjectId(5714dedb25ac0d8aee4ae00e)","Neo-psychedelia"
1235874,"ObjectId(5714dedb25ac0d8aee4ae010)","Neo-psychedelia"
1235879,"ObjectId(5714dedb25ac0d8aee4ae015)","Neo-psychedelia"
