"X","X_id","genre"
4644,"ObjectId(5714dec325ac0d8aee38170b)","Ska punk"
4654,"ObjectId(5714dec325ac0d8aee381715)","Ska punk"
4658,"ObjectId(5714dec325ac0d8aee381719)","Ska punk"
19208,"ObjectId(5714dec325ac0d8aee384fef)","Post-punk"
19350,"ObjectId(5714dec325ac0d8aee38507d)","Post-punk"
20267,"ObjectId(5714dec325ac0d8aee385412)","Post-punk"
20371,"ObjectId(5714dec325ac0d8aee38547a)","Post-punk"
23292,"ObjectId(5714dec325ac0d8aee385fe3)","Proto-punk"
26681,"ObjectId(5714dec325ac0d8aee386d20)","Proto-punk"
26711,"ObjectId(5714dec325ac0d8aee386d3e)","Proto-punk"
26778,"ObjectId(5714dec325ac0d8aee386d81)","Proto-punk"
26828,"ObjectId(5714dec325ac0d8aee386db3)","Proto-punk"
27039,"ObjectId(5714dec325ac0d8aee386e86)","Proto-punk"
28101,"ObjectId(5714dec325ac0d8aee3872ac)","Horror punk"
35083,"ObjectId(5714dec325ac0d8aee388df2)","Post-punk"
56956,"ObjectId(5714dec425ac0d8aee38e363)","Proto-punk"
57030,"ObjectId(5714dec425ac0d8aee38e3ad)","Proto-punk"
57052,"ObjectId(5714dec425ac0d8aee38e3c3)","Proto-punk"
57153,"ObjectId(5714dec425ac0d8aee38e428)","Proto-punk"
57176,"ObjectId(5714dec425ac0d8aee38e43f)","Proto-punk"
57390,"ObjectId(5714dec425ac0d8aee38e515)","Proto-punk"
91905,"ObjectId(5714dec525ac0d8aee396be8)","Post-punk revival"
117133,"ObjectId(5714dec525ac0d8aee39ce74)","Post-punk revival"
117138,"ObjectId(5714dec525ac0d8aee39ce79)","Post-punk revival"
117146,"ObjectId(5714dec525ac0d8aee39ce81)","Post-punk revival"
117156,"ObjectId(5714dec525ac0d8aee39ce8b)","Post-punk revival"
117157,"ObjectId(5714dec525ac0d8aee39ce8c)","Post-punk revival"
117165,"ObjectId(5714dec525ac0d8aee39ce94)","Post-punk revival"
117167,"ObjectId(5714dec525ac0d8aee39ce96)","Post-punk revival"
117169,"ObjectId(5714dec525ac0d8aee39ce98)","Post-punk revival"
117171,"ObjectId(5714dec525ac0d8aee39ce9a)","Post-punk revival"
117172,"ObjectId(5714dec525ac0d8aee39ce9b)","Post-punk revival"
117176,"ObjectId(5714dec525ac0d8aee39ce9f)","Post-punk revival"
118487,"ObjectId(5714dec525ac0d8aee39d3be)","Post-punk revival"
118488,"ObjectId(5714dec525ac0d8aee39d3bf)","Post-punk revival"
118497,"ObjectId(5714dec525ac0d8aee39d3c8)","Post-punk revival"
118500,"ObjectId(5714dec525ac0d8aee39d3cb)","Post-punk revival"
118505,"ObjectId(5714dec525ac0d8aee39d3d0)","Post-punk revival"
118508,"ObjectId(5714dec525ac0d8aee39d3d3)","Post-punk revival"
119772,"ObjectId(5714dec525ac0d8aee39d8c3)","Proto-punk"
125191,"ObjectId(5714dec525ac0d8aee39edeb)","Art punk"
125194,"ObjectId(5714dec525ac0d8aee39edee)","Art punk"
129504,"ObjectId(5714dec525ac0d8aee39fec4)","Post-punk"
129531,"ObjectId(5714dec525ac0d8aee39fedf)","Post-punk"
134254,"ObjectId(5714dec525ac0d8aee3a1152)","Post-punk revival"
144460,"ObjectId(5714dec625ac0d8aee3a392d)","Ska punk"
158628,"ObjectId(5714dec625ac0d8aee3a7085)","Hardcore punk"
158690,"ObjectId(5714dec625ac0d8aee3a70c3)","Hardcore punk"
158718,"ObjectId(5714dec625ac0d8aee3a70df)","Hardcore punk"
159046,"ObjectId(5714dec625ac0d8aee3a7227)","Horror punk"
159408,"ObjectId(5714dec625ac0d8aee3a7391)","Skate punk"
159452,"ObjectId(5714dec625ac0d8aee3a73bd)","Skate punk"
166713,"ObjectId(5714dec625ac0d8aee3a901a)","Post-punk"
174304,"ObjectId(5714dec625ac0d8aee3aadc1)","Post-punk"
176088,"ObjectId(5714dec625ac0d8aee3ab4b9)","Glam punk"
176121,"ObjectId(5714dec625ac0d8aee3ab4da)","Glam punk"
176709,"ObjectId(5714dec625ac0d8aee3ab726)","Garage punk"
176722,"ObjectId(5714dec625ac0d8aee3ab733)","Garage punk"
176772,"ObjectId(5714dec625ac0d8aee3ab765)","Garage punk"
178319,"ObjectId(5714dec625ac0d8aee3abd70)","Hardcore punk"
178325,"ObjectId(5714dec625ac0d8aee3abd76)","Hardcore punk"
178347,"ObjectId(5714dec625ac0d8aee3abd8c)","Hardcore punk"
178370,"ObjectId(5714dec625ac0d8aee3abda3)","Hardcore punk"
178442,"ObjectId(5714dec625ac0d8aee3abdeb)","Hardcore punk"
178452,"ObjectId(5714dec625ac0d8aee3abdf5)","Hardcore punk"
178453,"ObjectId(5714dec625ac0d8aee3abdf6)","Hardcore punk"
178521,"ObjectId(5714dec625ac0d8aee3abe3a)","Hardcore punk"
181360,"ObjectId(5714dec625ac0d8aee3ac951)","Garage punk"
185492,"ObjectId(5714dec625ac0d8aee3ad975)","Proto-punk"
199286,"ObjectId(5714dec725ac0d8aee3b0f57)","Post-punk revival"
199461,"ObjectId(5714dec725ac0d8aee3b1006)","Proto-punk"
200905,"ObjectId(5714dec725ac0d8aee3b15aa)","Post-punk"
200916,"ObjectId(5714dec725ac0d8aee3b15b5)","Post-punk"
200935,"ObjectId(5714dec725ac0d8aee3b15c8)","Post-punk"
200942,"ObjectId(5714dec725ac0d8aee3b15cf)","Post-punk"
200949,"ObjectId(5714dec725ac0d8aee3b15d6)","Post-punk"
201008,"ObjectId(5714dec725ac0d8aee3b1611)","Post-punk"
201009,"ObjectId(5714dec725ac0d8aee3b1612)","Post-punk"
201025,"ObjectId(5714dec725ac0d8aee3b1622)","Post-punk"
201064,"ObjectId(5714dec725ac0d8aee3b1649)","Proto-punk"
210795,"ObjectId(5714dec725ac0d8aee3b3c4c)","Proto-punk"
213845,"ObjectId(5714dec725ac0d8aee3b4836)","Horror punk"
213890,"ObjectId(5714dec725ac0d8aee3b4863)","Horror punk"
220714,"ObjectId(5714dec725ac0d8aee3b630b)","Hardcore punk"
221757,"ObjectId(5714dec725ac0d8aee3b671e)","Garage punk"
222730,"ObjectId(5714dec725ac0d8aee3b6aeb)","Proto-punk"
222797,"ObjectId(5714dec725ac0d8aee3b6b2e)","Proto-punk"
222826,"ObjectId(5714dec725ac0d8aee3b6b4b)","Proto-punk"
222911,"ObjectId(5714dec725ac0d8aee3b6ba0)","Proto-punk"
222940,"ObjectId(5714dec725ac0d8aee3b6bbd)","Proto-punk"
222951,"ObjectId(5714dec725ac0d8aee3b6bc8)","Proto-punk"
229619,"ObjectId(5714dec725ac0d8aee3b85d4)","Skate punk"
229620,"ObjectId(5714dec725ac0d8aee3b85d5)","Skate punk"
230044,"ObjectId(5714dec725ac0d8aee3b877d)","Proto-punk"
230303,"ObjectId(5714dec725ac0d8aee3b8880)","Post-punk revival"
230306,"ObjectId(5714dec725ac0d8aee3b8883)","Post-punk revival"
230310,"ObjectId(5714dec725ac0d8aee3b8887)","Post-punk revival"
230319,"ObjectId(5714dec725ac0d8aee3b8890)","Post-punk revival"
230337,"ObjectId(5714dec725ac0d8aee3b88a2)","Post-punk revival"
230374,"ObjectId(5714dec725ac0d8aee3b88c7)","Post-punk revival"
230379,"ObjectId(5714dec725ac0d8aee3b88cc)","Post-punk revival"
230390,"ObjectId(5714dec725ac0d8aee3b88d7)","Post-punk revival"
230403,"ObjectId(5714dec725ac0d8aee3b88e4)","Post-punk revival"
230414,"ObjectId(5714dec725ac0d8aee3b88ef)","Post-punk revival"
230428,"ObjectId(5714dec725ac0d8aee3b88fd)","Post-punk revival"
237202,"ObjectId(5714dec725ac0d8aee3ba373)","Post-punk"
240028,"ObjectId(5714dec725ac0d8aee3bae7d)","Proto-punk"
244486,"ObjectId(5714dec825ac0d8aee3bbfe7)","Horror punk"
256160,"ObjectId(5714dec825ac0d8aee3bed81)","Proto-punk"
268460,"ObjectId(5714dec825ac0d8aee3c1d8a)","Post-punk revival"
268461,"ObjectId(5714dec825ac0d8aee3c1d8b)","Post-punk revival"
270226,"ObjectId(5714dec825ac0d8aee3c2470)","Post-punk"
274112,"ObjectId(5714dec825ac0d8aee3c339e)","Cowpunk"
285675,"ObjectId(5714dec825ac0d8aee3c60c9)","Proto-punk"
285748,"ObjectId(5714dec825ac0d8aee3c6112)","Proto-punk"
287931,"ObjectId(5714dec825ac0d8aee3c6999)","Hardcore punk"
297357,"ObjectId(5714dec925ac0d8aee3c8e6b)","Post-punk"
336558,"ObjectId(5714dec925ac0d8aee3d2786)","Post-punk revival"
339119,"ObjectId(5714dec925ac0d8aee3d3187)","Proto-punk"
364615,"ObjectId(5714deca25ac0d8aee3d951f)","Skate punk"
379812,"ObjectId(5714deca25ac0d8aee3dd07c)","Post-punk"
394584,"ObjectId(5714decb25ac0d8aee3e0a30)","Proto-punk"
397056,"ObjectId(5714decb25ac0d8aee3e13d8)","Post-punk"
401806,"ObjectId(5714decb25ac0d8aee3e2666)","Glam punk"
401925,"ObjectId(5714decb25ac0d8aee3e26dd)","Glam punk"
401931,"ObjectId(5714decb25ac0d8aee3e26e3)","Glam punk"
410866,"ObjectId(5714decb25ac0d8aee3e49ca)","Proto-punk"
424927,"ObjectId(5714decb25ac0d8aee3e80b7)","Post-punk"
430432,"ObjectId(5714decb25ac0d8aee3e9638)","Post-punk revival"
436742,"ObjectId(5714decb25ac0d8aee3eaede)","Post-punk"
443406,"ObjectId(5714decc25ac0d8aee3ec8e6)","Proto-punk"
447327,"ObjectId(5714decc25ac0d8aee3ed837)","Proto-punk"
447329,"ObjectId(5714decc25ac0d8aee3ed839)","Proto-punk"
