"X","X_id","genre"
16900,"ObjectId(5714dec325ac0d8aee3846eb)","Gangsta rap"
22040,"ObjectId(5714dec325ac0d8aee385aff)","Rap"
67477,"ObjectId(5714dec425ac0d8aee390c7c)","Trap music"
153511,"ObjectId(5714dec625ac0d8aee3a5c88)","Trap music"
178310,"ObjectId(5714dec625ac0d8aee3abd67)","Rapcore"
178311,"ObjectId(5714dec625ac0d8aee3abd68)","Gangsta rap"
178319,"ObjectId(5714dec625ac0d8aee3abd70)","Rapcore"
178347,"ObjectId(5714dec625ac0d8aee3abd8c)","Rapcore"
178370,"ObjectId(5714dec625ac0d8aee3abda3)","Rapcore"
178442,"ObjectId(5714dec625ac0d8aee3abdeb)","Rapcore"
178453,"ObjectId(5714dec625ac0d8aee3abdf6)","Rapcore"
178521,"ObjectId(5714dec625ac0d8aee3abe3a)","Rapcore"
187118,"ObjectId(5714dec625ac0d8aee3adfcf)","Gangsta rap"
187218,"ObjectId(5714dec625ac0d8aee3ae033)","Gangsta rap"
197637,"ObjectId(5714dec725ac0d8aee3b08e6)","Trap music"
197666,"ObjectId(5714dec725ac0d8aee3b0903)","Trap music"
197716,"ObjectId(5714dec725ac0d8aee3b0935)","Trap music"
199684,"ObjectId(5714dec725ac0d8aee3b10e5)","Trap music"
244772,"ObjectId(5714dec825ac0d8aee3bc105)","Trap music"
244772,"ObjectId(5714dec825ac0d8aee3bc105)","Gangsta rap"
248922,"ObjectId(5714dec825ac0d8aee3bd13b)","Gangsta rap"
330281,"ObjectId(5714dec925ac0d8aee3d0f01)","Gangsta rap"
330467,"ObjectId(5714dec925ac0d8aee3d0fbb)","Gangsta rap"
339230,"ObjectId(5714dec925ac0d8aee3d31f6)","Rapping"
339242,"ObjectId(5714dec925ac0d8aee3d3202)","Rapping"
339244,"ObjectId(5714dec925ac0d8aee3d3204)","Rapping"
339257,"ObjectId(5714dec925ac0d8aee3d3211)","Rapping"
346350,"ObjectId(5714deca25ac0d8aee3d4dc6)","Dirty rap"
347036,"ObjectId(5714deca25ac0d8aee3d5074)","Rapping"
385473,"ObjectId(5714deca25ac0d8aee3de699)","Gangsta rap"
389915,"ObjectId(5714deca25ac0d8aee3df7f3)","Gangsta rap"
389933,"ObjectId(5714deca25ac0d8aee3df805)","Gangsta rap"
389978,"ObjectId(5714deca25ac0d8aee3df832)","Gangsta rap"
389979,"ObjectId(5714deca25ac0d8aee3df833)","Gangsta rap"
390008,"ObjectId(5714deca25ac0d8aee3df850)","Gangsta rap"
399998,"ObjectId(5714decb25ac0d8aee3e1f56)","Gangsta rap"
405279,"ObjectId(5714decb25ac0d8aee3e33f7)","Rapping"
405292,"ObjectId(5714decb25ac0d8aee3e3404)","Rapping"
405302,"ObjectId(5714decb25ac0d8aee3e340e)","Rapping"
405307,"ObjectId(5714decb25ac0d8aee3e3413)","Rapping"
405308,"ObjectId(5714decb25ac0d8aee3e3414)","Rapping"
405310,"ObjectId(5714decb25ac0d8aee3e3416)","Rapping"
405312,"ObjectId(5714decb25ac0d8aee3e3418)","Rapping"
405316,"ObjectId(5714decb25ac0d8aee3e341c)","Rapping"
405321,"ObjectId(5714decb25ac0d8aee3e3421)","Rapping"
405326,"ObjectId(5714decb25ac0d8aee3e3426)","Rapping"
405328,"ObjectId(5714decb25ac0d8aee3e3428)","Rapping"
405329,"ObjectId(5714decb25ac0d8aee3e3429)","Rapping"
405330,"ObjectId(5714decb25ac0d8aee3e342a)","Rapping"
405346,"ObjectId(5714decb25ac0d8aee3e343a)","Rapping"
405350,"ObjectId(5714decb25ac0d8aee3e343e)","Rapping"
405378,"ObjectId(5714decb25ac0d8aee3e345a)","Rapping"
405385,"ObjectId(5714decb25ac0d8aee3e3461)","Rapping"
405386,"ObjectId(5714decb25ac0d8aee3e3462)","Rapping"
405388,"ObjectId(5714decb25ac0d8aee3e3464)","Rapping"
405389,"ObjectId(5714decb25ac0d8aee3e3465)","Rapping"
441646,"ObjectId(5714decc25ac0d8aee3ec206)","Gangsta rap"
450960,"ObjectId(5714decc25ac0d8aee3ee668)","Trap music"
499812,"ObjectId(5714decd25ac0d8aee3fa539)","Trap music"
512286,"ObjectId(5714decd25ac0d8aee3fd5ea)","Trap music"
512287,"ObjectId(5714decd25ac0d8aee3fd5eb)","Trap music"
512288,"ObjectId(5714decd25ac0d8aee3fd5ec)","Trap music"
513308,"ObjectId(5714decd25ac0d8aee3fd9e8)","Gangsta rap"
513312,"ObjectId(5714decd25ac0d8aee3fd9ec)","Gangsta rap"
513396,"ObjectId(5714decd25ac0d8aee3fda40)","Gangsta rap"
513441,"ObjectId(5714decd25ac0d8aee3fda6d)","Gangsta rap"
513446,"ObjectId(5714decd25ac0d8aee3fda72)","Gangsta rap"
513498,"ObjectId(5714decd25ac0d8aee3fdaa6)","Gangsta rap"
513501,"ObjectId(5714decd25ac0d8aee3fdaa9)","Gangsta rap"
513516,"ObjectId(5714decd25ac0d8aee3fdab8)","Gangsta rap"
513592,"ObjectId(5714decd25ac0d8aee3fdb04)","Gangsta rap"
513604,"ObjectId(5714decd25ac0d8aee3fdb10)","Gangsta rap"
513607,"ObjectId(5714decd25ac0d8aee3fdb13)","Gangsta rap"
513608,"ObjectId(5714decd25ac0d8aee3fdb14)","Gangsta rap"
531678,"ObjectId(5714decd25ac0d8aee40219e)","Gangsta rap"
531679,"ObjectId(5714decd25ac0d8aee40219f)","Gangsta rap"
531692,"ObjectId(5714decd25ac0d8aee4021ac)","Gangsta rap"
531727,"ObjectId(5714decd25ac0d8aee4021cf)","Gangsta rap"
531734,"ObjectId(5714decd25ac0d8aee4021d6)","Gangsta rap"
531767,"ObjectId(5714decd25ac0d8aee4021f7)","Gangsta rap"
531778,"ObjectId(5714decd25ac0d8aee402202)","Gangsta rap"
531865,"ObjectId(5714decd25ac0d8aee402259)","Gangsta rap"
576674,"ObjectId(5714dece25ac0d8aee40d15c)","Trap music"
588302,"ObjectId(5714dece25ac0d8aee40febf)","Gangsta rap"
588345,"ObjectId(5714dece25ac0d8aee40feea)","Dirty rap"
588386,"ObjectId(5714dece25ac0d8aee40ff13)","Dirty rap"
588417,"ObjectId(5714dece25ac0d8aee40ff32)","Dirty rap"
588427,"ObjectId(5714dece25ac0d8aee40ff3c)","Gangsta rap"
588441,"ObjectId(5714dece25ac0d8aee40ff4a)","Dirty rap"
588452,"ObjectId(5714dece25ac0d8aee40ff55)","Gangsta rap"
628915,"ObjectId(5714decf25ac0d8aee419d5e)","Gangsta rap"
632821,"ObjectId(5714decf25ac0d8aee41aca0)","Rapping"
633540,"ObjectId(5714decf25ac0d8aee41af6f)","Dirty rap"
641442,"ObjectId(5714ded025ac0d8aee41ce4d)","Trap music"
641444,"ObjectId(5714ded025ac0d8aee41ce4f)","Trap music"
654275,"ObjectId(5714ded025ac0d8aee42006e)","Trap music"
714695,"ObjectId(5714ded125ac0d8aee42ec6f)","Gangsta rap"
714707,"ObjectId(5714ded125ac0d8aee42ec7b)","Gangsta rap"
714733,"ObjectId(5714ded125ac0d8aee42ec95)","Gangsta rap"
719646,"ObjectId(5714ded125ac0d8aee42ffc6)","Rapping"
719660,"ObjectId(5714ded125ac0d8aee42ffd4)","Rapping"
719692,"ObjectId(5714ded125ac0d8aee42fff4)","Rapping"
719791,"ObjectId(5714ded125ac0d8aee430057)","Rapping"
719809,"ObjectId(5714ded125ac0d8aee430069)","Rapping"
719863,"ObjectId(5714ded125ac0d8aee43009f)","Rapping"
719879,"ObjectId(5714ded125ac0d8aee4300af)","Rapping"
719898,"ObjectId(5714ded125ac0d8aee4300c2)","Rapping"
757684,"ObjectId(5714ded225ac0d8aee43945d)","Trap music"
757689,"ObjectId(5714ded225ac0d8aee439462)","Trap music"
796368,"ObjectId(5714ded325ac0d8aee442b64)","Rapcore"
796402,"ObjectId(5714ded325ac0d8aee442b86)","Rapcore"
816598,"ObjectId(5714ded325ac0d8aee447a6a)","Rapcore"
823662,"ObjectId(5714ded325ac0d8aee449602)","Gangsta rap"
830986,"ObjectId(5714ded325ac0d8aee44b29e)","Gangsta rap"
830992,"ObjectId(5714ded325ac0d8aee44b2a4)","Gangsta rap"
831022,"ObjectId(5714ded325ac0d8aee44b2c2)","Gangsta rap"
831025,"ObjectId(5714ded325ac0d8aee44b2c5)","Gangsta rap"
831077,"ObjectId(5714ded325ac0d8aee44b2f9)","Gangsta rap"
831175,"ObjectId(5714ded325ac0d8aee44b35b)","Gangsta rap"
833894,"ObjectId(5714ded325ac0d8aee44bdfa)","Trap music"
833897,"ObjectId(5714ded325ac0d8aee44bdfd)","Trap music"
833904,"ObjectId(5714ded325ac0d8aee44be04)","Trap music"
833907,"ObjectId(5714ded325ac0d8aee44be07)","Trap music"
838138,"ObjectId(5714ded325ac0d8aee44ce8e)","Cloud rap"
891020,"ObjectId(5714ded425ac0d8aee459d20)","Trap music"
891031,"ObjectId(5714ded425ac0d8aee459d2b)","Trap music"
891146,"ObjectId(5714ded425ac0d8aee459d9e)","Gangsta rap"
891371,"ObjectId(5714ded425ac0d8aee459e7c)","Dirty rap"
977625,"ObjectId(5714ded625ac0d8aee46ef6b)","Rapping"
978981,"ObjectId(5714ded625ac0d8aee46f4b7)","Dirty rap"
