"X","X_id","genre"
1472,"ObjectId(5714dec325ac0d8aee380aa7)","Indie rock"
2828,"ObjectId(5714dec325ac0d8aee380ff3)","Alternative rock"
2833,"ObjectId(5714dec325ac0d8aee380ff8)","Alternative rock"
2855,"ObjectId(5714dec325ac0d8aee38100e)","Alternative rock"
2857,"ObjectId(5714dec325ac0d8aee381010)","Alternative rock"
3698,"ObjectId(5714dec325ac0d8aee381359)","Alternative rock"
3698,"ObjectId(5714dec325ac0d8aee381359)","Industrial rock"
3698,"ObjectId(5714dec325ac0d8aee381359)","Hard rock"
4646,"ObjectId(5714dec325ac0d8aee38170d)","Pop rock"
4649,"ObjectId(5714dec325ac0d8aee381710)","Pop rock"
4655,"ObjectId(5714dec325ac0d8aee381716)","Pop rock"
4657,"ObjectId(5714dec325ac0d8aee381718)","Pop rock"
4660,"ObjectId(5714dec325ac0d8aee38171b)","Pop rock"
4663,"ObjectId(5714dec325ac0d8aee38171e)","Pop rock"
7192,"ObjectId(5714dec325ac0d8aee3820ff)","Blues rock"
7204,"ObjectId(5714dec325ac0d8aee38210b)","Blues rock"
7233,"ObjectId(5714dec325ac0d8aee382128)","Rock and roll"
7233,"ObjectId(5714dec325ac0d8aee382128)","Rockabilly"
7240,"ObjectId(5714dec325ac0d8aee38212f)","Rock music"
7274,"ObjectId(5714dec325ac0d8aee382151)","Blues rock"
7303,"ObjectId(5714dec325ac0d8aee38216e)","Soft rock"
7304,"ObjectId(5714dec325ac0d8aee38216f)","Soft rock"
7307,"ObjectId(5714dec325ac0d8aee382172)","Folk rock"
7307,"ObjectId(5714dec325ac0d8aee382172)","Roots rock"
7324,"ObjectId(5714dec325ac0d8aee382183)","Rock and roll"
7324,"ObjectId(5714dec325ac0d8aee382183)","Rockabilly"
7327,"ObjectId(5714dec325ac0d8aee382186)","Blues rock"
7408,"ObjectId(5714dec325ac0d8aee3821d7)","Pop rock"
7409,"ObjectId(5714dec325ac0d8aee3821d8)","Pop rock"
7439,"ObjectId(5714dec325ac0d8aee3821f6)","Rock music"
8609,"ObjectId(5714dec325ac0d8aee382688)","Industrial rock"
8671,"ObjectId(5714dec325ac0d8aee3826c6)","Glam rock"
8671,"ObjectId(5714dec325ac0d8aee3826c6)","Pop rock"
8677,"ObjectId(5714dec325ac0d8aee3826cc)","Country rock"
8680,"ObjectId(5714dec325ac0d8aee3826cf)","Folk rock"
8682,"ObjectId(5714dec325ac0d8aee3826d1)","Pop rock"
8682,"ObjectId(5714dec325ac0d8aee3826d1)","Rock music"
8685,"ObjectId(5714dec325ac0d8aee3826d4)","Glam rock"
8685,"ObjectId(5714dec325ac0d8aee3826d4)","Pop rock"
8686,"ObjectId(5714dec325ac0d8aee3826d5)","Pop rock"
8688,"ObjectId(5714dec325ac0d8aee3826d7)","Pop rock"
8688,"ObjectId(5714dec325ac0d8aee3826d7)","Rock music"
8698,"ObjectId(5714dec325ac0d8aee3826e1)","Pop rock"
8705,"ObjectId(5714dec325ac0d8aee3826e8)","Pop rock"
8708,"ObjectId(5714dec325ac0d8aee3826eb)","Soft rock"
8708,"ObjectId(5714dec325ac0d8aee3826eb)","Glam rock"
8712,"ObjectId(5714dec325ac0d8aee3826ef)","Rock and roll"
8719,"ObjectId(5714dec325ac0d8aee3826f6)","Pop rock"
8742,"ObjectId(5714dec325ac0d8aee38270d)","Rock music"
8751,"ObjectId(5714dec325ac0d8aee382716)","Pop rock"
8758,"ObjectId(5714dec325ac0d8aee38271d)","Rock music"
8775,"ObjectId(5714dec325ac0d8aee38272e)","Soft rock"
8780,"ObjectId(5714dec325ac0d8aee382733)","Pop rock"
8794,"ObjectId(5714dec325ac0d8aee382741)","Art rock"
8800,"ObjectId(5714dec325ac0d8aee382747)","Glam rock"
8800,"ObjectId(5714dec325ac0d8aee382747)","Pop rock"
8801,"ObjectId(5714dec325ac0d8aee382748)","Pop rock"
8802,"ObjectId(5714dec325ac0d8aee382749)","Rock and roll"
8803,"ObjectId(5714dec325ac0d8aee38274a)","Soft rock"
8803,"ObjectId(5714dec325ac0d8aee38274a)","Glam rock"
8804,"ObjectId(5714dec325ac0d8aee38274b)","Pop rock"
8809,"ObjectId(5714dec325ac0d8aee382750)","Pop rock"
8814,"ObjectId(5714dec325ac0d8aee382755)","Rock music"
8818,"ObjectId(5714dec325ac0d8aee382759)","Soft rock"
8824,"ObjectId(5714dec325ac0d8aee38275f)","Pop rock"
8830,"ObjectId(5714dec325ac0d8aee382765)","Soft rock"
8832,"ObjectId(5714dec325ac0d8aee382767)","Pop rock"
8837,"ObjectId(5714dec325ac0d8aee38276c)","Rock music"
8841,"ObjectId(5714dec325ac0d8aee382770)","Pop rock"
8846,"ObjectId(5714dec325ac0d8aee382775)","Soft rock"
8846,"ObjectId(5714dec325ac0d8aee382775)","Glam rock"
8847,"ObjectId(5714dec325ac0d8aee382776)","Rock and roll"
8850,"ObjectId(5714dec325ac0d8aee382779)","Pop rock"
8851,"ObjectId(5714dec325ac0d8aee38277a)","Glam rock"
8851,"ObjectId(5714dec325ac0d8aee38277a)","Pop rock"
8879,"ObjectId(5714dec325ac0d8aee382796)","Country rock"
8880,"ObjectId(5714dec325ac0d8aee382797)","Glam rock"
8880,"ObjectId(5714dec325ac0d8aee382797)","Pop rock"
8881,"ObjectId(5714dec325ac0d8aee382798)","Pop rock"
8885,"ObjectId(5714dec325ac0d8aee38279c)","Rock and roll"
8887,"ObjectId(5714dec325ac0d8aee38279e)","Soft rock"
8887,"ObjectId(5714dec325ac0d8aee38279e)","Glam rock"
8888,"ObjectId(5714dec325ac0d8aee38279f)","Pop rock"
8897,"ObjectId(5714dec325ac0d8aee3827a8)","Pop rock"
8907,"ObjectId(5714dec325ac0d8aee3827b2)","Rock music"
8912,"ObjectId(5714dec325ac0d8aee3827b7)","Soft rock"
8917,"ObjectId(5714dec325ac0d8aee3827bc)","Pop rock"
8924,"ObjectId(5714dec325ac0d8aee3827c3)","Art rock"
8934,"ObjectId(5714dec325ac0d8aee3827cd)","Folk rock"
8942,"ObjectId(5714dec325ac0d8aee3827d5)","Pop rock"
8948,"ObjectId(5714dec325ac0d8aee3827db)","Pop rock"
8957,"ObjectId(5714dec325ac0d8aee3827e4)","Glam rock"
8957,"ObjectId(5714dec325ac0d8aee3827e4)","Pop rock"
8961,"ObjectId(5714dec325ac0d8aee3827e8)","Glam rock"
8961,"ObjectId(5714dec325ac0d8aee3827e8)","Pop rock"
8962,"ObjectId(5714dec325ac0d8aee3827e9)","Pop rock"
8965,"ObjectId(5714dec325ac0d8aee3827ec)","Rock and roll"
8966,"ObjectId(5714dec325ac0d8aee3827ed)","Soft rock"
8966,"ObjectId(5714dec325ac0d8aee3827ed)","Glam rock"
8967,"ObjectId(5714dec325ac0d8aee3827ee)","Pop rock"
8972,"ObjectId(5714dec325ac0d8aee3827f3)","Pop rock"
8979,"ObjectId(5714dec325ac0d8aee3827fa)","Rock music"
8983,"ObjectId(5714dec325ac0d8aee3827fe)","Soft rock"
8995,"ObjectId(5714dec325ac0d8aee38280a)","Glam rock"
8995,"ObjectId(5714dec325ac0d8aee38280a)","Pop rock"
8996,"ObjectId(5714dec325ac0d8aee38280b)","Country rock"
8997,"ObjectId(5714dec325ac0d8aee38280c)","Pop rock"
8999,"ObjectId(5714dec325ac0d8aee38280e)","Rock and roll"
9000,"ObjectId(5714dec325ac0d8aee38280f)","Soft rock"
9000,"ObjectId(5714dec325ac0d8aee38280f)","Glam rock"
9001,"ObjectId(5714dec325ac0d8aee382810)","Pop rock"
9006,"ObjectId(5714dec325ac0d8aee382815)","Pop rock"
9012,"ObjectId(5714dec325ac0d8aee38281b)","Rock music"
9017,"ObjectId(5714dec325ac0d8aee382820)","Soft rock"
9024,"ObjectId(5714dec325ac0d8aee382827)","Art rock"
9712,"ObjectId(5714dec325ac0d8aee382ad7)","Pop rock"
14451,"ObjectId(5714dec325ac0d8aee383d5a)","Garage rock"
14451,"ObjectId(5714dec325ac0d8aee383d5a)","Blues rock"
14459,"ObjectId(5714dec325ac0d8aee383d62)","Hard rock"
14459,"ObjectId(5714dec325ac0d8aee383d62)","Blues rock"
14463,"ObjectId(5714dec325ac0d8aee383d66)","Hard rock"
14465,"ObjectId(5714dec325ac0d8aee383d68)","Glam rock"
14465,"ObjectId(5714dec325ac0d8aee383d68)","Rock and roll"
14465,"ObjectId(5714dec325ac0d8aee383d68)","Hard rock"
14466,"ObjectId(5714dec325ac0d8aee383d69)","Hard rock"
14467,"ObjectId(5714dec325ac0d8aee383d6a)","Rock and roll"
14468,"ObjectId(5714dec325ac0d8aee383d6b)","Hard rock"
14468,"ObjectId(5714dec325ac0d8aee383d6b)","Blues rock"
14472,"ObjectId(5714dec325ac0d8aee383d6f)","Hard rock"
14473,"ObjectId(5714dec325ac0d8aee383d70)","Glam rock"
14473,"ObjectId(5714dec325ac0d8aee383d70)","Rock and roll"
14473,"ObjectId(5714dec325ac0d8aee383d70)","Hard rock"
14476,"ObjectId(5714dec325ac0d8aee383d73)","Hard rock"
14477,"ObjectId(5714dec325ac0d8aee383d74)","Hard rock"
14485,"ObjectId(5714dec325ac0d8aee383d7c)","Hard rock"
14485,"ObjectId(5714dec325ac0d8aee383d7c)","Blues rock"
14486,"ObjectId(5714dec325ac0d8aee383d7d)","Hard rock"
14487,"ObjectId(5714dec325ac0d8aee383d7e)","Hard rock"
14496,"ObjectId(5714dec325ac0d8aee383d87)","Hard rock"
14497,"ObjectId(5714dec325ac0d8aee383d88)","Hard rock"
14497,"ObjectId(5714dec325ac0d8aee383d88)","Blues rock"
14503,"ObjectId(5714dec325ac0d8aee383d8e)","Hard rock"
14509,"ObjectId(5714dec325ac0d8aee383d94)","Hard rock"
14510,"ObjectId(5714dec325ac0d8aee383d95)","Hard rock"
14511,"ObjectId(5714dec325ac0d8aee383d96)","Hard rock"
14512,"ObjectId(5714dec325ac0d8aee383d97)","Hard rock"
14512,"ObjectId(5714dec325ac0d8aee383d97)","Blues rock"
14514,"ObjectId(5714dec325ac0d8aee383d99)","Hard rock"
14524,"ObjectId(5714dec325ac0d8aee383da3)","Blues rock"
14524,"ObjectId(5714dec325ac0d8aee383da3)","Hard rock"
14525,"ObjectId(5714dec325ac0d8aee383da4)","Blues rock"
14525,"ObjectId(5714dec325ac0d8aee383da4)","Hard rock"
14527,"ObjectId(5714dec325ac0d8aee383da6)","Hard rock"
14533,"ObjectId(5714dec325ac0d8aee383dac)","Hard rock"
14533,"ObjectId(5714dec325ac0d8aee383dac)","Blues rock"
14534,"ObjectId(5714dec325ac0d8aee383dad)","Hard rock"
14535,"ObjectId(5714dec325ac0d8aee383dae)","Hard rock"
14539,"ObjectId(5714dec325ac0d8aee383db2)","Hard rock"
14540,"ObjectId(5714dec325ac0d8aee383db3)","Hard rock"
14543,"ObjectId(5714dec325ac0d8aee383db6)","Blues rock"
14543,"ObjectId(5714dec325ac0d8aee383db6)","Hard rock"
14544,"ObjectId(5714dec325ac0d8aee383db7)","Hard rock"
14546,"ObjectId(5714dec325ac0d8aee383db9)","Blues rock"
14546,"ObjectId(5714dec325ac0d8aee383db9)","Hard rock"
14556,"ObjectId(5714dec325ac0d8aee383dc3)","Hard rock"
14557,"ObjectId(5714dec325ac0d8aee383dc4)","Hard rock"
14559,"ObjectId(5714dec325ac0d8aee383dc6)","Hard rock"
14564,"ObjectId(5714dec325ac0d8aee383dcb)","Hard rock"
14564,"ObjectId(5714dec325ac0d8aee383dcb)","Blues rock"
14568,"ObjectId(5714dec325ac0d8aee383dcf)","Garage rock"
14568,"ObjectId(5714dec325ac0d8aee383dcf)","Blues rock"
14570,"ObjectId(5714dec325ac0d8aee383dd1)","Hard rock"
14573,"ObjectId(5714dec325ac0d8aee383dd4)","Hard rock"
14579,"ObjectId(5714dec325ac0d8aee383dda)","Hard rock"
14580,"ObjectId(5714dec325ac0d8aee383ddb)","Hard rock"
14582,"ObjectId(5714dec325ac0d8aee383ddd)","Hard rock"
14584,"ObjectId(5714dec325ac0d8aee383ddf)","Hard rock"
14585,"ObjectId(5714dec325ac0d8aee383de0)","Hard rock"
14587,"ObjectId(5714dec325ac0d8aee383de2)","Hard rock"
14588,"ObjectId(5714dec325ac0d8aee383de3)","Hard rock"
14589,"ObjectId(5714dec325ac0d8aee383de4)","Hard rock"
