"X","X_id","genre"
4480,"ObjectId(5714dec325ac0d8aee381667)","Soul music"
4891,"ObjectId(5714dec325ac0d8aee381802)","Neo soul"
6248,"ObjectId(5714dec325ac0d8aee381d4f)","Soul music"
6269,"ObjectId(5714dec325ac0d8aee381d64)","Neo soul"
6288,"ObjectId(5714dec325ac0d8aee381d77)","Soul music"
6296,"ObjectId(5714dec325ac0d8aee381d7f)","Soul music"
7215,"ObjectId(5714dec325ac0d8aee382116)","Soul music"
7234,"ObjectId(5714dec325ac0d8aee382129)","Soul music"
7311,"ObjectId(5714dec325ac0d8aee382176)","Soul music"
7312,"ObjectId(5714dec325ac0d8aee382177)","Soul music"
7349,"ObjectId(5714dec325ac0d8aee38219c)","Soul music"
7368,"ObjectId(5714dec325ac0d8aee3821af)","Soul music"
7378,"ObjectId(5714dec325ac0d8aee3821b9)","Soul music"
7379,"ObjectId(5714dec325ac0d8aee3821ba)","Soul music"
16696,"ObjectId(5714dec325ac0d8aee38461f)","Soul music"
20175,"ObjectId(5714dec325ac0d8aee3853b6)","Soul music"
21005,"ObjectId(5714dec325ac0d8aee3856f4)","Soul music"
21032,"ObjectId(5714dec325ac0d8aee38570f)","Soul music"
21451,"ObjectId(5714dec325ac0d8aee3858b2)","Soul music"
21947,"ObjectId(5714dec325ac0d8aee385aa2)","Soul music"
21954,"ObjectId(5714dec325ac0d8aee385aa9)","Soul music"
21956,"ObjectId(5714dec325ac0d8aee385aab)","Soul music"
21960,"ObjectId(5714dec325ac0d8aee385aaf)","Soul music"
21965,"ObjectId(5714dec325ac0d8aee385ab4)","Soul music"
21968,"ObjectId(5714dec325ac0d8aee385ab7)","Soul music"
21974,"ObjectId(5714dec325ac0d8aee385abd)","Soul music"
21975,"ObjectId(5714dec325ac0d8aee385abe)","Soul music"
21978,"ObjectId(5714dec325ac0d8aee385ac1)","Soul music"
21979,"ObjectId(5714dec325ac0d8aee385ac2)","Soul music"
21980,"ObjectId(5714dec325ac0d8aee385ac3)","Soul music"
21982,"ObjectId(5714dec325ac0d8aee385ac5)","Soul music"
21988,"ObjectId(5714dec325ac0d8aee385acb)","Soul music"
21994,"ObjectId(5714dec325ac0d8aee385ad1)","Soul music"
21997,"ObjectId(5714dec325ac0d8aee385ad4)","Soul music"
27044,"ObjectId(5714dec325ac0d8aee386e8b)","Southern soul"
27127,"ObjectId(5714dec325ac0d8aee386ede)","Soul music"
35816,"ObjectId(5714dec325ac0d8aee3890cf)","Soul music"
36294,"ObjectId(5714dec325ac0d8aee3892ad)","Soul music"
38388,"ObjectId(5714dec425ac0d8aee389adb)","Soul music"
38462,"ObjectId(5714dec425ac0d8aee389b25)","Soul music"
39948,"ObjectId(5714dec425ac0d8aee38a0f3)","Soul music"
39955,"ObjectId(5714dec425ac0d8aee38a0fa)","Soul music"
39966,"ObjectId(5714dec425ac0d8aee38a105)","Soul music"
39968,"ObjectId(5714dec425ac0d8aee38a107)","Soul music"
39980,"ObjectId(5714dec425ac0d8aee38a113)","Soul music"
39994,"ObjectId(5714dec425ac0d8aee38a121)","Soul music"
40012,"ObjectId(5714dec425ac0d8aee38a133)","Soul music"
40014,"ObjectId(5714dec425ac0d8aee38a135)","Soul music"
40015,"ObjectId(5714dec425ac0d8aee38a136)","Soul music"
40016,"ObjectId(5714dec425ac0d8aee38a137)","Soul music"
40017,"ObjectId(5714dec425ac0d8aee38a138)","Soul music"
40194,"ObjectId(5714dec425ac0d8aee38a1e9)","Soul music"
40195,"ObjectId(5714dec425ac0d8aee38a1ea)","Soul music"
40266,"ObjectId(5714dec425ac0d8aee38a231)","Soul music"
40274,"ObjectId(5714dec425ac0d8aee38a239)","Soul music"
