"X","X_id","genre"
1110,"ObjectId(5714dec325ac0d8aee38093d)","Post-hardcore"
1418,"ObjectId(5714dec325ac0d8aee380a71)","Adult album alternative"
1425,"ObjectId(5714dec325ac0d8aee380a78)","Adult album alternative"
1435,"ObjectId(5714dec325ac0d8aee380a82)","Adult album alternative"
1440,"ObjectId(5714dec325ac0d8aee380a87)","Adult album alternative"
1472,"ObjectId(5714dec325ac0d8aee380aa7)","Acoustic music"
3697,"ObjectId(5714dec325ac0d8aee381358)","Bhangra (music)"
3809,"ObjectId(5714dec325ac0d8aee3813c8)","Latin music (genre)"
3809,"ObjectId(5714dec325ac0d8aee3813c8)","Kayōkyoku"
4891,"ObjectId(5714dec325ac0d8aee381802)","PBR\u0026B"
5084,"ObjectId(5714dec325ac0d8aee3818c3)","Worldbeat"
6231,"ObjectId(5714dec325ac0d8aee381d3e)","Contemporary R\u0026B"
6231,"ObjectId(5714dec325ac0d8aee381d3e)","New jack swing"
6232,"ObjectId(5714dec325ac0d8aee381d3f)","Contemporary R\u0026B"
6233,"ObjectId(5714dec325ac0d8aee381d40)","Contemporary R\u0026B"
6235,"ObjectId(5714dec325ac0d8aee381d42)","Contemporary R\u0026B"
6235,"ObjectId(5714dec325ac0d8aee381d42)","New jack swing"
6243,"ObjectId(5714dec325ac0d8aee381d4a)","Contemporary R\u0026B"
6244,"ObjectId(5714dec325ac0d8aee381d4b)","Contemporary R\u0026B"
6244,"ObjectId(5714dec325ac0d8aee381d4b)","Downtempo"
6246,"ObjectId(5714dec325ac0d8aee381d4d)","Contemporary R\u0026B"
6248,"ObjectId(5714dec325ac0d8aee381d4f)","Contemporary R\u0026B"
6249,"ObjectId(5714dec325ac0d8aee381d50)","Contemporary R\u0026B"
6257,"ObjectId(5714dec325ac0d8aee381d58)","Contemporary R\u0026B"
6260,"ObjectId(5714dec325ac0d8aee381d5b)","Contemporary R\u0026B"
6262,"ObjectId(5714dec325ac0d8aee381d5d)","Contemporary R\u0026B"
6265,"ObjectId(5714dec325ac0d8aee381d60)","Contemporary R\u0026B"
6269,"ObjectId(5714dec325ac0d8aee381d64)","Contemporary R\u0026B"
6275,"ObjectId(5714dec325ac0d8aee381d6a)","Contemporary R\u0026B"
6275,"ObjectId(5714dec325ac0d8aee381d6a)","New jack swing"
6276,"ObjectId(5714dec325ac0d8aee381d6b)","Contemporary R\u0026B"
6277,"ObjectId(5714dec325ac0d8aee381d6c)","Contemporary R\u0026B"
6277,"ObjectId(5714dec325ac0d8aee381d6c)","Downtempo"
6278,"ObjectId(5714dec325ac0d8aee381d6d)","Contemporary R\u0026B"
6280,"ObjectId(5714dec325ac0d8aee381d6f)","Contemporary R\u0026B"
6281,"ObjectId(5714dec325ac0d8aee381d70)","Contemporary R\u0026B"
6283,"ObjectId(5714dec325ac0d8aee381d72)","Contemporary R\u0026B"
6285,"ObjectId(5714dec325ac0d8aee381d74)","Contemporary R\u0026B"
6288,"ObjectId(5714dec325ac0d8aee381d77)","Contemporary R\u0026B"
6289,"ObjectId(5714dec325ac0d8aee381d78)","Contemporary R\u0026B"
6290,"ObjectId(5714dec325ac0d8aee381d79)","Contemporary R\u0026B"
6291,"ObjectId(5714dec325ac0d8aee381d7a)","Contemporary R\u0026B"
6292,"ObjectId(5714dec325ac0d8aee381d7b)","Contemporary R\u0026B"
6292,"ObjectId(5714dec325ac0d8aee381d7b)","Downtempo"
6293,"ObjectId(5714dec325ac0d8aee381d7c)","Contemporary R\u0026B"
6294,"ObjectId(5714dec325ac0d8aee381d7d)","Contemporary R\u0026B"
6295,"ObjectId(5714dec325ac0d8aee381d7e)","Contemporary R\u0026B"
6296,"ObjectId(5714dec325ac0d8aee381d7f)","Contemporary R\u0026B"
6297,"ObjectId(5714dec325ac0d8aee381d80)","Contemporary R\u0026B"
6298,"ObjectId(5714dec325ac0d8aee381d81)","Contemporary R\u0026B"
6299,"ObjectId(5714dec325ac0d8aee381d82)","Contemporary R\u0026B"
