source,target,value
1-2 albums,1-3 songs/album,30773
1-2 albums,4-6 songs/album,8516
1-2 albums,7-9 songs/album,9502
1-2 albums,10-12 songs/album,7813
1-2 albums,13-15 songs/album,2756
1-2 albums,>15 songs/album,3110
3-4 albums,1-3 songs/album,90
3-4 albums,4-6 songs/album,739
3-4 albums,7-9 songs/album,2306
3-4 albums,10-12 songs/album,1907
3-4 albums,13-15 songs/album,584
3-4 albums,>15 songs/album,353
5-6 albums,1-3 songs/album,28
5-6 albums,4-6 songs/album,247
5-6 albums,7-9 songs/album,1155
5-6 albums,10-12 songs/album,1203
5-6 albums,13-15 songs/album,416
5-6 albums,>15 songs/album,230
7-8 albums,1-3 songs/album,6
7-8 albums,4-6 songs/album,103
7-8 albums,7-9 songs/album,543
7-8 albums,10-12 songs/album,800
7-8 albums,13-15 songs/album,317
7-8 albums,>15 songs/album,137
9-10 albums,1-3 songs/album,5
9-10 albums,4-6 songs/album,27
9-10 albums,7-9 songs/album,318
9-10 albums,10-12 songs/album,481
9-10 albums,13-15 songs/album,229
9-10 albums,>15 songs/album,108
>10 albums,1-3 songs/album,8
>10 albums,4-6 songs/album,63
>10 albums,7-9 songs/album,395
>10 albums,10-12 songs/album,1155
>10 albums,13-15 songs/album,677
>10 albums,>15 songs/album,392
