source,target,value
Character,Female,4
Character,Male,15
Character,unknown_gender,6
Choir,unknown_gender,44
Group,unknown_gender,29806
Orchestra,unknown_gender,30
unknown_type,Female,3
unknown_type,Male,1
unknown_type,unknown_gender,17
Person,Female,5867
Person,Male,14281
Person,unknown_gender,8
Person,unknown_gender,4108
unknown_type,Female,7
unknown_type,Male,12
unknown_type,unknown_gender,23283
Female,1-2 albums,4273
Female,3-4 albums,579
Female,5-6 albums,323
Female,7-8 albums,212
Female,9-10 albums,148
Female,>10 albums,346
Male,1-2 albums,10711
Male,3-4 albums,1158
Male,5-6 albums,747
Male,7-8 albums,432
Male,9-10 albums,305
Male,>10 albums,956
unknown_gender,1-2 albums,47486
unknown_gender,3-4 albums,4242
unknown_gender,5-6 albums,2209
unknown_gender,7-8 albums,1262
unknown_gender,9-10 albums,715
unknown_gender,>10 albums,1388
1-2 albums,1-3 songs/album,30773
1-2 albums,4-6 songs/album,8516
1-2 albums,7-9 songs/album,9502
1-2 albums,10-12 songs/album,7813
1-2 albums,13-15 songs/album,2756
1-2 albums,>15 songs/album,3110
3-4 albums,1-3 songs/album,90
3-4 albums,4-6 songs/album,739
3-4 albums,7-9 songs/album,2306
3-4 albums,10-12 songs/album,1907
3-4 albums,13-15 songs/album,584
3-4 albums,>15 songs/album,353
5-6 albums,1-3 songs/album,28
5-6 albums,4-6 songs/album,247
5-6 albums,7-9 songs/album,1155
5-6 albums,10-12 songs/album,1203
5-6 albums,13-15 songs/album,416
5-6 albums,>15 songs/album,230
7-8 albums,1-3 songs/album,6
7-8 albums,4-6 songs/album,103
7-8 albums,7-9 songs/album,543
7-8 albums,10-12 songs/album,800
7-8 albums,13-15 songs/album,317
7-8 albums,>15 songs/album,137
9-10 albums,1-3 songs/album,5
9-10 albums,4-6 songs/album,27
9-10 albums,7-9 songs/album,318
9-10 albums,10-12 songs/album,481
9-10 albums,13-15 songs/album,229
9-10 albums,>15 songs/album,108
>10 albums,1-3 songs/album,8
>10 albums,4-6 songs/album,63
>10 albums,7-9 songs/album,395
>10 albums,10-12 songs/album,1155
>10 albums,13-15 songs/album,677
>10 albums,>15 songs/album,392
